sid,單季,負債總額,負債總額百分比,每股淨值(元),股東權益總額
1441,2020Q3,15.85,61,8.52,10.15
1441,2020Q2,17.09,62.6,8.84,10.23
1441,2020Q1,17.02,60,9.84,11.36
1441,2019Q4,16.57,56.8,10.94,12.6
1441,2019Q3,16.57,55.3,11.83,13.41
1441,2019Q2,15.82,52.7,16.2,14.21
1441,2019Q1,14.47,48.8,17.7,15.2
1441,2018Q4,11.59,44.8,18.25,14.25
1441,2018Q3,10.39,39.6,20.31,15.86
1441,2018Q2,9.55,36.7,21.11,16.49
1441,2018Q1,27.99,84.5,6.57,5.13
1441,2017Q4,27.45,83.3,7.63,5.5
1441,2017Q3,27,86.8,6.04,4.11
1441,2017Q2,26.56,85.8,7.09,4.4
1441,2017Q1,27.08,85.3,7.49,4.65
1441,2016Q4,25.34,81.9,6.25,5.61
1441,2016Q3,25.17,80.7,6.71,6.02
1441,2016Q2,22.4,76.7,7.59,6.82
1441,2016Q1,21.77,74.4,8.36,7.51
1441,2015Q4,21.32,73.1,8.75,7.86
1441,2015Q3,19.62,70.6,9.1,8.17
1441,2015Q2,20.06,70.6,9.28,8.33
1441,2015Q1,20.59,70.9,9.43,8.47
1441,2014Q4,19.21,68.4,9.86,8.86
1441,2014Q3,18.76,65.9,10.82,9.72
1441,2014Q2,17.86,63.4,11.46,10.29
1441,2014Q1,16.48,60.8,11.85,10.64
1441,2013Q4,14.81,58,11.95,10.73
1441,2013Q3,11.55,51.9,11.91,10.69
1441,2013Q2,12.92,54.2,12.4,10.92
1441,2013Q1,10.2,48,12.53,11.04
1441,2012Q4,10.32,48.5,12.2,10.96
1441,2012Q3,10.55,48.4,12.31,11.26
1441,2012Q2,11.39,49.9,13.19,11.44
1441,2012Q1,10.85,47.9,13.72,11.79
1441,2011Q4,10.99,48.3,13.9,11.76
1441,2011Q3,12.28,55.5,14.99,9.87
1441,2011Q2,12.32,57.6,13.81,9.08
1441,2011Q1,13.54,61.3,13.01,8.56
1441,2010Q4,13.36,65.2,10.83,7.13
1441,2010Q3,13.06,69.5,8.7,5.72
1441,2010Q2,14.28,71.9,6.91,5.58
1441,2010Q1,13.01,70.6,6.85,5.4
1441,2009Q4,12.56,69.8,6.9,5.44
1441,2009Q3,12.94,70.4,7.39,5.44
1441,2009Q2,13.13,71.4,7.8,5.27
1441,2009Q1,13.2,70.9,5.07,5.41
1441,2008Q4,13.27,70.2,5.27,5.62
1441,2008Q3,14.13,66.9,6.55,6.99
1441,2008Q2,12.85,64.3,6.68,7.13
1441,2008Q1,13.81,65.4,6.84,7.31
1441,2007Q4,12.85,64.6,6.6,7.04
1441,2007Q2,13.58,65.2,6.78,7.24
1441,2006Q4,14.43,67.2,6.6,7.03
1441,2006Q2,14.51,67.8,6.48,6.9
1441,2005Q4,14.97,69.2,6.24,6.65
1441,2005Q2,16.12,69.1,6.78,7.22
