sid,單季,負債總額,負債總額百分比,每股淨值(元),股東權益總額
2106,2020Q3,234.7,55.7,20.49,186.3
2106,2020Q2,221.9,55.4,20.46,178.9
2106,2020Q1,224.6,55.8,20.38,178.2
2106,2019Q4,232.4,55.3,21.48,187.8
2106,2019Q3,233.1,55.2,21.66,189.4
2106,2019Q2,232.6,55.3,21.52,188.2
2106,2019Q1,214.6,52.7,22.06,192.9
2106,2018Q4,211.3,52.6,21.75,190.2
2106,2018Q3,212.7,53.2,21.43,187.4
2106,2018Q2,221.1,53.8,21.69,189.6
2106,2018Q1,211.9,52.3,22.08,193.1
2106,2017Q4,217.6,53.1,21.95,192
2106,2017Q3,208,51.8,22.14,193.6
2106,2017Q2,214.4,53,21.78,190.4
2106,2017Q1,195.1,48.8,23.38,204.4
2106,2016Q4,203.4,48.6,24.63,215.4
2106,2016Q3,197.4,48.9,23.61,206.4
2106,2016Q2,201.6,49.4,24.1,206.6
2106,2016Q1,184.8,45.7,25.64,219.8
2106,2015Q4,191.4,46.9,25.3,216.9
2106,2015Q3,190.9,47.3,24.77,212.4
2106,2015Q2,191.2,49.9,23.52,192
2106,2015Q1,175.5,46.2,25.03,204.3
2106,2014Q4,182.6,47.5,24.71,201.7
2106,2014Q3,174.2,48.6,22.53,184
2106,2014Q2,172.8,50.2,22.44,171.2
2106,2014Q1,157.5,46.8,23.51,179.4
2106,2013Q4,155.9,48.1,22.03,168.1
2106,2013Q3,145.9,47.1,20.89,164.1
2106,2013Q2,150.8,48.9,20.85,157.5
2106,2013Q1,141,47.1,21.02,158.2
2106,2012Q4,137.8,48.6,19.63,145.9
2106,2012Q3,121.3,47.4,18.55,134.6
2106,2012Q2,124.8,49,19.1,130
2106,2012Q1,116.9,46.8,19.48,132.6
2106,2011Q4,111.1,45.6,19.21,132.4
2106,2011Q3,114.8,46.7,19.03,131.1
2106,2011Q2,110.7,48.4,19.01,118
2106,2011Q1,101.4,45.4,19.61,121.7
2106,2010Q4,97.72,48.5,16.73,103.8
2106,2010Q3,91.09,45.6,17.51,108.7
2106,2010Q2,90.36,45.9,19.27,106.5
2106,2010Q1,81.6,43.3,19.3,106.7
2106,2009Q4,80.52,43.9,18.65,103
2106,2009Q3,79.83,45,17.69,97.73
2106,2009Q2,76.37,45.2,17.75,92.63
2106,2009Q1,84.01,48.4,16.97,89.73
2106,2008Q4,89.63,52.1,15.56,82.25
2106,2008Q3,99.78,55.7,15.01,79.33
2106,2008Q2,99.83,57.8,14.85,72.92
2106,2008Q1,93.32,57,14.33,70.29
2106,2007Q4,87.38,55.1,14.51,71.13
2106,2007Q2,83.05,54.4,15.15,69.67
2106,2006Q4,74.7,54.3,13.68,62.89
2106,2006Q2,73.08,54.9,13.78,60.06
2106,2005Q4,69.7,54.3,13.45,58.62
2106,2005Q2,75.03,57.3,13.9,55.98
2106,2004Q4,61.96,52.3,14.33,56.5
2106,2003Q4,55.87,50.5,15.34,54.8
2106,2002Q4,55.19,51.9,15.2,51.16
2106,2001Q4,52.05,53.2,14.26,45.71
2106,2000Q4,49.28,54.2,13.56,41.59
2106,1999Q4,36.39,48.2,14.43,39.15
2106,1998Q4,26.74,42.4,15.8,36.35
2106,1997Q4,27.13,45.9,16.14,32.01
