ID,sid,交易季度,交易日數,開盤,最高,最低,收盤,漲跌,漲跌(%),振幅(%),成交張數千張,成交張數日均,成交金額億元,成交金額日均,法人買賣超(千張)外資,法人買賣超(千張)投信,法人買賣超(千張)自營,法人買賣超(千張)合計,外資持股(%),融資(千張)增減,融資(千張)餘額,融券(千張)增減,融券(千張)餘額,券資比(%)
71,1312,03Q2,63,10.4,14.1,7.75,12.05,+1.35,+12.6,59.3,573,9.1,63.6,1,+9.28,-9.95,+2.7,+2.03,2,-2.94,0,-0.06,0,0
72,1312,03Q1,56,13,20.7,9.6,10.7,-2,-15.8,87.4,957,17.1,147,2.6,+1.03,+2.08,-0.38,+2.72,0.5,-6.52,2.94,-0.24,0.06,2.2
73,1312,02Q4,65,9.2,15.8,7.55,12.7,+3.4,+36.6,88.7,829,12.8,104,1.6,-0.28,+29.4,-2.14,+27,0.4,-12.8,9.47,-0.09,0.3,3.2
74,1312,02Q3,65,8.2,13.5,7.2,9.3,+1.15,+14.1,77.3,757,11.7,87.5,1.3,+0.27,+10.2,+2,+12.5,0.4,-32.4,22.6,-1.26,0.39,1.7
75,1312,02Q2,63,15.9,20.9,8,8.15,-8.25,-50.3,78.7,1330,21.1,188,3,-7.18,-16.5,+0.87,-22.8,0.3,-27.5,55,-5.73,1.65,3
76,1312,02Q1,55,6.55,18,6.5,16.4,+9.95,+154,178,1464,26.6,173,3.1,+7.46,+18.4,+1.8,+27.7,1.5,+28.2,83.4,+8.13,7.8,9.3
77,1312,01Q4,64,4.3,7.35,4.01,6.45,+2.1,+48.3,76.8,427,6.7,22.4,0.35,,,,,0.3,+4.21,57.3,+0.14,0.8,1.4
78,1312,01Q3,61,6.3,6.3,3.9,4.35,-1.85,-29.8,38.7,357,5.9,17.4,0.28,+1.26,-0.38,0,+0.89,0.5,,,,,
79,1312,01Q2,62,13,13,5.85,6.2,-6.6,-51.6,55.9,208,3.4,19,0.31,,,,,0.3,-20.9,67.7,-0.08,0,0.01
80,1312,01Q1,57,10.15,16.3,10.15,12.8,+2.7,+26.7,60.9,835,14.6,116,2,,,,,0.4,+5.02,88.6,+0.11,0.09,0.1
81,1312,00Q4,70,15.2,15.9,8.9,10.1,-5.4,-34.8,45.2,491,7,55.2,0.79,,,,,0.4,-26.7,83,-0.06,0.14,0.2
82,1312,00Q3,70,26.1,26.4,15.5,15.5,-10.2,-39.7,42.4,624,8.9,127,1.8,,,,,1.1,-8.59,113,+0.94,0.54,0.5
83,1312,00Q2,70,36.6,37.6,25,25.7,-10.8,-29.6,34.5,908,13,279,4,,,,,2.4,-1.1,122,-5.86,0.64,0.5
84,1312,00Q1,62,21,39.1,20.8,36.5,+16,+78,89.3,2404,38.8,765,12.3,,,,,3.1,+5.19,128,+9.6,6.9,5.4
85,1312,99Q4,69,24.8,29.1,18.6,20.5,-3.7,-15.3,43.4,1525,22.1,,,,,,,,,,,,
86,1312,99Q3,68,18.9,24.8,15.8,24.2,+5.4,+28.7,47.9,1704,25.1,,,,,,,,,,,,
87,1312,99Q2,68,16.5,25.8,16.5,18.8,+2.41,+14.7,56.7,1865,27.4,,,,,,,,,,,,
88,1312,99Q1,61,15.8,17.1,12.1,16.39,+0.39,+2.44,31.3,395,6.5,,,,,,,,,,,,
89,1312,98Q4,68,15.6,20,15.2,16,+0.4,+2.56,30.8,1083,15.9,,,,,,,,,,,,
90,1312,98Q3,72,18.6,20.2,12.6,15.6,-2.6,-14.3,41.8,593,8.2,,,,,,,,,,,,
91,1312,98Q2,69,22.3,24.1,15.1,18.2,-3.7,-16.9,41.1,302,4.4,,,,,,,,,,,,
92,1312,98Q1,62,22.8,24,20,21.9,-0.9,-3.95,17.5,599,9.7,,,,,,,,,,,,
93,1312,97Q4,71,21.5,25.3,16.8,22.8,+1.3,+6.05,39.5,653,9.2,,,,,,,,,,,,
94,1312,97Q3,74,28.8,29.4,21.4,21.5,-7.2,-25.1,27.9,328,4.4,,,,,,,,,,,,
95,1312,97Q2,74,30.3,33.9,27.4,28.7,-1.1,-3.69,21.8,505,6.8,,,,,,,,,,,,
96,1312,97Q1,67,27,34.9,26.8,29.8,+2.6,+9.56,29.8,1272,19,,,,,,,,,,,,
97,1312,96Q4,73,28.2,28.9,25,27.2,-0.6,-2.16,14,420,5.8,,,,,,,,,,,,
98,1312,96Q3,74,31.8,32,24.5,27.8,-4,-12.6,23.6,406,5.5,,,,,,,,,,,,
99,1312,96Q2,75,35.79,38.5,28.3,31.8,-3.7,-10.4,28.7,705,9.4,,,,,,,,,,,,
100,1312,96Q1,66,36.5,36.5,30.5,35.5,-0.79,-2.18,16.5,779,11.8,,,,,,,,,,,,
101,1312,95Q4,72,28.2,36.4,26.7,36.29,+7.79,+27.3,34,1278,17.7,,,,,,,,,,,,
102,1312,95Q3,75,44.9,44.9,23.6,28.5,-16.7,-37,47.1,1296,17.3,,,,,,,,,,,,
103,1312,95Q2,73,73,74,39.29,45.2,-27.3,-37.7,47.9,660,9,,,,,,,,,,,,
104,1312,95Q1,66,65.5,75.5,56,72.5,+7,+10.7,29.8,767,11.6,,,,,,,,,,,,
105,1312,94Q4,73,60,70,51,65.5,+5.5,+9.17,31.7,786,10.8,,,,,,,,,,,,
106,1312,94Q3,73,41.1,81,41.1,60,+19.21,+47.1,97.8,2007,27.5,,,,,,,,,,,,
107,1312,94Q2,74,32.5,46.3,32.5,40.79,+8.09,+24.7,42.2,1457,19.7,,,,,,,,,,,,
108,1312,94Q1,66,35,36.79,28.2,32.7,-2.4,-6.84,24.5,762,11.5,,,,,,,,,,,,
109,1312,93Q4,72,17,36,16.7,35.1,+18.1,+106,114,687,9.5,,,,,,,,,,,,
110,1312,93Q3,76,19.89,21.8,16.2,17,-3,-15,28,160,2.1,,,,,,,,,,,,
111,1312,93Q2,75,19.89,24.4,17.89,20,+0.3,+1.52,33,486,6.5,,,,,,,,,,,,
112,1312,93Q1,67,15.3,20.39,13.55,19.7,+4.6,+30.5,45.3,197,2.9,,,,,,,,,,,,
113,1312,92Q4,70,17.8,19.2,14.9,15.1,-2.7,-15.2,24.2,44.4,0.63,,,,,,,,,,,,
114,1312,92Q3,72,26.5,26.9,16.3,17.8,-8.8,-33.1,39.8,84.7,1.2,,,,,,,,,,,,
115,1312,92Q2,74,28.8,31.4,26.5,26.6,-2,-6.99,17.1,111,1.5,,,,,,,,,,,,
116,1312,92Q1,68,29,34.2,27.8,28.6,+0.1,+0.35,22.5,125,1.8,,,,,,,,,,,,
117,1312,91Q4,70,33,33.4,27.2,28.5,-4.5,-13.6,18.8,153,2.2,,,,,,,,,,,,
118,1312,91Q3,75,37.4,37.6,28.8,33,-4.2,-11.3,23.7,175,2.3,,,,,,,,,,,,
119,1312,91Q2,74,40.2,43.5,36.2,37.2,-2.7,-6.77,18.3,257,3.5,,,,,,,,,,,,
120,1312,91Q1,67,35.1,40,27.1,39.9,+4.8,+13.7,36.8,304,4.5,,,,,,,,,,,,
