ID,sid,股利發放年度,股利所屬盈餘期間,股東會日期,除息交易日,除息參考價,填息完成日,填息花費日數,現金股利發放日,除權交易日,除權參考價,填權完成日,填權花費日數,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計
0,1301,2020,2019全年,20'06/10,20'07/02,83.2,20'11/11,92,20'07/31,,,,,4.4,0,4.4,0,0,0,4.4
1,1301,2019,2018全年,19'06/11,19'07/02,109,,,19'08/02,,,,,5.8,0,5.8,0,0,0,5.8
2,1301,2018,2017全年,18'06/20,18'07/11,106.5,18'07/30,14,18'08/08,,,,,5.7,0,5.7,0,0,0,5.7
3,1301,2017,2016全年,17'06/13,17'07/12,88.4,17'08/07,19,17'08/09,,,,,4.6,0,4.6,0,0,0,4.6
4,1301,2016,2015全年,16'06/17,16'07/13,77,16'10/19,67,16'08/10,,,,,3.6,0,3.6,0,0,0,3.6
5,1301,2015,2014全年,15'06/25,15'07/15,68.8,15'07/15,1,15'08/12,,,,,1.7,0,1.7,0,0,0,1.7
6,1301,2014,2013全年,14'06/13,14'07/03,78.3,15'04/24,199,,,,,,1.9,0,1.9,0,0,0,1.9
7,1301,2013,2012全年,13'06/14,13'07/17,72.3,13'07/22,4,,13'07/17,72.3,13'07/22,4,1.2,0,1.2,0.4,0,0.4,1.6
8,1301,2012,2011全年,12'06/19,12'07/09,76.4,12'07/20,10,,,,,,4,0,4,0,0,0,4
9,1301,2011,2010全年,11'06/20,11'07/11,103,11'07/14,4,,,,,,6.8,0,6.8,0,0,0,6.8
10,1301,2010,2009全年,10'06/25,10'07/15,68.2,10'09/02,36,,,,,,4,0,4,0,0,0,4
11,1301,2009,2008全年,09'06/05,09'07/08,53.5,09'08/04,20,,09'07/08,53.5,09'08/04,20,1.8,0,1.8,0.7,0,0.7,2.5
12,1301,2008,2007全年,08'06/19,08'07/08,65.1,10'01/08,380,,,,,,6.7,0,6.7,0,0,0,6.7
13,1301,2007,2006全年,07'06/14,07'07/03,78.2,07'07/13,9,,,,,,4.4,0,4.4,0,0,0,4.4
14,1301,2006,2005全年,06'06/05,06'07/05,43.65,06'10/26,80,,06'07/05,43.65,06'10/26,80,4.1,0,4.1,0.3,0,0.3,4.4
15,1301,2005,2004全年,05'05/23,05'06/22,50.1,07'02/14,414,,05'06/22,50.1,07'02/14,414,3.6,0,3.6,0.9,0,0.9,4.5
16,1301,2004,2003全年,04'05/14,04'06/15,42.7,04'06/30,11,,04'06/15,42.7,04'06/30,11,1.8,0,1.8,0.3,0.3,0.6,2.4
17,1301,2003,2002全年,03'05/23,03'06/12,45.8,03'06/12,1,,03'07/01,45.5,03'08/13,32,1.2,0,1.2,0.3,0.3,0.6,1.8
18,1301,2002,2001全年,02'05/24,02'06/13,43.3,02'06/13,1,,02'07/05,41.03,02'07/12,6,0.7,0,0.7,0.7,0,0.7,1.4
19,1301,2001,2000全年,01'05/17,01'06/05,39.2,01'06/06,2,,01'07/05,34.18,01'08/30,40,1,0,1,0.7,0.3,1,2
20,1301,2000,1999全年,00'05/17,00'06/05,,00'06/05,1,,,,,,0.9,0,0.9,0.6,0.3,0.9,1.8
21,1301,1999,1998全年,99'05/20,99'06/08,58.8,99'06/08,1,,99'07/17,51.86,99'07/20,3,0.7,0,0.7,0.6,0.1,0.7,1.4
22,1301,1998,1997全年,98'05/08,,,,,,98'06/26,46.9,98'11/18,111,0,0,0,1.4,0,1.4,1.4
23,1301,1997,1996全年,97'05/06,97'05/21,64.1,97'05/21,1,,97'06/24,68.5,00'02/17,718,0.9,0,0.9,0.9,0,0.9,1.8
24,1301,1996,1995全年,96'04/19,96'05/10,43,96'05/13,3,,96'07/02,64.54,96'12/02,123,1.1,0,1.1,1,0,1,2.1
25,1301,1995,1994全年,95'04/14,95'05/02,50.4,95'05/04,3,,95'07/05,42.79,96'04/06,215,1.1,0,1.1,1.1,0,1.1,2.2
26,1301,1994,1993全年,94'04/26,94'05/17,60.5,94'05/17,1,,94'08/18,56.48,94'08/25,7,0.9,0,0.9,0.8,0,0.8,1.7
27,1301,1993,1992全年,93'04/16,93'05/05,38.4,93'05/06,2,,93'07/30,37.33,93'11/29,97,1,0,1,0.9,0,0.9,1.9
28,1301,1992,1991全年,92'04/16,92'05/05,41.9,93'03/04,234,,92'11/04,33.7,93'02/13,73,1.1,0,1.1,1,0,1,2.1
29,1301,1991,1990全年,91'04/16,91'05/04,56.9,91'05/04,1,,91'09/07,44.59,92'01/30,111,1.1,0,1.1,1.1,0,1.1,2.2
30,1301,1990,1989全年,90'04/13,90'03/12,101.5,,,,90'07/07,47.3,,,1,0,1,1.1,0,1.1,2.1
31,1301,1989,1988全年,,,,,,,,,,,1,0,1,2,0,2,3
32,1301,1988,1987全年,,,,,,,,,,,1,0,1,1.7,0.1,1.8,2.8
33,1301,1987,1986全年,,,,,,,,,,,0.9,0,0.9,1.7,0.1,1.8,2.7
34,1301,1986,1985全年,,,,,,,,,,,1.2,0,1.2,1.1,0.1,1.2,2.4
35,1301,1985,1984全年,,,,,,,,,,,1.3,0,1.3,1.2,0.3,1.5,2.8
36,1301,1984,1983全年,,,,,,,,,,,1,0,1,1,0.4,1.4,2.4
