ID,sid,股利發放年度,股利所屬盈餘期間,股東會日期,除息交易日,除息參考價,填息完成日,填息花費日數,現金股利發放日,除權交易日,除權參考價,填權完成日,填權花費日數,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計
0,1608,2020,2019全年,20'06/17,20'07/08,9.32,20'08/18,30,20'08/13,,,,,0.66,0,0.66,0,0,0,0.66
1,1608,2019,2018全年,19'06/12,,,,,,,,,,0,0,0,0,0,0,0
2,1608,2018,2017全年,18'06/14,18'07/05,10.45,20'09/08,534,18'08/10,,,,,0.73,0,0.73,0,0,0,0.73
3,1608,2017,2016全年,17'06/30,,,,,,,,,,0,0,0,0,0,0,0
4,1608,2016,2015全年,16'06/16,,,,,,,,,,0,0,0,0,0,0,0
5,1608,2015,2014全年,15'06/17,,,,,,,,,,0,0,0,0,0,0,0
6,1608,2014,2013全年,14'06/12,14'06/26,11.15,17'11/29,845,,,,,,0.7,0,0.7,0,0,0,0.7
7,1608,2013,2012全年,13'06/20,13'07/10,10.9,13'08/06,20,,,,,,0.7,0,0.7,0,0,0,0.7
8,1608,2012,2011全年,12'06/06,,,,,,,,,,0,0,0,0,0,0,0
9,1608,2011,2010全年,11'06/22,11'07/19,10.25,11'07/19,1,,,,,,0.35,0,0.35,0,0,0,0.35
10,1608,2010,2009全年,10'06/09,10'07/07,10.35,10'07/08,2,,,,,,0.5,0,0.5,0,0,0,0.5
11,1608,2009,2008全年,09'06/10,,,,,,,,,,0,0,0,0,0,0,0
12,1608,2008,2007全年,08'06/19,08'08/04,8.95,09'08/20,262,,,,,,0.7,0,0.7,0,0,0,0.7
13,1608,2007,2006全年,07'06/13,07'07/12,12.05,07'07/18,5,,,,,,0.4,0,0.4,0,0,0,0.4
14,1608,2006,2005全年,06'06/12,,,,,,,,,,0,0,0,0,0,0,0
15,1608,2005,2004全年,05'06/20,05'07/14,6.47,06'05/02,196,,,,,,0.5,0,0.5,0,0,0,0.5
16,1608,2004,2003全年,04'06/14,04'06/30,8.4,04'07/08,7,,,,,,0.6,0,0.6,0,0,0,0.6
17,1608,2003,2002全年,03'06/16,03'07/30,6.7,03'10/08,50,,03'07/30,6.7,03'10/08,50,0.5,0,0.5,0.05,0,0.05,0.55
18,1608,2002,2001全年,02'06/19,,,,,,,,,,0,0,0,0,0,0,0
19,1608,2001,2000全年,01'06/20,,,,,,,,,,0,0,0,0,0,0,0
20,1608,2000,1999全年,00'06/13,00'08/08,7.57,01'02/06,131,,00'08/08,7.57,01'02/06,131,0.3,0,0.3,0.3,0.2,0.5,0.8
21,1608,1999,1998全年,99'06/08,99'08/06,10.38,99'08/18,10,,99'08/06,10.38,99'08/18,10,0.5,0,0.5,0.5,0,0.5,1
22,1608,1998,1997全年,98'05/20,98'07/16,17.4,,,,98'07/16,17.4,,,0.7,0,0.7,0.8,0,0.8,1.5
23,1608,1997,1996全年,97'06/11,97'08/08,22.5,,,,97'08/08,22.5,,,0.7,0,0.7,0.5,0.3,0.8,1.5
24,1608,1996,1995全年,96'06/10,96'08/03,22.6,96'09/09,32,,96'08/03,22.6,96'09/09,32,0.5,0,0.5,0.2,0.3,0.5,1
25,1608,1995,1994全年,95'06/14,95'07/28,,95'09/07,36,,95'07/28,,95'09/07,36,0.8,0,0.8,0,0.7,0.7,1.5
26,1608,1994,1993全年,94'05/18,94'06/14,35.5,94'07/27,35,,94'07/23,32.3,94'07/26,3,1.2,0,1.2,0,1,1,2.2
27,1608,1993,1992全年,93'05/18,93'06/11,38.6,93'12/15,151,,93'07/14,31.8,93'12/06,117,1.5,0,1.5,0.23,1.07,1.3,2.8
28,1608,1992,1991全年,92'05/29,92'06/30,88.5,92'06/30,1,,92'10/29,45.5,,,1.5,0,1.5,1.3,0.2,1.5,3
29,1608,1991,1990全年,91'05/30,91'06/25,90.5,92'06/16,280,,91'07/30,62.08,91'07/30,1,2,0,2,1.8,0.2,2,4
30,1608,1990,1989全年,90'05/24,,,,,,90'08/16,60.71,,,0,0,0,3.6,0.4,4,4
31,1608,1989,1988全年,,,,,,,,,,,1,0,1,2.5,0.5,3,4
32,1608,1988,1987全年,,,,,,,,,,,0,0,0,1.64,0.36,2,2
33,1608,1987,1986全年,,,,,,,,,,,0,0,0,0.35,0.58,0.93,0.93
34,1608,1986,1985全年,,,,,,,,,,,0,0,0,0.41,0.17,0.58,0.58
35,1608,1985,1984全年,,,,,,,,,,,0,0,0,1.06,0.5,1.56,1.56
36,1608,1984,1983全年,,,,,,,,,,,0,0,0,1.5,1,2.5,2.5
