ID,sid,交易季度,交易日數,開盤,最高,最低,收盤,漲跌,漲跌(%),振幅(%),成交張數千張,成交張數日均,成交金額億元,成交金額日均,法人買賣超(千張)外資,法人買賣超(千張)投信,法人買賣超(千張)自營,法人買賣超(千張)合計,外資持股(%),融資(千張)增減,融資(千張)餘額,融券(千張)增減,融券(千張)餘額,券資比(%)
102,1444,95Q3,75,25.7,25.9,20,23.9,-2.1,-8.08,22.7,648,8.6,,,,,,,,,,,,
103,1444,95Q2,73,41,43.9,25.1,26,-15.5,-37.4,45.3,287,3.9,,,,,,,,,,,,
104,1444,95Q1,66,43.2,43.5,31.7,41.5,-1.3,-3.04,27.6,340,5.1,,,,,,,,,,,,
105,1444,94Q4,73,31.8,49.6,26.8,42.8,+11.4,+36.3,72.6,756,10.4,,,,,,,,,,,,
106,1444,94Q3,73,39.2,39.7,29.5,31.4,-7.6,-19.5,26.2,148,2,,,,,,,,,,,,
107,1444,94Q2,74,37.6,42.3,37.5,39,+1.21,+3.2,12.7,226,3.1,,,,,,,,,,,,
108,1444,94Q1,66,41.9,47,37.29,37.79,-3.71,-8.94,23.4,163,2.5,,,,,,,,,,,,
109,1444,93Q4,72,36,44,35.2,41.5,+5.4,+15,24.4,308,4.3,,,,,,,,,,,,
110,1444,93Q3,76,47,47.1,33.29,36.1,-12,-25,28.7,415,5.5,,,,,,,,,,,,
111,1444,93Q2,75,53.5,65.5,42.5,48.1,-5.4,-10.1,43,578,7.7,,,,,,,,,,,,
112,1444,93Q1,67,28.3,56.5,25,53.5,+25.5,+91.1,112,364,5.4,,,,,,,,,,,,
113,1444,92Q4,70,33,36.5,27.2,28,-4.4,-13.6,28.7,52.8,0.75,,,,,,,,,,,,
114,1444,92Q3,72,55,57,30.2,32.4,-22.6,-41.1,48.7,81.3,1.1,,,,,,,,,,,,
115,1444,92Q2,74,67.5,67.5,50.5,55,-13,-19.1,25,93.7,1.3,,,,,,,,,,,,
116,1444,92Q1,68,56,76.5,54.5,68,+13.5,+24.8,40.4,95.9,1.4,,,,,,,,,,,,
117,1444,91Q4,70,56,57,46.2,54.5,-0.5,-0.91,19.6,40.8,0.58,,,,,,,,,,,,
118,1444,91Q3,75,79,80,51,55,-23,-29.5,37.2,51,0.68,,,,,,,,,,,,
119,1444,91Q2,74,86,94,77,78,-6,-7.14,20.2,197,2.7,,,,,,,,,,,,
120,1444,91Q1,67,59.5,84,41,84,+24.5,+41.2,72.3,91.9,1.4,,,,,,,,,,,,
