sid,單季,負債總額,負債總額百分比,每股淨值(元),股東權益總額
2380,2020Q3,14.85,57.6,6.09,10.92
2380,2020Q2,11.42,49.4,6.53,11.71
2380,2020Q1,11.53,47.1,7.23,12.96
2380,2020Q1,11.53,47.1,7.23,12.96
2380,2020Q1,11.53,47.1,7.23,12.96
2380,2020Q1,11.53,47.1,7.23,12.96
2380,2020Q1,11.53,47.1,7.23,12.96
2380,2019Q4,12.02,45.2,8.99,14.59
2380,2019Q4,12.02,45.2,8.99,14.59
2380,2019Q4,12.02,45.2,8.99,14.59
2380,2019Q3,13.9,49.9,8.6,13.95
2380,2019Q3,13.9,49.9,8.6,13.95
2380,2019Q3,13.9,49.9,8.6,13.95
2380,2019Q3,13.9,49.9,8.6,13.95
2380,2019Q2,14.61,48.8,7.36,15.31
2380,2019Q2,14.61,48.8,7.36,15.31
2380,2019Q2,14.61,48.8,7.36,15.31
2380,2019Q2,14.61,48.8,7.36,15.31
2380,2019Q1,14.3,46.3,7.96,16.56
2380,2019Q1,14.3,46.3,7.96,16.56
2380,2019Q1,14.3,46.3,7.96,16.56
2380,2018Q4,12.19,42.3,7.98,16.61
2380,2018Q4,12.19,42.3,7.98,16.61
2380,2018Q4,12.19,42.3,7.98,16.61
2380,2018Q4,12.19,42.3,7.98,16.61
2380,2018Q4,12.19,42.3,7.98,16.61
2380,2018Q3,11.5,39.1,8.6,17.88
2380,2018Q3,11.5,39.1,8.6,17.88
2380,2018Q3,11.5,39.1,8.6,17.88
2380,2018Q2,11.42,36.9,9.38,19.5
2380,2018Q2,11.42,36.9,9.38,19.5
2380,2018Q2,11.42,36.9,9.38,19.5
2380,2018Q2,11.42,36.9,9.38,19.5
2380,2018Q1,11.08,34.6,10.05,20.91
2380,2018Q1,11.08,34.6,10.05,20.91
2380,2018Q1,11.08,34.6,10.05,20.91
2380,2017Q4,10.13,31.8,10.43,21.7
2380,2017Q4,10.13,31.8,10.43,21.7
2380,2017Q4,10.13,31.8,10.43,21.7
2380,2017Q3,8.7,26.4,11.64,24.2
2380,2017Q3,8.7,26.4,11.64,24.2
2380,2017Q3,8.7,26.4,11.64,24.2
2380,2017Q3,8.7,26.4,11.64,24.2
2380,2017Q3,8.7,26.4,11.64,24.2
2380,2017Q3,8.7,26.4,11.64,24.2
2380,2017Q3,8.7,26.4,11.64,24.2
2380,2017Q2,7.15,22.2,12.04,25.04
2380,2017Q2,7.15,22.2,12.04,25.04
2380,2017Q2,7.15,22.2,12.04,25.04
2380,2017Q1,6.77,20.7,12.51,26.02
2380,2017Q1,6.77,20.7,12.51,26.02
2380,2017Q1,6.77,20.7,12.51,26.02
2380,2017Q1,6.77,20.7,12.51,26.02
2380,2017Q1,6.77,20.7,12.51,26.02
2380,2016Q4,8.68,23.7,13.41,27.9
2380,2016Q4,8.68,23.7,13.41,27.9
2380,2016Q4,8.68,23.7,13.41,27.9
2380,2016Q3,8.54,22.6,14.05,29.23
2380,2016Q3,8.54,22.6,14.05,29.23
2380,2016Q3,8.54,22.6,14.05,29.23
2380,2016Q2,8.46,22,14.41,30
2380,2016Q2,8.46,22,14.41,30
2380,2016Q2,8.46,22,14.41,30
