ID,sid,股利發放年度,股利所屬盈餘期間,股東會日期,除息交易日,除息參考價,填息完成日,填息花費日數,現金股利發放日,除權交易日,除權參考價,填權完成日,填權花費日數,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計
0,2607,2020,2019全年,20'06/22,20'08/04,13.05,20'08/06,3,20'08/17,,,,,0.3,0,0.3,0,0,0,0.3
1,2607,2019,2018全年,19'06/27,19'08/08,13.75,19'10/14,43,19'09/10,,,,,0.35,0,0.35,0,0,0,0.35
2,2607,2018,2017全年,18'06/26,18'08/02,13,18'08/30,21,18'09/05,,,,,0.35,0,0.35,0,0,0,0.35
3,2607,2017,2016全年,17'06/28,17'08/10,13.65,17'08/17,6,17'09/15,,,,,0.35,0,0.35,0,0,0,0.35
4,2607,2016,2015全年,16'06/15,16'08/11,12.95,16'11/21,69,16'09/08,,,,,0.35,0,0.35,0,0,0,0.35
5,2607,2015,2014全年,15'06/15,15'08/13,13.8,15'08/17,3,15'09/10,,,,,0.35,0,0.35,0,0,0,0.35
6,2607,2014,2013全年,14'06/12,14'08/20,18.45,14'08/20,1,14'09/18,,,,,0.3,0,0.3,0,0,0,0.3
7,2607,2013,2012全年,13'06/19,13'08/20,18.65,13'08/30,8,,,,,,0.3,0,0.3,0,0,0,0.3
8,2607,2012,2011全年,12'06/19,12'08/23,16.25,12'08/24,2,,,,,,0.3,0,0.3,0,0,0,0.3
9,2607,2011,2010全年,11'06/15,11'08/18,19.45,12'09/19,273,,,,,,0.7,0,0.7,0,0,0,0.7
10,2607,2010,2009全年,10'06/15,10'08/19,26.3,10'08/23,3,,,,,,0.5,0,0.5,0,0,0,0.5
11,2607,2009,2008全年,09'06/10,,,,,,,,,,0,0,0,0,0,0,0
12,2607,2008,2007全年,08'06/19,08'08/21,19.75,08'08/26,4,,,,,,0.7,0,0.7,0,0,0,0.7
13,2607,2007,2006全年,07'06/12,07'08/07,18.1,07'09/27,35,,,,,,0.9,0,0.9,0,0,0,0.9
14,2607,2006,2005全年,06'06/12,06'08/03,16.05,06'11/13,71,,,,,,0.9,0,0.9,0,0,0,0.9
15,2607,2005,2004全年,05'06/17,05'08/02,11.4,05'08/02,1,,,,,,0.7,0,0.7,0,0,0,0.7
16,2607,2004,2003全年,04'06/18,04'08/05,10.4,04'08/09,3,,,,,,0.5,0,0.5,0,0,0,0.5
17,2607,2003,2002全年,03'06/20,03'08/05,10.2,03'08/19,11,,,,,,0.4,0,0.4,0,0,0,0.4
18,2607,2002,2001全年,02'06/27,02'08/01,13.3,03'01/07,111,,,,,,0.3,0,0.3,0,0,0,0.3
19,2607,2001,2000全年,01'05/11,01'06/28,8.5,01'06/28,1,,,,,,0.2,0,0.2,0,0,0,0.2
20,2607,2000,1999全年,00'05/17,,,,,,00'07/15,18.7,00'07/18,3,0,0,0,0.5,1,1.5,1.5
21,2607,1999,1998全年,,,,,,,,,,,0,0,0,1,1.5,2.5,2.5
22,2607,1998,1997全年,98'06/15,,,,,,98'08/06,,98'10/03,47,0,0,0,2,0.5,2.5,2.5
23,2607,1997,1996全年,97'07/18,97'08/09,,97'08/09,1,,,,,,1,0,1,0,0,0,1
24,2607,1996,1995全年,,,,,,,,,,,0.5,0,0.5,0,0.5,0.5,1
25,2607,1995,1994全年,,,,,,,,,,,1,0,1,0,0,0,1
26,2607,1994,1993全年,94'05/04,94'06/01,,94'06/01,1,,,,,,1,0,1,0,0,0,1
27,2607,1993,1992全年,93'04/17,,,,,,93'10/09,,97'02/15,955,0,0,0,2.5,1,3.5,3.5
28,2607,1992,1991全年,92'06/01,92'06/01,,92'06/01,1,,,,,,1.5,0,1.5,0,0,0,1.5
29,2607,1991,1990全年,,,,,,,,,,,2.2,0,2.2,0,0,0,2.2
30,2607,1990,1989全年,,,,,,,,,,,0,0,0,2.39,0,2.39,2.39
31,2607,1989,1988全年,,,,,,,,,,,0,0,0,3.01,0,3.01,3.01
32,2607,1988,1987全年,,,,,,,,,,,3.5,0,3.5,0,0,0,3.5
