sid,單季,負債總額,負債總額百分比,每股淨值(元),股東權益總額
1319,2020Q3,134.1,37.7,36.24,221.3
1319,2020Q2,139.5,39.2,35.37,216.1
1319,2020Q1,138.5,37.8,37.33,227.9
1319,2019Q4,143.7,38.7,37.15,227.4
1319,2019Q3,146.6,39.7,36.21,222.3
1319,2019Q2,155.3,41.4,35.67,219.5
1319,2019Q1,147.1,39.5,36.54,225.3
1319,2018Q4,153.8,41.3,35.42,218.7
1319,2018Q3,157.5,42.5,34.48,213.2
1319,2018Q2,167.8,44.1,34.4,213.1
1319,2018Q1,163.6,42.6,35.56,220
1319,2017Q4,163.4,43.4,34.46,213.4
1319,2017Q3,167.6,45.1,32.95,204.3
1319,2017Q2,167.2,45.9,31.79,197.3
1319,2017Q1,153.9,43.2,32.7,202.4
1319,2016Q4,163.1,44.7,32.47,201.5
1319,2016Q3,158.1,44.7,31.38,195.2
1319,2016Q2,163.5,46,30.74,191.6
1319,2016Q1,157.2,44.4,31.52,196.5
1319,2015Q4,171.4,47.3,30.64,191.3
1319,2015Q3,163.7,46.8,29.8,186.3
1319,2015Q2,167.1,48.3,28.62,179
1319,2015Q1,164.9,47.4,29.23,182.9
1319,2014Q4,166.3,48.1,28.62,179.6
1319,2014Q3,152.6,46.3,28.29,177.3
1319,2014Q2,151.6,46.6,27.73,173.8
1319,2014Q1,134.8,42.5,28.67,182.3
1319,2013Q4,133.9,42.9,28.02,178.4
1319,2013Q3,128.6,42.2,27.25,176.4
1319,2013Q2,130.7,43.1,27.39,172.6
1319,2013Q1,124.7,42.4,26.91,169.3
1319,2012Q4,123.1,42.9,26.62,164
1319,2012Q3,125.1,43.4,26.52,163.5
1319,2012Q2,126.5,43.8,27.28,162.1
1319,2012Q1,126.8,43.8,27.4,162.9
1319,2011Q4,139.7,45.8,27.1,165.3
1319,2011Q3,140.4,46.3,26.72,162.8
1319,2011Q2,131.5,45.8,27.41,155.5
1319,2011Q1,138.5,47,27.63,156.4
1319,2010Q4,127.4,45.6,26.73,151.9
1319,2010Q3,124.5,44.8,27.03,153.7
1319,2010Q2,142.8,49.8,22.88,144
1319,2010Q1,143.1,48.9,23.64,149.3
1319,2009Q4,140.2,49.4,22.67,143.4
1319,2009Q3,137,49.4,22.06,140.2
1319,2009Q2,142.1,51.6,21.53,133.2
1319,2009Q1,141.8,51.8,21.28,131.8
1319,2008Q4,142,53,20.23,126.1
1319,2008Q3,146.7,53.5,20.11,127.7
1319,2008Q2,143.1,53.8,20.55,122.7
1319,2008Q1,134.5,52.3,20.66,122.5
1319,2007Q4,137.9,53.1,20.41,121.9
1319,2007Q2,136.4,54.4,19.79,114.5
1319,2006Q4,133.3,54.3,18.77,112.4
1319,2006Q2,123.5,53.4,18.09,107.8
1319,2005Q4,106.3,49.2,18.4,109.7
1319,2005Q2,94.78,50.8,16.06,91.65
1319,2004Q4,61.28,45.1,16.83,74.7
1319,2003Q4,53.17,44.3,15.59,66.96
1319,2002Q4,58.3,55.2,12.73,47.23
1319,2001Q4,68.73,62.9,11.75,40.55
1319,2000Q4,63.24,59.8,10.81,42.43
