ID,sid,股利發放年度,股利所屬盈餘期間,股東會日期,除息交易日,除息參考價,填息完成日,填息花費日數,現金股利發放日,除權交易日,除權參考價,填權完成日,填權花費日數,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計
0,1590,2020,2019全年,,20'09/03,689,20'09/04,2,20'10/07,,,,,4.73,0,4.73,0,0,0,4.73
1,1590,2019,2018全年,19'06/21,19'09/03,322.5,19'09/05,3,19'10/04,,,,,5.24,0,5.24,0,0,0,5.24
2,1590,2018,2017全年,18'06/11,18'08/30,298,18'09/19,15,18'10/05,,,,,7.44,0,7.44,0,0,0,7.44
3,1590,2017,2016全年,17'05/16,17'06/15,309.5,17'06/16,2,17'07/20,,,,,5.37,0,5.37,0,0,0,5.37
4,1590,2016,2015全年,16'05/18,16'08/29,234,16'08/29,1,16'09/29,,,,,4,0,4,0,0,0,4
5,1590,2015,2014全年,15'05/28,15'06/15,194.5,16'04/13,203,15'07/15,15'06/15,194.5,16'04/13,203,4.8,0,4.8,0.5,0,0.5,5.3
6,1590,2014,2013全年,14'05/29,14'06/17,312,14'06/27,9,,,,,,6.3,0,6.3,0,0,0,6.3
7,1590,2013,2012全年,13'05/22,13'06/07,149.5,13'07/15,26,,13'06/07,149.5,13'07/15,26,3.8,0,3.8,0.7,0,0.7,4.5
8,1590,2012,2011全年,12'06/14,12'07/02,164.5,12'12/17,119,,,,,,5.3,0,5.3,0,0,0,5.3
9,1590,2011,2010全年,11'06/09,11'06/27,221.5,11'06/28,2,,,,,,4.36,0,4.36,0,0,0,4.36
