sid,單季,負債總額,負債總額百分比,每股淨值(元),股東權益總額
2417,2020Q3,29.15,35.9,19.53,52.02
2417,2020Q2,12.1,22.6,15.42,41.36
2417,2020Q1,6.87,14.6,14.69,40.3
2417,2019Q4,8.36,17.2,14.65,40.17
2417,2019Q3,8,16.8,14.46,39.57
2417,2019Q2,8.57,17.9,14.46,39.4
2417,2019Q1,7.34,15.7,14.48,39.39
2417,2018Q4,7.18,15.1,14.8,40.41
2417,2018Q3,8.3,17.3,14.54,39.77
2417,2018Q2,7.11,15.2,14.51,39.63
2417,2018Q1,5.76,12.6,14.62,39.84
2417,2017Q4,6.31,13.5,14.82,40.27
2417,2017Q3,6.37,13.6,14.89,40.51
2417,2017Q2,6.53,14,14.85,40.29
2417,2017Q1,5.76,12.3,15.02,41.15
2417,2016Q4,7.15,14.6,15.24,41.8
2417,2016Q3,7.12,14.6,15.24,41.66
2417,2016Q2,7.01,14.4,15.36,41.7
2417,2016Q1,5.75,11.9,15.38,42.68
2417,2015Q4,6.62,13.3,15.63,43.27
2417,2015Q3,6.48,12.8,15.94,44.03
2417,2015Q2,6.4,12.5,16.05,44.82
2417,2015Q1,6.04,11.5,16.45,46.69
2417,2014Q4,6.92,12.7,16.86,47.72
2417,2014Q3,7.38,13.3,17.1,48.19
2417,2014Q2,7.58,13.5,17.29,48.43
2417,2014Q1,6.03,11,17.57,48.91
2417,2013Q4,3.35,8.62,17.55,35.46
2417,2013Q3,2.82,7.19,17.82,36.45
2417,2013Q2,3.98,9.8,17.92,36.64
2417,2013Q1,2.97,7.24,18.58,38
2417,2012Q4,2.63,6.43,18.77,38.23
2417,2012Q3,3.74,8.83,18.81,38.58
2417,2012Q2,8.31,17.7,18.76,38.69
2417,2012Q1,5.29,11,20.78,42.85
2417,2011Q4,5.86,11.9,20.79,43.36
2417,2011Q3,6.78,13.4,20.79,43.96
2417,2011Q2,14.02,24.4,20.34,43.54
2417,2011Q1,17.18,22,22.32,60.98
2417,2010Q4,16.71,22.2,21.75,58.4
2417,2010Q3,13.09,19.2,20.89,55.24
2417,2010Q2,22.58,30.2,19.75,52.22
2417,2010Q1,18.55,24.6,22.09,56.76
2417,2009Q4,14.45,22.8,19.41,48.96
2417,2009Q3,13.68,22.7,18.56,46.62
2417,2009Q2,15.62,26.4,17.88,43.65
2417,2009Q1,13.21,23.8,18.97,42.28
2417,2008Q4,13.89,25.6,18.18,40.46
2417,2008Q3,12.54,25,17.33,37.61
2417,2008Q2,14.63,29.1,18.09,35.56
2417,2008Q1,8.26,17.7,19.47,38.28
2417,2007Q4,9.44,19.7,19.27,38.47
2417,2007Q2,11.88,27,17.37,32.05
2417,2006Q4,11.15,26,17.34,31.8
2417,2006Q2,12.79,31,17.44,28.48
2417,2005Q4,11.76,29.5,17.46,28.14
2417,2005Q2,14.93,41.8,16.59,20.79
2417,2004Q4,13.58,39.4,16.94,20.88
2417,2003Q4,9.06,32.7,15.78,18.68
2417,2002Q4,7.32,30.9,15.32,16.34
2417,2001Q4,2.89,15.6,15.76,15.68
2417,2000Q4,2.6,15,17.16,14.74
2417,1999Q4,6.18,36.6,17.77,10.72
2417,1998Q4,3.91,28.7,19.64,9.72
2417,1997Q4,4.06,31.4,25.37,8.85
2417,1996Q4,1.71,32.6,16.84,3.53
