ID,sid,交易季度,交易日數,開盤,最高,最低,收盤,漲跌,漲跌(%),振幅(%),成交張數千張,成交張數日均,成交金額億元,成交金額日均,法人買賣超(千張)外資,法人買賣超(千張)投信,法人買賣超(千張)自營,法人買賣超(千張)合計,外資持股(%),融資(千張)增減,融資(千張)餘額,融券(千張)增減,融券(千張)餘額,券資比(%)
0,2887,21Q1,33,13.15,13.35,12.5,12.95,-0.3,-2.26,6.42,554,16.8,71.6,2.2,,,,,,,,,,
1,2887,20Q4,63,12.9,13.4,12.55,13.25,+0.45,+3.52,6.64,710,11.3,92.9,1.5,+92.7,+0.13,-7.92,+84.9,26.4,-2.33,6.59,+0.02,0.16,2.4
2,2887,20Q3,66,13.35,13.95,12.4,12.8,-0.55,-4.12,11.6,1153,17.5,154,2.3,-55.1,+5.22,+0.43,-49.4,25.6,+0.93,8.93,+0.09,0.14,1.5
3,2887,20Q2,60,11.7,13.7,11.4,13.35,+1.65,+14.1,19.7,1215,20.2,154,2.6,-121,+0.11,+0.95,-120,25.8,-4.7,8,-0.06,0.05,0.6
4,2887,20Q1,56,14.5,14.8,10.1,11.7,-2.8,-19.3,32.4,1576,28.1,206,3.7,-110,+8.88,-5.71,-107,27,+2.16,12.7,+0.01,0.11,0.9
5,2887,19Q4,64,13.9,14.65,13.75,14.5,+0.65,+4.69,6.5,816,12.8,117,1.8,+14.4,+2.17,+0.81,+17.3,28.2,-6.24,10.6,+0.08,0.1,0.9
6,2887,19Q3,63,14.35,14.8,13.3,13.85,-0.45,-3.15,10.5,1087,17.2,153,2.4,-7.6,+5.54,-4.64,-6.7,28,-2.9,16.8,-0.01,0.02,0.1
7,2887,19Q2,61,14.1,14.4,13.7,14.3,+0.25,+1.78,4.98,1106,18.1,155,2.5,+80.9,-0.01,+3.29,+84.2,27.7,+3.46,19.7,-0.1,0.03,0.2
8,2887,19Q1,54,13.1,14.1,12.95,14.05,+1,+7.66,8.81,964,17.8,132,2.4,+16.2,-1.39,+2.09,+16.9,26.8,-1.34,16.2,-0.62,0.13,0.8
9,2887,18Q4,65,14.75,14.9,12.95,13.05,-1.7,-11.5,13.2,1142,17.6,156,2.4,-33.2,+0.48,-0.37,-33,26.6,-1.98,17.6,+0.65,0.76,4.3
10,2887,18Q3,64,14.4,15.35,13.95,14.75,+0.35,+2.43,9.72,1207,18.9,177,2.8,+11.3,+0.89,-1.12,+11.1,27,+1.53,19.6,+0.09,0.11,0.6
11,2887,18Q2,60,14.25,15.05,14.05,14.4,+0.15,+1.05,7.02,830,13.8,121,2,+10.9,-1.27,+1.61,+11.3,26.6,-2.39,18,+0.02,0.02,0.1
12,2887,18Q1,58,13.8,14.85,13.35,14.25,+0.4,+2.89,10.8,992,17.1,141,2.4,-10.5,-2.56,-2.67,-15.7,26.5,+3.58,20.4,-0.09,0,0
13,2887,17Q4,62,13.05,13.9,13.05,13.85,+0.8,+6.13,6.51,818,13.2,110,1.8,+72.7,+2.25,-5.95,+69,26.7,-1.46,16.8,+0.05,0.09,0.6
14,2887,17Q3,66,13.8,14.45,12.85,13.05,-0.8,-5.78,11.6,1140,17.3,156,2.4,,,,,25.9,-6.9,18.3,-0.04,0.05,0.3
15,2887,17Q2,61,12.65,14.05,12.15,13.85,+1.2,+9.49,15,1248,20.5,164,2.7,+23.9,-1.13,-1.36,+21.4,26.8,-17,25.2,-0.15,0.08,0.3
16,2887,17Q1,57,11.8,12.7,11.7,12.65,+0.85,+7.2,8.47,950,16.7,115,2,-20.2,-0.53,-25.3,-46,25.8,-3.56,42.2,+0.01,0.24,0.6
17,2887,16Q4,64,11.7,12.1,11.2,11.8,+0.15,+1.29,7.73,858,13.4,99.8,1.6,-51.2,-1.11,-21,-73.3,26,-2.89,45.7,-0.77,0.22,0.5
18,2887,16Q3,62,12.45,13.45,11.55,11.65,-0.75,-6.05,15.3,1338,21.6,168,2.7,+124,+0.66,+17,+142,26.4,-4.97,48.6,+0.86,0.99,2
19,2887,16Q2,61,11.35,12.8,11,12.4,+1.05,+9.25,15.9,1195,19.6,143,2.3,+36.2,-0.91,+55.2,+90.5,24.7,-21.7,53.6,+0.13,0.13,0.2
20,2887,16Q1,57,11.4,11.7,9.91,11.35,-0.05,-0.44,15.7,1256,22,136,2.4,-167,+1.45,-4.58,-170,23.4,+11.8,75.3,-0.57,0,0
21,2887,15Q4,65,11.55,13.1,11,11.4,-0.25,-2.15,18,993,15.3,120,1.8,-167,-2.34,+0.54,-168,25,+6.5,63.9,-2.47,0.57,0.9
22,2887,15Q3,63,12.9,13.05,10,11.65,-1.2,-9.34,23.7,1051,16.7,125,2,-138,+0.11,-5.68,-143,26.8,-11.4,57.4,+3.01,3.04,5.3
23,2887,15Q2,61,13.3,14.3,12.6,12.85,-0.45,-3.38,12.8,1400,23,188,3.1,-190,-1.75,+12.3,-179,30.2,-3.58,68.7,-0.44,0.03,0.05
