sid,季度,股票報酬率,負債/淨值比,淨值報酬率,季成交量(百萬股),t+1季周轉率,t+1季底個股市值,季底收盤價,淨值股價比,益本比,每股淨值(元),稅後EPS,稅後淨利,t+1季新淨值股價比,t+1季新益本比,成長指標0.02,成長指標0.04,成長指標0.06,成長指標0.08,成長指標0.1,成長指標0.15,成長指標0.2,成長指標0.3
2323,2020Q3,1.0869565217391304,0.3332620320855615,-1.88,765000.0,65.94827586206897,9048.0,7.8,1.9730769230769232,-0.038461538461538464,15.84,-0.3,-3.46,1.6217070600632244,-0.031612223393045306,-0.8920425129974692,-0.9042498238577726,-0.9166241877859164,-0.9291678908486511,-0.9418832503968056,-0.9744381413347956,-1.0081182470205134,-1.0790110128272854
2323,2020Q2,1.1185410334346504,0.34559748427672954,6.18,710000.0,61.206896551724135,8537.6,7.36,2.2540760869565215,0.12635869565217392,16.16,0.93,11.2,2.126923076923077,0.11923076923076924,7.297663193943456,7.417254608946658,7.538805843985724,7.662349015869143,7.787916767723832,8.110912756048213,8.447304677018666,9.162521690282121
2323,2020Q1,0.6875653082549634,0.3731277533039648,-6.93,755000.0,65.08620689655173,7632.799999999999,6.58,2.5197568389057747,-0.17021276595744683,15.39,-1.12,-13,2.2527173913043477,-0.15217391304347827,-6.040624865188195,-6.153313450578398,-6.268104255119872,-6.385036495964425,-6.504150121864554,-6.811746672320753,-7.133890186804502,-7.824602483621054
2323,2019Q4,1.153012048192771,0.30332821300563234,0.27,865000.0,74.56896551724138,11101.2,9.57,1.1818181818181819,0.0073145245559038665,16.59,0.07,0.83,1.7188449848024316,0.010638297872340427,1.2742502700464144,1.2785147643412287,1.282793530488298,1.287086616250793,1.2913940695517314,1.3022258767282258,1.3131485376955767,1.3352694756067685
2323,2019Q3,1.208151382823872,0.1943193449334698,-1.35,1968000.0,169.65517241379308,9628.0,8.3,1.3433734939759034,-0.027710843373493974,16.58,-0.23,-2.6,1.1650992685475443,-0.024033437826541274,-0.3520723992532042,-0.35415706947402176,-0.3562540833205787,-0.3583635138812201,-0.3604854346770574,-0.36584536786307004,-0.371284996040877,-0.3824080948196144
2323,2019Q2,0.9758522727272727,0.18382871536523931,-1.11,2950.0,1.9798657718120807,305.45,2.05,1.5982532751091703,-0.02926829268292683,11.31,-0.06,-0.09,1.3228915662650602,-0.033707865168539325,2.0491273501144405,2.0684349246241522,2.0879244216646557,2.1075975553718824,2.1274560560329348,2.1779247906461237,2.2295907735720246,2.3366287653748574
2323,2019Q1,0.6708074534161491,0.17522935779816515,0.91,747000.0,43.179190751445084,12179.2,7.04,1.4374999999999998,0.024147727272727276,11.15,0.17,2.02,1.4730713245997087,0.024745269286754003,1.9239134213493203,1.937928195208402,1.9520450598809997,1.966264759049054,1.980588041811865,2.0168543922570987,2.053784812234638,2.1296867222862574
2323,2018Q4,0.9824046920821115,0.3010261672652642,5.81,1511000.0,85.36723163841808,11859.0,6.7,1.517910447761194,0.09402985074626866,10.98,0.63,11.3,1.4446022727272727,0.08948863636363637,6.867078862427815,6.92463613844389,6.982675837931248,7.0412020043822485,7.1002187151802785,7.249933690674919,7.402805551159515,7.718287594593723
2323,2018Q3,0.7577777777777778,0.3127186009538951,-0.4,2919000.0,160.38461538461542,12412.4,6.82,1.5,-0.005865102639296188,10.12,-0.04,-0.73,1.526865671641791,-0.005970149253731343,0.6048853629674575,0.6098105038871214,0.6147757466418826,0.6197814177517749,0.6248278463954463,0.6376244166940818,0.6506830627186191,0.6776081612741133
2323,2018Q2,1.978021978021978,0.3143684210526316,-0.89,6337000.0,346.28415300546453,16470.0,9,1.1622222222222223,-0.01,10.17,-0.09,-1.72,1.533724340175953,-0.013196480938416421,0.11033123224361786,0.1106634618945013,0.11099669195604528,0.11133092544068858,0.11166616536994106,0.11250868829906875,0.11335756807660935,0.11507459038888196
2323,2018Q1,1.0705882352941176,0.3087160751565762,-2.31,885000.0,48.36065573770492,8326.5,4.55,2.331868131868132,-0.054945054945054944,10.23,-0.25,-4.51,1.1788888888888889,-0.027777777777777776,-1.3323716258700518,-1.3551253049035155,-1.3782675616427071,-1.401805032053317,-1.4257444654272504,-1.487396974446225,-1.5517154814476612,-1.6888166103754076
2323,2017Q4,1.0,0.3245784363822177,-1.6,450000.0,24.59016393442623,7777.5,4.25,2.510588235294118,-0.037647058823529415,10.46,-0.16,-2.96,2.345054945054945,-0.035164835164835165,-0.6111485140763999,-0.6225041770963193,-0.6340708380646127,-0.6458524175039428,-0.6578529087836421,-0.6888387560497987,-0.7212840826584983,-0.7908313863937234
2323,2017Q3,1.0651629072681703,0.32290836653386457,-1.39,676000.0,35.95744680851064,7990.0,4.25,2.5058823529411764,-0.037647058823529415,10.61,-0.16,-2.95,2.5058823529411764,-0.037647058823529415,-0.3972316283636285,-0.40459735018569215,-0.4120996519124917,-0.4197410660955991,-0.4275241722467699,-0.4476192020350613,-0.4686587637315022,-0.5137511539243719
2323,2017Q2,1.0075757575757576,0.34156097560975607,-0.04,377000.0,20.0531914893617,7501.2,3.99,2.756892230576441,-0.002506265664160401,10.67,-0.01,-0.17,2.588235294117647,-0.0023529411764705885,0.9796695934732151,0.9997422003916401,1.0202260781621828,1.0411296533790815,1.0624615252904106,1.117723035313237,1.1758588465858602,1.301359149656079
2323,2017Q1,1.1346704871060171,0.35552849488553334,-2.49,406000.0,21.595744680851062,7444.8,3.96,2.946969696969697,-0.07070707070707072,10.65,-0.28,-5.21,2.924812030075188,-0.07017543859649122,-1.5225577765853433,-1.5558269684835593,-1.5898231207287536,-1.624562118027344,-1.6600601921801936,-1.7522360814321796,-1.8495300950747255,-2.0606250235387917
2323,2016Q4,0.8880407124681934,0.38190836088804914,-5.29,171000.0,9.095744680851062,6561.2,3.49,3.412607449856733,-0.1833810888252149,11,-0.64,-13,3.007575757575758,-0.16161616161616163,-4.396620888028481,-4.505891662715233,-4.617878182631044,-4.732647943153064,-4.85027011714494,-5.1572744367683905,-5.483711004491653,-6.199878698402032
2323,2016Q3,1.0452127659574468,0.39529147982062784,-1.85,283000.0,15.053191489361701,7388.400000000001,3.93,2.997455470737913,-0.05597964376590331,11.67,-0.22,-4.25,3.375358166189111,-0.06303724928366762,-0.8688683558343394,-0.8881555526709037,-0.9078708879697731,-0.9280238655766571,-0.9486242003042563,-1.0021479368720172,-1.0586916157681057,-1.181529985149224
2323,2016Q2,1.0804597701149425,0.3825688073394495,-1.1,252000.0,12.989690721649485,7294.4,3.76,3.127659574468085,-0.034574468085106384,11.91,-0.13,-2.61,2.99236641221374,-0.03307888040712468,-0.10230677378672481,-0.10466675962648075,-0.1070811850009586,-0.10955130570707493,-0.11207840651014042,-0.1186541469927947,-0.12561569205852274,-0.14078806598587718
2323,2016Q1,1.0057803468208093,0.40042571306939123,-1.61,226000.0,11.299999999999999,6960.0,3.48,3.522988505747126,-0.05459770114942529,11.78,-0.19,-3.88,3.2606382978723407,-0.050531914893617025,-0.6255586871597344,-0.6415142148869023,-0.6578767050146859,-0.6746565375441945,-0.6918643572293087,-0.7368286751447709,-0.784715227548073,-0.8900270434681938
2323,2015Q4,0.8781725888324873,0.39076604554865424,-6.05,406000.0,19.61352657004831,7162.200000000001,3.46,3.598265895953757,-0.19075144508670522,11.76,-0.66,-13.6,3.5775862068965516,-0.18965517241379312,-5.180995835158659,-5.315389672065617,-5.453269654102439,-5.594726211069671,-5.739852118496028,-6.119351019668075,-6.52394105786205,-7.4151399805767735
2323,2015Q3,1.076502732240437,0.3932411674347159,-2.09,622000.0,30.048309178743963,8155.8,3.94,2.6142131979695433,-0.06598984771573604,12.26,-0.26,-5.43,2.9768786127167632,-0.07514450867052024,-1.1111516052064803,-1.1327136603237962,-1.1546941301909124,-1.1771011342056263,-1.199942949323808,-1.259005560974621,-1.320975304249467,-1.4542155986835048
