ID,sid,季度,股本(億),財報評分,季度股價(元)收盤,季度股價(元)平均,季度股價(元)漲跌,季度股價(元)漲跌(%),獲利金額(億)營業收入,獲利金額(億)營業毛利,獲利金額(億)營業利益,獲利金額(億)業外損益,獲利金額(億)稅後淨利,獲利率(%)營業毛利,獲利率(%)營業利益,獲利率(%)業外損益,獲利率(%)稅後淨利,單季ROE(%),年估ROE(%),單季ROA(%),年估ROA(%),EPS(元)稅後EPS,EPS(元)年增(元),BPS(元)
0,2241,2021Q1,-,-,56.6,59.1,+1.4,+2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2241,2020Q4,-,-,55.2,54,+2.8,+5.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2241,2020Q3,8.48,41,52.4,57,+2.4,+4.8,2.05,0.29,0.03,-0.14,-0.09,14.3,1.6,-6.79,-4.16,-0.65,-2.59,-0.4,-1.58,-0.11,-0.5,18.6
3,2241,2020Q2,7.48,39,-,-,-,-,1.91,0.41,0.14,-0.12,0.02,21.7,7.47,-6.06,1.17,0.21,0.82,0.11,0.44,0.03,-0.48,14.06
4,2241,2020Q1,7.48,39,-,-,-,-,2.13,0.49,0.19,0.04,0.19,23.2,8.86,2.1,8.77,1.69,6.77,0.92,3.67,0.25,+0.11,14.91
5,2241,2019Q4,7.45,34,-,-,-,-,2.01,0.43,0.17,-0.19,-0.02,21.6,8.58,-9.69,-37.4,-6.91,-27.7,-3.68,-14.7,-0.03,-0.68,14.61
6,2241,2019Q3,7.05,50,-,-,-,-,2.2,0.64,0.35,0,0.28,29.2,15.9,0.16,12.9,2.76,11,1.37,5.48,0.39,-,-
7,2241,2019Q2,7.05,52,-,-,-,-,2.07,0.61,0.33,0.13,0.37,29.3,16,6.21,17.8,3.87,15.5,1.7,6.78,0.51,+0.05,13.79
8,2241,2019Q1,7.05,41,-,-,-,-,1.41,0.31,0.07,0.05,0.1,21.6,5.1,3.73,7.08,1.08,4.31,0.45,1.81,0.14,-,-
9,2241,2018Q4,7.05,56,-,-,-,-,-,-,-,-,0.46,-,-,-,-,4.96,19.8,2.1,8.42,0.65,-,13.12
10,2241,2018Q2,7.05,48,-,-,-,-,2.09,0.53,0.15,0.23,0.32,25.2,7.34,11,15.5,3.55,14.2,1.48,5.92,0.46,-,12.93
11,2241,2017Q4,7.05,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.47
12,2241,2017Q2,6.07,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.61
13,2241,2016Q4,6.07,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.92
14,2241,2016Q2,5.45,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.51
15,2241,2015Q4,5.45,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.64
16,2241,2015Q2,2.89,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.9
17,2241,2014Q4,1.39,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,2241,2014Q2,1.39,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
