sid,單季,負債總額,負債總額百分比,每股淨值(元),股東權益總額
2332,2020Q3,61.05,41.1,12.68,87.42
2332,2020Q2,58.08,40.2,12.55,86.42
2332,2020Q1,55.6,39.9,12.18,83.79
2332,2019Q4,67.85,43.2,13,89.26
2332,2019Q3,73.15,44.6,13.24,90.85
2332,2019Q2,79.44,46.2,13.5,92.61
2332,2019Q1,74.24,43.7,13.99,95.65
2332,2018Q4,79.9,45.4,14.11,96.17
2332,2018Q3,76.75,44.8,13.94,94.73
2332,2018Q2,78.37,45.2,14.02,95.02
2332,2018Q1,71.44,43.1,13.87,94.24
2332,2017Q4,77.97,45.3,13.85,94.08
2332,2017Q3,73.56,43.8,13.95,94.5
2332,2017Q2,82.27,47.1,13.79,92.43
2332,2017Q1,81.01,45.9,14.2,95.42
2332,2016Q4,94.6,48.8,14.8,99.31
2332,2016Q3,92.22,48.6,14.56,97.5
2332,2016Q2,93.2,47.7,15.52,102.2
2332,2016Q1,88.07,44.8,16.52,108.6
2332,2015Q4,102.2,48.1,16.8,110.5
2332,2015Q3,104.6,46.9,18.02,118.3
2332,2015Q2,101.7,45.5,18.98,121.6
2332,2015Q1,97.53,44,19.41,124.3
2332,2014Q4,122.1,48,20.66,132
2332,2014Q3,113.3,46.6,20.29,129.6
2332,2014Q2,114.4,46.3,21.2,132.6
2332,2014Q1,103.4,42.6,22.48,139.5
2332,2013Q4,108.6,44.4,21.93,136
2332,2013Q3,121.7,48,21.27,131.8
2332,2013Q2,125.7,49.1,20.97,130.1
2332,2013Q1,104.8,43.2,22.27,138.1
2332,2012Q4,111.7,45,21.89,136.6
2332,2012Q3,107.1,43.8,21.53,137.3
2332,2012Q2,115.4,46,21.23,135.3
2332,2012Q1,113,43.9,22.61,144.1
2332,2011Q4,122.9,46,22.37,144.3
2332,2011Q3,130.6,47.5,22.37,144.4
2332,2011Q2,132.9,48.6,21.75,140.5
2332,2011Q1,108,41.8,22.92,150.6
2332,2010Q4,109,42.5,22.44,147.5
2332,2010Q3,134.6,47,23.03,151.5
2332,2010Q2,137,48.2,22.42,147.5
2332,2010Q1,109.7,41.9,23.1,152.1
2332,2009Q4,103.7,40.9,22.8,150
2332,2009Q3,98.82,40.8,21.81,143.4
2332,2009Q2,96.6,41.3,24.27,137.5
2332,2009Q1,84.09,38.1,24.13,136.8
2332,2008Q4,106.2,43.7,24.17,137
2332,2008Q3,131.3,48.7,24.4,138.3
2332,2008Q2,117.4,46.1,25.06,137.5
2332,2008Q1,86.57,36.4,27.61,151.3
2332,2007Q4,122.5,44.2,28.23,154.7
2332,2007Q2,112.5,40.8,24.38,163.4
2332,2006Q4,125.3,41.4,22.11,177.4
2332,2006Q2,136.6,48,20.98,148.2
2332,2005Q4,100.7,41.7,20.28,140.7
2332,2005Q2,115.7,47.6,20.49,127.3
2332,2004Q4,125.3,48.4,21.78,133.5
2332,2003Q4,136.3,57.3,19.74,101.4
2332,2002Q4,92.16,49,18.6,96.07
2332,2001Q4,83.81,47.5,20.8,92.79
2332,2000Q4,63.66,42.8,22.45,85.07
2332,1999Q4,48.73,42.5,21.61,65.94
2332,1998Q4,31.48,34.1,22.45,60.75
2332,1997Q4,23.63,41.2,18.98,33.71
2332,1996Q4,14.73,36.8,18.78,25.33
2332,1995Q4,10.67,32.8,20.67,21.91
2332,1994Q4,7.42,35.9,19,13.26
