ID,sid,季度,股本(億),財報評分,季度股價(元)收盤,季度股價(元)平均,季度股價(元)漲跌,季度股價(元)漲跌(%),獲利金額(億)營業收入,獲利金額(億)營業毛利,獲利金額(億)營業利益,獲利金額(億)業外損益,獲利金額(億)稅後淨利,獲利率(%)營業毛利,獲利率(%)營業利益,獲利率(%)業外損益,獲利率(%)稅後淨利,單季ROE(%),年估ROE(%),單季ROA(%),年估ROA(%),EPS(元)稅後EPS,EPS(元)年增(元),BPS(元)
0,2247,2021Q1,-,-,234,239,-19,-7.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2247,2020Q4,-,-,253,260,+73,+40.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2247,2020Q3,7.17,55,-,-,-,-,103,12.5,3.48,0,2.76,12.1,3.37,0,2.67,3.18,12.7,1.7,6.82,3.84,+2.03,122.34
3,2247,2020Q2,7.17,53,-,-,-,-,102,11.9,3.72,0.29,3.41,11.6,3.65,0.28,3.34,3.97,15.9,2.11,8.45,4.74,+2.21,117.61
4,2247,2020Q1,7.17,43,-,-,-,-,81.1,8.42,1.29,-0.09,0.93,10.4,1.59,-0.11,1.15,1.07,4.3,0.58,2.31,1.3,-0.24,121.3
5,2247,2019Q4,7.17,49,-,-,-,-,100,12.5,3.64,0.17,3.1,12.5,3.64,0.17,3.11,3.67,14.7,1.96,7.84,4.33,+0.93,120.01
6,2247,2019Q3,7.17,43,-,-,-,-,79.2,9.26,1.75,-0.07,1.3,11.7,2.21,-0.09,1.64,1.57,6.29,0.84,3.36,1.81,-0.89,115.87
7,2247,2019Q2,7.17,45,-,-,-,-,86.7,9.74,2.41,-0.05,1.81,11.2,2.78,-0.06,2.09,2.17,8.67,1.2,4.79,2.53,-1.94,114.06
8,2247,2019Q1,7.17,43,-,-,-,-,71.6,8.28,1.44,-0.04,1.1,11.6,2.01,-0.06,1.54,1.29,5.17,0.81,3.24,1.54,-,-
9,2247,2018Q4,7.17,51,-,-,-,-,83.4,10.8,3.01,0.08,2.44,13,3.6,0.1,2.93,2.91,11.7,2.11,8.46,3.4,-9.92,118.7
10,2247,2018Q3,7.17,51,-,-,-,-,86.1,9.8,2.28,0.12,1.94,11.4,2.65,0.14,2.25,2.38,9.52,1.69,6.78,2.7,0,-
11,2247,2018Q2,7.17,55,-,-,-,-,154,16.8,4.13,0.14,3.2,10.9,2.68,0.09,2.08,3.98,15.9,2.69,10.8,4.47,-,112.18
12,2247,2017Q4,7.17,68,-,-,-,-,336,39.6,11.9,0.61,9.35,11.8,3.53,0.18,2.78,11.3,45,8.15,32.6,13.32,-,115.72
13,2247,2017Q3,-,35,-,-,-,-,86.1,9.8,2.28,0.12,1.94,11.4,2.65,0.14,2.25,-,-,-,-,2.7,-,-
14,2247,2017Q2,6.97,74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,104.94
15,2247,2016Q4,6.97,74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,2247,2016Q2,6.56,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,2247,2015Q4,6.56,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
