ID,sid,股利發放年度,股利所屬盈餘期間,股東會日期,除息交易日,除息參考價,填息完成日,填息花費日數,現金股利發放日,除權交易日,除權參考價,填權完成日,填權花費日數,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計
0,1409,2020,2019全年,20'05/28,20'09/01,11.65,20'11/23,57,20'09/25,,,,,0.55,0,0.55,0,0,0,0.55
1,1409,2019,2018全年,19'05/29,19'08/28,11.65,20'01/16,97,19'09/26,,,,,0.85,0,0.85,0,0,0,0.85
2,1409,2018,2017全年,18'05/29,18'08/28,13.65,19'03/12,129,18'09/21,,,,,0.5,0,0.5,0,0,0,0.5
3,1409,2017,2016全年,17'05/26,17'08/28,8.98,17'09/01,5,17'09/28,,,,,0.25,0,0.25,0,0,0,0.25
4,1409,2016,2015全年,16'05/31,16'08/29,8.35,16'09/14,14,16'09/29,,,,,0.25,0,0.25,0,0,0,0.25
5,1409,2015,2014全年,15'05/28,15'08/27,7.37,15'08/27,1,15'09/30,,,,,0.43,0,0.43,0,0,0,0.43
6,1409,2014,2013全年,14'05/29,14'08/27,11,14'10/03,27,14'09/30,,,,,0.36,0,0.36,0,0,0,0.36
7,1409,2013,2012全年,13'06/07,13'10/07,10.2,13'10/07,1,,,,,,0.32,0,0.32,0,0,0,0.32
8,1409,2012,2011全年,12'06/05,12'08/02,8.56,12'08/07,3,,,,,,0.32,0,0.32,0,0,0,0.32
9,1409,2011,2010全年,11'06/02,11'09/26,9.28,12'02/02,86,,11'09/26,9.28,12'02/02,86,0.35,0,0.35,0.55,0,0.55,0.91
10,1409,2010,2009全年,10'06/25,10'09/28,12.85,10'09/29,2,,,,,,0.21,0,0.21,0,0,0,0.21
11,1409,2009,2008全年,09'06/19,,,,,,,,,,0,0,0,0,0,0,0
12,1409,2008,2007全年,08'06/13,08'10/16,4.37,08'12/19,47,,,,,,0.2,0,0.2,0,0,0,0.2
13,1409,2007,2006全年,07'06/15,,,,,,,,,,0,0,0,0,0,0,0
14,1409,2006,2005全年,06'06/15,,,,,,,,,,0,0,0,0,0,0,0
15,1409,2005,2004全年,05'06/08,,,,,,,,,,0,0,0,0,0,0,0
16,1409,2004,2003全年,04'06/15,,,,,,,,,,0,0,0,0,0,0,0
17,1409,2003,2002全年,03'06/13,,,,,,,,,,0,0,0,0,0,0,0
18,1409,2002,2001全年,02'06/20,,,,,,,,,,0,0,0,0,0,0,0
19,1409,2001,2000全年,01'06/15,,,,,,,,,,0,0,0,0,0,0,0
20,1409,2000,1999全年,,,,,,,,,,,0,0,0,0,0,0,0
21,1409,1999,1998全年,,,,,,,,,,,0,0,0,0,0.3,0.3,0.3
22,1409,1998,1997全年,98'05/02,,,,,,98'07/06,,99'04/02,200,0,0,0,0.2,0.6,0.8,0.8
23,1409,1997,1996全年,97'06/21,,,,,,,,,,0,0,0,0.2,0.8,1,1
24,1409,1996,1995全年,96'05/04,,,,,,,,,,1,0,1,0.52,0.48,1,2
25,1409,1995,1994全年,95'04/15,,,,,,95'11/06,,95'12/15,33,0,0,0,0.78,0.22,1,1
26,1409,1994,1993全年,94'04/02,94'05/09,,94'05/09,1,,94'12/21,,94'12/21,1,0.4,0,0.4,0.07,0.23,0.3,0.7
27,1409,1993,1992全年,93'04/17,93'05/19,,93'12/04,162,,,,,,0.5,0,0.5,0.07,0.23,0.3,0.8
28,1409,1992,1991全年,92'03/21,92'05/19,,92'05/19,1,,92'05/19,,92'05/19,1,0.3,0,0.3,0.67,0.33,1,1.3
29,1409,1991,1990全年,,,,,,,,,,,0,0,0,0,1,1,1
30,1409,1990,1989全年,,,,,,,,,,,0,0,0,0,1,1,1
31,1409,1989,1988全年,,,,,,,,,,,0,0,0,0,1,1,1
32,1409,1988,1987全年,,,,,,,,,,,0,0,0,0,1,1,1
