sid,單季,負債總額,負債總額百分比,每股淨值(元),股東權益總額
2031,2020Q3,117.4,62.7,20.95,69.68
2031,2020Q2,103.4,61.7,19.16,64.07
2031,2020Q1,102.2,61.4,18.98,64.21
2031,2019Q4,92.77,57.7,20.23,68.11
2031,2019Q3,100.4,59.5,20.26,68.28
2031,2019Q2,100.3,59.7,20.14,67.71
2031,2019Q1,101,57.5,22.32,74.55
2031,2018Q4,100.5,58.1,21.6,72.35
2031,2018Q3,89.42,53.9,23.25,76.4
2031,2018Q2,90.22,56.2,21.31,70.2
2031,2018Q1,76.36,51,23.16,73.24
2031,2017Q4,73.4,53.1,20.48,64.78
2031,2017Q3,76.63,55.9,19.1,60.55
2031,2017Q2,81.79,58.4,18.38,58.31
2031,2017Q1,70.89,53.1,19.78,62.59
2031,2016Q4,63.48,53.3,18.53,55.73
2031,2016Q3,64.6,57,17.54,48.78
2031,2016Q2,60.12,56.9,16.37,45.55
2031,2016Q1,61.43,56.6,16.92,47.1
2031,2015Q4,65.3,61.1,14.98,41.61
2031,2015Q3,67.21,59.2,16.57,46.26
2031,2015Q2,72.27,58.1,18.57,52.21
2031,2015Q1,70.66,55.2,20.42,57.39
2031,2014Q4,76.15,58.2,19.47,54.76
2031,2014Q3,84.05,60.8,19.36,54.27
2031,2014Q2,83.73,61.4,18.78,52.54
2031,2014Q1,68.14,55.5,19.55,54.72
2031,2013Q4,68.54,55.5,19.66,55.01
2031,2013Q3,68.46,56.4,18.94,52.99
2031,2013Q2,70.89,58.1,18.27,51.11
2031,2013Q1,78.68,59.7,18.98,53.11
2031,2012Q4,71.33,57.6,18.78,52.5
2031,2012Q3,63.77,54.3,19.17,53.6
2031,2012Q2,68.17,55.6,19.43,54.35
2031,2012Q1,63.94,51.5,21.55,60.25
2031,2011Q4,60.28,50.9,20.76,58.11
2031,2011Q3,62.35,51.2,21.24,59.44
2031,2011Q2,61.66,50.2,21.87,61.2
2031,2011Q1,59.33,47.3,23.64,66.19
2031,2010Q4,65.58,51,22.96,63.05
2031,2010Q3,68.15,52.9,22.06,60.58
2031,2010Q2,70.79,56.2,20.09,55.15
2031,2010Q1,58.21,49.9,21.32,58.51
2031,2009Q4,58.34,50.9,20.47,56.22
2031,2009Q3,56.2,50.1,20.5,55.92
2031,2009Q2,56.34,54.4,17.53,47.32
2031,2009Q1,53.8,54.1,16.92,45.68
2031,2008Q4,62.42,54.4,19.41,52.33
2031,2008Q3,71.45,54.1,22.48,60.57
2031,2008Q2,79.28,56.3,23.13,61.48
2031,2008Q1,64.02,52.1,22.95,58.86
2031,2007Q4,63.91,56.7,20.18,48.71
2031,2007Q2,58.32,58,19.05,42.21
2031,2006Q4,41.81,51.3,18.55,39.7
2031,2006Q2,43.63,54.9,17.6,35.84
2031,2005Q4,51.74,59.6,16.99,35.03
2031,2005Q2,53.02,58.6,21.9,37.43
