ID,sid,交易季度,交易日數,開盤,最高,最低,收盤,漲跌,漲跌(%),振幅(%),成交張數千張,成交張數日均,成交金額億元,成交金額日均,法人買賣超(千張)外資,法人買賣超(千張)投信,法人買賣超(千張)自營,法人買賣超(千張)合計,外資持股(%),融資(千張)增減,融資(千張)餘額,融券(千張)增減,融券(千張)餘額,券資比(%)
0,1723,21Q1,24,109.5,113,100,102,-6.5,-5.99,12,13,0.54,13.7,0.57,-0.15,0,-0.18,-0.33,6.6,-0.13,0.32,0,0,0
1,1723,20Q4,63,91.3,112,91.3,108.5,+17.3,+19,22.7,33.1,0.53,33.7,0.53,+1.14,+0.05,0,+1.2,6.7,+0.22,0.45,0,0,0.2
2,1723,20Q3,66,105.5,109,90.5,91.2,-13.8,-13.1,17.6,25.7,0.39,25.1,0.38,-7.52,0,-0.19,-7.71,6.3,+0.06,0.23,-0.01,0,0
3,1723,20Q2,60,93,110.5,92.7,105,+11.7,+12.5,19.1,28.8,0.48,29.3,0.49,-8.69,-0.28,-0.05,-9.02,9.4,+0.06,0.18,+0.01,0.01,7.4
4,1723,20Q1,56,122.5,125.5,86.4,93.3,-29.2,-23.8,31.9,19.4,0.35,20.8,0.37,-3.83,+0.16,-0.14,-3.82,13.1,-0.06,0.12,0,0,0
5,1723,19Q4,64,125.5,127.5,120,122.5,-3,-2.39,5.98,9.77,0.15,12.1,0.19,-1.64,-0.01,-0.04,-1.69,14.5,-0.1,0.18,0,0,0
6,1723,19Q3,63,135.5,136,123,125.5,-9,-6.69,9.67,10.2,0.16,13.1,0.21,-1.51,+0.03,-0.14,-1.63,15.2,-0.08,0.28,0,0,0
7,1723,19Q2,61,134.5,137.5,125.5,134.5,0,0,8.92,12.5,0.21,16.9,0.28,+0.31,-0.02,+0.21,+0.5,15.9,+0.03,0.36,0,0,0
8,1723,19Q1,54,137,139.5,131.5,134.5,-2.5,-1.82,5.84,9.21,0.17,12.5,0.23,-0.49,-0.26,-0.02,-0.76,15.9,0,0.33,0,0,0.3
9,1723,18Q4,65,145.5,148,121,137,-8.5,-5.84,18.6,14.6,0.22,19.3,0.3,-1.65,+0.03,-0.15,-1.77,16,-0.34,0.33,0,0,0.9
10,1723,18Q3,64,148.5,152.5,133,145.5,-3.5,-2.35,13.1,20.1,0.31,29.5,0.46,+0.65,+0.19,-0.1,+0.74,16.8,-0.24,0.67,0,0,0.7
11,1723,18Q2,60,153.5,167,143,149,-4.5,-2.93,15.6,42.3,0.71,65.7,1.1,+7.72,-0.44,+0.01,+7.3,16.8,-0.77,0.91,-0.01,0,0.5
12,1723,18Q1,58,127.5,162,125.5,153.5,+26,+20.4,28.6,73.4,1.3,106,1.8,,,,,13.9,+0.41,1.68,+0.01,0.02,1
13,1723,17Q4,62,117.5,133.5,117,127.5,+10.5,+8.97,14.1,41,0.66,51.3,0.83,-0.47,-0.18,-0.58,-1.23,6.6,+0.09,1.26,+0.01,0.01,0.8
14,1723,17Q3,66,116.5,121.5,112,117,+0.5,+0.43,8.15,18.9,0.29,22,0.33,-2.01,-0.34,+0.26,-2.1,6.2,+0.46,1.17,-0.01,0,0.09
15,1723,17Q2,61,118,125.5,112,116.5,-1.5,-1.27,11.4,20.8,0.34,24.6,0.4,-1.8,+0.22,-1.36,-2.93,7,-0.31,0.72,-0.01,0.01,1.7
16,1723,17Q1,57,120,133.5,114,118,-1,-0.84,16.4,26.8,0.47,33.3,0.58,+3.65,-0.58,-0.98,+2.09,8.4,-0.06,1.03,-0.04,0.02,2.2
