ID,sid,季度,股本(億),財報評分,季度股價(元)收盤,季度股價(元)平均,季度股價(元)漲跌,季度股價(元)漲跌(%),獲利金額(億)營業收入,獲利金額(億)營業毛利,獲利金額(億)營業利益,獲利金額(億)業外損益,獲利金額(億)稅後淨利,獲利率(%)營業毛利,獲利率(%)營業利益,獲利率(%)業外損益,獲利率(%)稅後淨利,單季ROE(%),年估ROE(%),單季ROA(%),年估ROA(%),EPS(元)稅後EPS,EPS(元)年增(元),BPS(元)
0,2006,2021Q1,-,-,32.3,34.1,-4.2,-11.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2006,2020Q4,-,-,36.5,32,+8,+28.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2006,2020Q3,102,45,28.5,25.7,+6.1,+27.2,104,16.3,10.8,0.38,7.95,15.7,10.4,0.37,7.65,3.24,13,1.74,6.97,0.79,+0.4,24.54
3,2006,2020Q2,100,43,22.4,22.9,+0.8,+3.7,101,14,9.12,0.3,7.07,13.9,9.02,0.29,7.17,2.98,11.9,1.53,6.13,0.7,+0.33,23.81
4,2006,2020Q1,100,34,21.6,22.5,-1.4,-6.1,96,12.6,7.84,-1.44,4.82,13.1,8.17,-1.5,4.66,1.83,7.32,0.94,3.75,0.48,+0.14,24.44
5,2006,2019Q4,100,36,23,22.1,+1.45,+6.7,111,12.2,6.95,-0.36,4.66,11,6.24,-0.32,4.11,1.9,7.59,0.95,3.79,0.46,+0.36,24.1
6,2006,2019Q3,100,32,21.55,21.6,-1.75,-7.5,105,9.74,4.84,0.22,3.89,9.24,4.59,0.21,3.64,1.61,6.44,0.79,3.16,0.39,+0.17,23.77
7,2006,2019Q2,100,30,23.3,22.2,+2.05,+9.6,117,10.2,5.03,-0.13,3.67,8.68,4.29,-0.11,3.08,1.5,6,0.75,3.02,0.37,+0.08,23.41
8,2006,2019Q1,100,36,21.25,20,+2.25,+11.8,115,9.17,4.25,0.43,3.45,7.99,3.7,0.37,3.1,1.47,5.87,0.74,2.96,0.34,+0.07,24.24
9,2006,2018Q4,100,30,19,21,-4.7,-19.8,98.9,8.09,2.37,0.02,0.98,8.18,2.4,0.02,1.02,0.42,1.68,0.21,0.85,0.1,-0.44,23.81
