ID,sid,交易季度,交易日數,開盤,最高,最低,收盤,漲跌,漲跌(%),振幅(%),成交張數千張,成交張數日均,成交金額億元,成交金額日均,法人買賣超(千張)外資,法人買賣超(千張)投信,法人買賣超(千張)自營,法人買賣超(千張)合計,外資持股(%),融資(千張)增減,融資(千張)餘額,融券(千張)增減,融券(千張)餘額,券資比(%)
0,1608,21Q1,24,13.65,14.55,10.6,11.3,-2.4,-17.5,28.8,114,4.8,14.6,0.61,+5.96,0,-0.06,+5.89,4.3,-1.69,10,0,0.16,1.6
1,1608,20Q4,63,9.8,15.85,9.73,13.7,+3.91,+39.9,62.5,464,7.4,60,0.95,+1.2,0,-0.08,+1.12,3.7,+3.96,11.7,+0.15,0.16,1.4
2,1608,20Q3,66,10.05,11.55,8.25,9.79,-0.21,-2.1,33,163,2.5,16.8,0.25,-2.31,0,0,-2.31,3.1,+0.76,7.74,+0.01,0.01,0.1
3,1608,20Q2,60,8.21,10.6,8.2,10,+1.83,+22.4,29.4,62,1,5.97,0.1,+0.97,0,+0.03,+1,3.3,+1.04,6.98,-0.02,0,0.03
4,1608,20Q1,56,10,10.05,6.13,8.17,-1.78,-17.9,39.4,23,0.41,1.91,0.03,-1.82,0,-0.04,-1.86,3.2,-1.38,5.94,+0.02,0.02,0.3
5,1608,19Q4,64,9.72,10.25,9.52,9.95,+0.19,+1.95,7.48,27.1,0.42,2.69,0.04,+0.26,0,0,+0.25,3.5,+0.45,7.32,0,0,0.03
6,1608,19Q3,63,9.94,10.45,9.2,9.76,-0.17,-1.71,12.6,44.9,0.71,4.48,0.07,-2.12,0,-0.03,-2.15,3.6,+0.01,6.87,-0.03,0,0.04
7,1608,19Q2,61,9.41,10.7,9.05,9.93,+0.67,+7.24,17.8,73.8,1.2,7.38,0.12,+1.64,0,+0.02,+1.65,3.9,+1.01,6.87,-0.12,0.03,0.4
8,1608,19Q1,54,9.28,9.91,8.91,9.26,+0.06,+0.65,10.9,23.2,0.43,2.2,0.04,-0.19,0,+0.05,-0.13,3.7,-0.8,5.86,+0.1,0.14,2.5
9,1608,18Q4,65,9.8,10.45,8.35,9.2,-0.6,-6.12,21.4,56.1,0.86,5.42,0.08,-0.27,-0.11,-0.06,-0.44,3.7,-1.65,6.85,-0.21,0.04,0.6
10,1608,18Q3,64,11.6,11.7,9.06,9.8,-1.7,-14.8,23,45.9,0.72,4.72,0.07,+3.38,-0.2,-0.41,+2.76,3.7,-2.19,8.51,+0.25,0.25,2.9
11,1608,18Q2,60,11.8,14.15,11.4,11.5,-0.25,-2.13,23.4,262,4.4,32.4,0.54,-3.27,+0.25,+0.11,-2.9,3.2,+0.38,10.7,-0.07,0,0
12,1608,18Q1,58,11.75,12.5,9.81,11.75,0,0,22.9,217,3.7,25.3,0.44,-1.47,0,+0.54,-0.94,3.8,-5.74,10.3,-0.09,0.07,0.7
