sid,單季,負債總額,負債總額百分比,每股淨值(元),股東權益總額
2722,2020Q3,6.47,25.3,15.91,19.09
2722,2020Q2,7.03,27.8,15.14,18.23
2722,2020Q1,6.44,26.1,15.13,18.23
2722,2019Q4,6.84,27.1,15.3,18.43
2722,2019Q3,7.31,28.4,15.28,18.41
2722,2019Q2,8.01,30.5,15.11,18.23
2722,2019Q1,7.71,29.6,15.17,18.31
2722,2018Q4,6.83,27,15.28,18.45
2722,2018Q3,6.47,25.9,15.23,18.56
2722,2018Q2,6.04,26.5,15,16.73
2722,2018Q1,4.96,22.3,16.12,17.29
2722,2017Q4,3.58,17,16.31,17.49
2722,2017Q3,2.75,13.7,16.21,17.38
2722,2017Q2,3.17,15.9,15.66,16.79
2722,2017Q1,2.4,12.4,16.7,17.05
2722,2016Q4,2.17,11.3,16.63,16.99
2722,2016Q3,2.34,12.2,16.54,16.89
2722,2016Q2,3.08,16,15.79,16.13
2722,2016Q1,1.99,11,16.92,16.15
2722,2015Q4,2.2,12.1,16.71,15.95
2722,2015Q3,2.16,12,16.56,15.81
2722,2015Q2,2.98,16.7,15.61,14.89
2722,2015Q1,1.81,10.8,16.73,14.92
2722,2014Q4,2.15,12.7,16.6,14.81
2722,2014Q3,2.05,12.2,16.51,14.72
2722,2014Q2,2.9,17.4,15.4,13.73
2722,2014Q1,1.57,10.2,16.32,13.87
2722,2013Q4,1.91,12.2,16.19,13.75
2722,2013Q3,1.7,10.9,16.28,13.83
2722,2013Q2,2.62,16.9,15.92,12.88
2722,2013Q1,1.46,10.1,16.04,12.98
2722,2012Q4,1.65,11.3,16.03,12.93
2722,2012Q3,1.55,10.8,15.89,12.82
2722,2012Q2,2.47,17.1,14.81,11.95
2722,2012Q1,2.61,17.7,15.77,12.12
