sid,季度,股票報酬率,負債/淨值比,淨值報酬率,季成交量(百萬股),t+1季周轉率,t+1季底個股市值,季底收盤價,淨值股價比,益本比,每股淨值(元),稅後EPS,稅後淨利,t+1季新淨值股價比,t+1季新益本比,成長指標0.02,成長指標0.04,成長指標0.06,成長指標0.08,成長指標0.1,成長指標0.15,成長指標0.2,成長指標0.3
2424,2021Q1,0.9634615384615385,--,-,370.0,-,-,25.05,0.2710578842315369,-,--,-,-,-,-,-,-,-,-,-,-,-,-
2424,2020Q4,1.8309859154929577,--,-,2770.0,-,-,26,0.2107692307692308,-,--,-,-,0.2187624750499002,-,-,-,-,-,-,-,-,-
2424,2020Q3,0.6761904761904761,3.4098360655737707,-30.4,450.0,2.5,255.6,14.2,0.48732394366197185,-0.16901408450704225,6.79,-2.4,-0.43,0.26615384615384613,-0.0923076923076923,-28.980353950914303,-28.566697793206608,-28.158946029113267,-27.757014381237934,-27.36081977513244,-26.394898295573476,-25.463076828819002,-23.69696108958053
2424,2020Q2,1.0769230769230769,2.5272727272727273,-22.7,530.0,1.7666666666666666,630.0,21,0.3933333333333333,-0.06714285714285714,5.48,-1.41,-0.42,0.5816901408450704,-0.09929577464788732,-21.298790850941383,-20.904999618071173,-20.518489152272235,-20.139124840163866,-19.766774557218827,-18.86574008094987,-18.005777714097402,-16.401665843408217
2424,2020Q1,0.6747404844290658,1.922705314009662,-17.5,240.0,0.8,585.0,19.5,0.47641025641025636,-0.06820512820512821,6.92,-1.33,-0.4,0.4423809523809523,-0.06333333333333334,-16.257118309115285,-16.017811861610387,-15.782028029536376,-15.549714959633116,-15.32082156192578,-14.763220611697221,-14.225913535295145,-13.209253504826767
2424,2019Q4,1.001733102253033,1.4516129032258065,-11.5,330.0,1.1,866.9999999999999,28.9,0.3633217993079585,-0.03494809688581315,8.26,-1.01,-0.3,0.5384615384615384,-0.05179487179487179,-10.28952029712798,-10.083259804286545,-9.881133944516296,-9.68305983626102,-9.488956259382144,-9.020549987776162,-8.575265799282628,-7.749554483997001
2424,2019Q3,1.019434628975265,0.7491039426523297,-11.5,530.0,1.7666666666666666,865.5000000000001,28.85,0.3937608318890814,-0.03951473136915078,9.29,-1.14,-0.34,0.39307958477508653,-0.03944636678200692,-10.306090442392328,-10.115761924454334,-9.92894831306048,-9.745584696403814,-9.56560736144117,-9.130071448075444,-8.714366113643571,-7.938876633044043
2424,2019Q2,1.0125223613595706,0.5904761904761905,-7.65,310.0,1.0333333333333332,849.0,28.3,0.4229681978798587,-0.02968197879858657,10.5,-0.84,-0.25,0.41490467937608316,-0.029116117850953204,-6.5365381402384095,-6.425012159216752,-6.315389027100125,-6.2076362776064835,-6.101721998391333,-5.844775071086822,-5.598648322654545,-5.137051974676386
2424,2019Q1,0.717586649550706,0.436950146627566,-5.59,210.0,0.7,838.5,27.95,0.44364937388193204,-0.023255813953488372,11.36,-0.65,-0.2,0.4381625441696113,-0.022968197879858657,-4.515995318017912,-4.443183815328911,-4.371546254274145,-4.301063707364005,-4.231717552277257,-4.063204365988101,-3.9014016214055385,-3.5968692199966807
2424,2018Q4,1.277049180327869,0.033426183844011144,-3.67,2250.0,7.5,1168.5,38.95,0.3360718870346598,-0.011553273427471117,11.97,-0.45,-0.13,0.46833631484794275,-0.016100178890876567,-2.6124013833129127,-2.5560453136836037,-2.5009049862462676,-2.446954174383487,-2.394167217251958,-2.267128252414112,-2.146830211297373,-1.9250451359154555
2424,2018Q3,0.800524934383202,0.03225806451612903,-4.84,590.0,1.9666666666666666,915.0,30.5,0.4262295081967213,-0.020327868852459016,12.4,-0.62,-0.19,0.33376123234916555,-0.015917843388960205,-3.7750620516029123,-3.7112222639198933,-3.6484620660384994,-3.5867632010975776,-3.5261077209763676,-3.378918769629564,-3.2378738697732166,-2.973201055144523
2424,2018Q2,1.527054108216433,0.01653944020356234,0.82,2150.0,7.166666666666667,1143.0,38.1,0.35118110236220473,0.0028871391076115485,13.09,0.11,0.03,0.43868852459016394,0.0036065573770491803,1.7823049396377213,1.7453906032181434,1.7092408207214063,1.6738397570341732,1.6391719050131923,1.5556111905200893,1.4763101836179002,1.329629767072159
2424,2018Q1,0.648051948051948,0.013333333333333332,-3.17,990.0,3.3000000000000003,748.5,24.95,0.5571142284569138,-0.016833667334669337,13,-0.42,-0.13,0.3648293963254593,-0.011023622047244094,-2.1447595922875973,-2.1198127689906268,-2.095156115274829,-2.0707862560256722,-2.0466998553863505,-1.9877024425445455,-1.9304056672988519,-1.8207193548836647
2424,2017Q4,1.4666666666666666,0.013681592039800997,-3.85,1100.0,3.666666666666667,1155.0,38.5,0.3607792207792208,-0.013766233766233767,13.38,-0.53,-0.16,0.5567134268537075,-0.02124248496993988,-2.7924775501461396,-2.7361160940597142,-2.6808921990369456,-2.6267829053237146,-2.5737657165698686,-2.4458571439188135,-2.3243052504527753,-2.0990235678802436
2424,2017Q3,0.8481421647819063,0.012470023980815348,-0.18,210.0,0.7,787.5,26.25,0.5348571428571428,-0.0011428571428571427,13.9,-0.03,-0.01,0.36467532467532465,-0.0007792207792207792,0.8098015587461953,0.7997299567655701,0.789783616542422,0.7799609801808056,0.7702605091605204,0.7465338804571199,0.723538112161249,0.6796497983784943
2424,2017Q2,0.9732704402515723,0.017985611510791366,-1.33,340.0,1.1333333333333333,928.5,30.95,0.48691437802907916,-0.006138933764135703,13.89,-0.19,-0.06,0.5740952380952381,-0.007238095238095238,-0.32528421723395584,-0.3206358241863859,-0.31605385784131157,-0.31153736894449385,-0.30708542180677506,-0.29623190383628284,-0.28576198874619674,-0.26591921469839
2424,2017Q1,1.4260089686098654,0.00997624703087886,-6.2,780.0,2.6,954.0,31.8,0.4827044025157233,-0.02830188679245283,14.04,-0.9,-0.27,0.49596122778675283,-0.029079159935379646,-5.12480056065093,-5.050688612778477,-4.977648429700078,-4.9056645121634945,-4.834721585057855,-4.661820342153706,-4.49510246250468,-4.1793401735611715
2424,2016Q4,0.8610038610038611,0.010840707964601771,-1.6,230.0,0.7666666666666667,669.0,22.3,0.7183856502242152,-0.010762331838565021,15.07,-0.24,-0.07,0.5037735849056604,-0.007547169811320754,-0.5960441136273906,-0.5921143089831027,-0.5882104141065471,-0.5843322581708953,-0.5804796714756046,-0.5709589665801532,-0.5615944149940431,-0.5433235691971274
2424,2016Q3,1.0176817288801572,0.007608695652173914,-3.72,250.0,0.8333333333333333,776.9999999999999,25.9,0.6316602316602317,-0.022393822393822392,15.35,-0.58,-0.18,0.7336322869955156,-0.026008968609865468,-2.6951229034164763,-2.6704733325441383,-2.6460492064347907,-2.621848463172572,-2.597869059699885,-2.5388756731796462,-2.4812219306418988,-2.3698123837733096
2424,2016Q2,0.7806748466257668,0.006666666666666667,-1.66,330.0,1.1,763.5,25.45,0.6612966601178781,-0.010609037328094303,16.02,-0.27,-0.08,0.6498069498069498,-0.010424710424710427,-0.6545636172024881,-0.6491720135836445,-0.6438248202998987,-0.6385216715458237,-0.6332622045291112,-0.6203022906619188,-0.6076076055834393,-0.5829923209097327
2424,2016Q1,1.0550161812297736,0.006720977596741344,-2.54,390.0,1.3,978.0000000000001,32.6,0.5358895705521471,-0.012883435582822084,16.36,-0.42,-0.13,0.6864440078585461,-0.016502946954813358,-1.5209054877894441,-1.5020477290831473,-1.4834237883663839,-1.465030766521974,-1.446865800378991,-1.402432658302762,-1.3593640547443755,-1.2771541305676308
2424,2015Q4,0.8803418803418802,0.011485148514851487,-3.83,160.0,0.5333333333333333,926.9999999999999,30.9,0.545631067961165,-0.02103559870550162,16.83,-0.65,-0.2,0.5171779141104295,-0.019938650306748466,-2.795917918073783,-2.762246291380225,-2.7289801767501154,-2.696114690545515,-2.663645007942812,-2.584171301713017,-2.507068808600234,-2.3596965783028785
2424,2015Q3,1.0477611940298508,0.01431297709923664,2.86,210.0,0.7,1053.0,35.1,0.49316239316239313,0.013960113960113959,17.47,0.49,0.15,0.5601941747572815,0.015857605177993526,3.8058100068515994,3.752380779339837,3.6997016371837192,3.6477620500412034,3.596551635404227,3.4716489030247524,3.35108385132871,3.122369457480043
2424,2015Q2,0.8589743589743589,0.011264822134387353,-2.35,1030.0,3.433333333333333,1005.0,33.5,0.5274626865671642,-0.011940298507462687,16.86,-0.4,-0.12,0.5034188034188034,-0.011396011396011397,-1.332838727692146,-1.3158956103970512,-1.2991678749165079,-1.2826527833053538,-1.2663476324233316,-1.22648581543661,-1.187878760106798,-1.1142721892349676
2424,2015Q1,0.9307875894988067,0.048169556840077066,-1.87,490.0,1.6333333333333333,1170.0,39,0.4482051282051282,-0.008461538461538461,17.31,-0.33,-0.1,0.5217910447761194,-0.009850746268656717,-0.8561478867637996,-0.8425163264484136,-0.8291018074170214,-0.8159008739449766,-0.8029101253295734,-0.7713309816787116,-0.7409938728238519,-0.6838522796522354
2424,2014Q4,1.0757381258023104,0.0509433962264151,0.49,1060.0,3.533333333333333,1257.0,41.9,0.41241050119331746,0.0021479713603818618,17.67,0.09,0.03,0.4430769230769231,0.0023076923076923075,1.463837480348884,1.4381343415262884,1.412882517384593,1.3880740834075511,1.3637012542234204,1.3046250877575105,1.2481081280339126,1.1423131675210014
2424,2014Q3,0.9987179487179488,0.047709923664122134,0.68,1580.0,5.2666666666666675,1168.5,38.95,0.4441591784338896,0.0030808729139922973,17.48,0.12,0.04,0.4128878281622912,0.002863961813842482,1.6529512854193464,1.6263380666484937,1.6001533320196681,1.5743901827559288,1.5490418311535785,1.4874421289796667,1.428292020633114,1.3169548137283116
2424,2014Q2,0.931899641577061,0.055984555984555984,0.22,1400.0,4.666666666666666,1170.0,39,0.45538461538461544,0.0007692307692307692,17.28,0.03,0.01,0.4559691912708601,0.0007702182284980743,1.2009568338044392,1.1822109152963798,1.1637576046913019,1.1455923346277903,1.1277106090370708,1.0842179269791143,1.0424026374875093,0.9635479616253182
2424,2014Q1,1.0384615384615385,0.06551059730250482,-2.58,1610.0,5.366666666666667,1255.5,41.85,0.27646356033452807,-0.01075268817204301,17.3,-0.45,-0.14,0.2966666666666667,-0.011538461538461539,-1.5398905183598766,-1.5007992459080057,-1.4627003346426524,-1.425568592732936,-1.3893794678614433,-1.302875062019511,-1.2217565226043972,-1.0743565995141422
2424,2013Q4,1.0494791666666667,0.04690431519699812,41.8,1740.0,5.8,1209.0,40.3,0.2866004962779157,0.1521091811414392,17.76,6.13,1.84,0.27598566308243727,0.14647550776583035,41.743543054045865,40.71316324077058,39.7082168833529,38.72807619321571,37.7721288778474,35.484223802966504,33.334899999175555,29.418928478948935
2424,2013Q3,1.1851851851851851,0.10086455331412103,0.48,115000.0,52.995391705069125,3450.2999999999997,15.9,0.27395833333333336,0.0006289308176100629,11.57,0.01,0.01,0.26104218362282877,0.0006451612903225806,0.9452037251719172,0.921041321730793,0.8974965859146514,0.8745537281810374,0.8521973626182525,0.798774903786222,0.7487013864469126,0.6577745844522558
2424,2013Q2,1.021406727828746,0.12427745664739884,8.95,4140.0,13.799999999999999,971.9999999999999,32.4,0.32685185185185184,0.030555555555555558,11.55,0.99,0.3,0.27578125000000003,0.025781250000000002,9.729938601061205,9.514744239238281,9.304309271617015,9.098528435991765,8.897298798211992,8.41348109537802,7.955972452730106,7.114237602239528
2424,2013Q1,1.02734375,0.16455696202531644,-0.38,1250.0,4.166666666666667,789.0,26.3,0.4053231939163498,-0.001520912547528517,10.52,-0.04,-0.01,0.3290123456790124,-0.0012345679012345679,0.6089024459657654,0.5980035301662773,0.5872996971200138,0.5767874549860156,0.566463374424764,0.5414544257750765,0.5175496041365975,0.4728595083732545
2424,2012Q4,1.207547169811321,0.1624203821656051,-1.31,5980.0,19.933333333333334,768.0000000000001,25.6,0.422265625,-0.0054687500000000005,10.59,-0.14,-0.04,0.41102661596958173,-0.005323193916349811,-0.30470066945431457,-0.29949192892228216,-0.294372229802527,-0.28934004996641705,-0.2843938933055229,-0.27239526442945455,-0.26090285983701017,-0.23935219381804018
2424,2012Q3,1.4324324324324322,0.20689655172413796,-1.15,1320.0,4.4,636.0,21.2,0.5419811320754717,-0.005660377358490566,10.66,-0.12,-0.04,0.44882812499999997,-0.0046875,-0.14817363748172305,-0.14636951229710066,-0.14458735368991477,-0.14282689420060743,-0.14108786962614156,-0.13683238103128287,-0.1327052463709542,-0.12482066999126795
2424,2012Q2,0.8433048433048433,0.26006191950464397,-6.21,1750.0,5.833333333333334,444.00000000000006,14.8,0.7885135135135135,-0.04324324324324324,10.81,-0.64,-0.21,0.5504716981132075,-0.03018867924528302,-5.185300217050828,-5.160717531851701,-5.136251389260776,-5.111901236768046,-5.087666524482868,-5.027581209510779,-4.9682055017933955,-4.851549485264082
2424,2012Q1,1.086687306501548,0.23615160349854228,-1.06,2360.0,7.866666666666666,526.5,17.55,0.7225071225071225,-0.006837606837606837,11.49,-0.12,-0.04,0.8567567567567567,-0.008108108108108107,-0.059611231374831666,-0.05922498176706186,-0.05884123485477513,-0.058459974421813436,-0.05808118435709098,-0.05714491226747013,-0.05622373293870645,-0.05442568330094759
2424,2011Q4,1.1660649819494584,0.26,-3.38,1810.0,6.033333333333334,484.49999999999994,16.15,0.5975232198142416,-0.02538699690402477,11.67,-0.41,-0.12,0.5498575498575499,-0.02336182336182336,-2.3556135987031017,-2.331477069913856,-2.307587853341824,-2.2839434149302944,-2.2605412465874797,-2.2030795291087526,-2.1470784569425536,-2.0393106771336313
2424,2011Q3,0.780281690140845,0.23097112860892388,22.9,1220.0,4.066666666666666,415.5,13.85,0.7104693140794224,0.1848375451263538,12.68,2.56,0.77,0.6092879256965945,0.1585139318885449,23.737162748723506,23.575434952275607,23.414809051636436,23.2552775392878,23.096832958862294,22.70542836002582,22.320656599564337,21.570563891726565
2424,2011Q2,1.069277108433735,0.20761245674740483,-1.34,2670.0,8.9,532.5,17.75,0.4146478873239437,-0.007323943661971831,9.65,-0.13,-0.04,0.5314079422382672,-0.009386281588447653,-0.33406617628691854,-0.3282359121734192,-0.32250740029359687,-0.3168788648244603,-0.3113485609354317,-0.2979413872659948,-0.2851115482251888,-0.26108550072348663
2424,2011Q1,1.1066666666666667,0.23728813559322032,-0.45,14800.0,49.333333333333336,498.00000000000006,16.6,0.47469879518072283,-0.0024096385542168672,9.84,-0.04,-0.01,0.443943661971831,-0.0022535211267605635,0.5418649401091502,0.5338502060354418,0.5259540180375494,0.5181746226983338,0.5105102925354802,0.4918417702102918,0.47385592506302104,0.4398333216792608
2424,2010Q4,0.75,0.2305084745762712,-1.66,11600.0,29.0,600.0,15,0.5166666666666667,-0.012,7.36,-0.18,-0.05,0.46686746987951805,-0.010843373493975902,-0.6513405917875758,-0.6427947977427114,-0.634361127211686,-0.6260381090986262,-0.6178242916089003,-0.5977581444120817,-0.5783437201546053,-0.5413860594105685
2424,2010Q3,1.342281879194631,0.2761904761904762,3.32,41600.0,104.0,800.0,20,0.389,0.014000000000000002,7.88,0.28,0.1,0.5186666666666667,0.018666666666666668,4.2391886023001195,4.159888890247972,4.0820725857347435,4.005711939631597,3.9307797218943907,3.7495244250430524,3.5766271347352183,3.2543827347209335
