ID,sid,股利發放年度,股利所屬盈餘期間,股東會日期,除息交易日,除息參考價,填息完成日,填息花費日數,現金股利發放日,除權交易日,除權參考價,填權完成日,填權花費日數,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計
0,2480,2020,2019全年,20'05/28,20'06/18,68.3,,,20'07/24,,,,,4.45,0,4.45,0,0,0,4.45
1,2480,2019,2018全年,19'05/29,19'06/27,51.3,19'08/01,26,19'07/22,,,,,3,0.42,3.42,0,0,0,3.42
2,2480,2018,2017全年,18'05/28,18'06/14,40.25,19'02/18,167,18'07/19,,,,,2.62,0,2.62,0,0,0,2.62
3,2480,2017,2016全年,17'05/31,17'06/22,29.75,17'09/05,46,17'07/28,,,,,1.94,0.16,2.1,0,0,0,2.1
4,2480,2016,2015全年,16'05/31,16'06/30,25.05,16'11/25,102,16'07/29,,,,,1.8,0.2,2,0,0,0,2
5,2480,2015,2014全年,15'06/22,15'07/23,26.55,16'12/13,344,15'08/28,,,,,2,0,2,0,0,0,2
6,2480,2014,2013全年,14'06/11,14'06/27,28.9,15'05/27,225,,,,,,2,0,2,0,0,0,2
7,2480,2013,2012全年,13'06/10,13'07/09,24,13'09/02,39,,,,,,2,0,2,0,0,0,2
8,2480,2012,2011全年,12'06/12,12'06/28,25.15,13'10/14,321,,,,,,1.9,0,1.9,0,0,0,1.9
9,2480,2011,2010全年,11'06/10,11'06/29,28.1,11'07/07,7,,,,,,1.87,0,1.87,0,0,0,1.87
10,2480,2010,2009全年,10'06/14,10'07/09,29.05,10'10/28,79,,,,,,1.8,0,1.8,0,0,0,1.8
11,2480,2009,2008全年,09'06/10,09'06/25,15.7,09'08/03,28,,,,,,1.69,0,1.69,0,0,0,1.69
12,2480,2008,2007全年,08'06/13,08'06/30,14.15,09'03/25,171,,,,,,1.2,0,1.2,0,0,0,1.2
13,2480,2007,2006全年,07'06/13,07'07/02,20.5,07'07/04,3,,,,,,1.2,0,1.2,0,0,0,1.2
14,2480,2006,2005全年,06'06/09,06'08/01,12.5,06'10/20,57,,,,,,1.07,0,1.07,0,0,0,1.07
15,2480,2005,2004全年,05'05/24,05'07/26,15.6,06'05/19,202,,,,,,1.2,0,1.2,0,0,0,1.2
16,2480,2004,2003全年,04'05/18,04'07/29,16.8,06'12/11,589,,,,,,1.52,0,1.52,0,0,0,1.52
17,2480,2003,2002全年,03'05/27,03'07/31,31.8,10'03/22,1638,,03'07/31,31.8,10'03/22,1638,1,0,1,1,0,1,2
18,2480,2002,2001全年,02'05/13,02'07/11,73.93,,,,02'07/11,73.93,,,1,0,1,3.31,0.19,3.5,4.5
19,2480,2001,2000全年,01'05/10,01'08/06,125.5,,,,01'08/06,125.5,,,1,0,1,4.69,0.51,5.2,6.2
20,2480,2000,1999全年,00'05/02,,,,,,00'07/04,234,,,0,0,0,4.47,1.33,5.8,5.8
21,2480,1999,1998全年,99'06/25,,,,,,,,,,0,0,0,4,2,6,6
22,2480,1998,1997全年,,,,,,,,,,,0,0,0,2.6,1.9,4.5,4.5
