sid,單季,負債總額,負債總額百分比,每股淨值(元),股東權益總額
1304,2020Q3,286.5,39.3,18.08,442
1304,2020Q2,296.6,41.3,17.22,421.8
1304,2020Q1,304.5,42.6,17.23,410.3
1304,2020Q1,304.5,42.6,17.23,410.3
1304,2020Q1,304.5,42.6,17.23,410.3
1304,2020Q1,304.5,42.6,17.23,410.3
1304,2020Q1,304.5,42.6,17.23,410.3
1304,2019Q4,322.5,45.2,17.4,391.8
1304,2019Q4,322.5,45.2,17.4,391.8
1304,2019Q4,322.5,45.2,17.4,391.8
1304,2019Q3,333.6,46.1,17.38,390.2
1304,2019Q3,333.6,46.1,17.38,390.2
1304,2019Q3,333.6,46.1,17.38,390.2
1304,2019Q2,340.7,47.2,17.43,380.7
1304,2019Q2,340.7,47.2,17.43,380.7
1304,2019Q2,340.7,47.2,17.43,380.7
1304,2019Q2,340.7,47.2,17.43,380.7
1304,2019Q1,338.2,47.4,17.46,375.1
1304,2019Q1,338.2,47.4,17.46,375.1
1304,2019Q1,338.2,47.4,17.46,375.1
1304,2018Q4,325.4,47.2,16.96,364.5
1304,2018Q4,325.4,47.2,16.96,364.5
1304,2018Q4,325.4,47.2,16.96,364.5
1304,2018Q4,325.4,47.2,16.96,364.5
1304,2018Q3,320.3,46.6,17.21,366.5
1304,2018Q3,320.3,46.6,17.21,366.5
1304,2018Q3,320.3,46.6,17.21,366.5
1304,2018Q3,320.3,46.6,17.21,366.5
1304,2018Q3,320.3,46.6,17.21,366.5
1304,2018Q3,320.3,46.6,17.21,366.5
1304,2018Q3,320.3,46.6,17.21,366.5
1304,2018Q3,320.3,46.6,17.21,366.5
1304,2018Q3,320.3,46.6,17.21,366.5
1304,2018Q3,320.3,46.6,17.21,366.5
1304,2018Q3,320.3,46.6,17.21,366.5
1304,2018Q3,320.3,46.6,17.21,366.5
1304,2018Q3,320.3,46.6,17.21,366.5
1304,2018Q3,320.3,46.6,17.21,366.5
1304,2018Q3,320.3,46.6,17.21,366.5
1304,2018Q2,301.3,45.6,17.63,359.8
1304,2018Q2,301.3,45.6,17.63,359.8
1304,2018Q2,301.3,45.6,17.63,359.8
1304,2018Q2,301.3,45.6,17.63,359.8
1304,2018Q1,290,44.7,17.59,359.3
1304,2018Q1,290,44.7,17.59,359.3
1304,2018Q1,290,44.7,17.59,359.3
1304,2018Q1,290,44.7,17.59,359.3
1304,2017Q4,295.9,45.9,17.24,348.1
1304,2017Q4,295.9,45.9,17.24,348.1
1304,2017Q4,295.9,45.9,17.24,348.1
1304,2017Q4,295.9,45.9,17.24,348.1
1304,2017Q4,295.9,45.9,17.24,348.1
1304,2017Q3,290.7,45.9,17.07,342.5
1304,2017Q3,290.7,45.9,17.07,342.5
1304,2017Q3,290.7,45.9,17.07,342.5
1304,2017Q3,290.7,45.9,17.07,342.5
1304,2017Q3,290.7,45.9,17.07,342.5
1304,2017Q2,309.3,48.6,17.07,327
1304,2017Q2,309.3,48.6,17.07,327
1304,2017Q2,309.3,48.6,17.07,327
1304,2017Q2,309.3,48.6,17.07,327
1304,2017Q2,309.3,48.6,17.07,327
1304,2017Q2,309.3,48.6,17.07,327
1304,2017Q1,295,46.9,17.32,333.7
1304,2017Q1,295,46.9,17.32,333.7
1304,2017Q1,295,46.9,17.32,333.7
1304,2017Q1,295,46.9,17.32,333.7
