ID,sid,交易季度,交易日數,開盤,最高,最低,收盤,漲跌,漲跌(%),振幅(%),成交張數千張,成交張數日均,成交金額億元,成交金額日均,法人買賣超(千張)外資,法人買賣超(千張)投信,法人買賣超(千張)自營,法人買賣超(千張)合計,外資持股(%),融資(千張)增減,融資(千張)餘額,融券(千張)增減,融券(千張)餘額,券資比(%)
0,2439,21Q1,25,146.5,151,130.5,131.5,-15,-10.2,14,52.5,2.1,73.3,2.9,,,,,,+1.04,7.48,-0.01,0.89,11.9
1,2439,20Q4,63,149.5,156.5,137,146.5,-1.5,-1.01,13.2,144,2.3,211,3.3,-12,-4.2,-0.43,-16.7,17.9,+0.58,6.44,-0.02,0.9,14
2,2439,20Q3,66,141,172,137,148,+8.5,+6.09,25.1,268,4.1,415,6.3,+15.9,+4.98,+2.39,+23.3,23.8,-1.79,5.86,-0.03,0.92,15.8
3,2439,20Q2,60,124,143.5,123,139.5,+15,+12,16.5,144,2.4,195,3.2,-5.46,-3.97,-0.14,-9.57,19.7,+1.32,7.64,-0.26,0.96,12.5
4,2439,20Q1,56,168,171,114,124.5,-43,-25.7,34,201,3.6,289,5.2,-1.88,-6.14,+6.84,-1.18,20.9,-3.87,6.33,-1.13,1.21,19.1
5,2439,19Q4,64,153.5,176,143.5,167.5,+15.5,+10.2,21.4,292,4.6,462,7.2,-6.95,+5.25,+1.07,-0.63,20.5,+0.27,10.2,+0.72,2.34,22.9
6,2439,19Q3,63,173.5,182.5,140.5,152,-17,-10.1,24.9,271,4.3,427,6.8,-27.4,-7.25,-0.83,-35.5,24.1,+5.39,9.93,+0.08,1.62,16.3
7,2439,19Q2,61,171,197.5,150.5,169,0,0,27.8,265,4.3,459,7.5,-4.06,-2.71,+1.25,-5.52,35.3,-0.34,4.54,+0.03,1.54,34
8,2439,19Q1,54,124.5,187,120,169,+46,+37.4,54.5,258,4.8,412,7.6,+15.7,+8.54,-2.42,+21.8,37.6,-3.01,4.88,+0.72,1.51,31
9,2439,18Q4,65,140,163,112,123,-15.5,-11.2,36.8,408,6.3,552,8.5,-5.46,-1.96,+3.13,-4.29,31.6,+1.04,7.9,-0.98,0.8,10.1
10,2439,18Q3,64,134.5,176,119,138.5,+5.5,+4.14,42.9,329,5.1,503,7.9,+11.2,+5.08,-2.39,+13.9,35.1,-3.13,6.85,+0.1,1.78,26
11,2439,18Q2,60,168.5,170,118,133,-35.5,-21.1,30.9,251,4.2,362,6,-7.12,+2.06,+2.17,-2.89,29,+0.38,9.98,+1,1.68,16.8
12,2439,18Q1,58,195,206.5,155,168.5,-26,-13.4,26.5,288,5,509,8.8,-24,-2.9,+1.11,-25.8,31.2,+1.38,9.61,-0.87,0.68,7.1
13,2439,17Q4,62,195.5,237,187.5,194.5,+2,+1.04,25.7,357,5.8,762,12.3,-1.68,-2.15,-0.81,-4.64,43,-0.25,8.24,+0.59,1.55,18.8
14,2439,17Q3,66,188.5,255,182.5,192.5,+3.5,+1.85,38.4,344,5.2,771,11.7,+9.28,-4.74,-0.93,+3.61,45.7,+0.16,8.48,0,0.96,11.3
15,2439,17Q2,61,165,196,143,189,+26,+16,32.5,323,5.3,576,9.4,+1.25,+0.24,-0.53,+0.97,40.6,-2.12,8.32,-1.83,0.96,11.5
16,2439,17Q1,57,122,167,117.5,163,+41.5,+34.2,40.7,406,7.1,573,10.1,+19.4,-2.13,+0.74,+18,40.2,-0.66,10.4,-3.47,2.79,26.7
17,2439,16Q4,64,124.5,139.5,105.5,121.5,-1.5,-1.22,27.6,429,6.7,524,8.2,+2.91,-2.27,-1.73,-1.09,30.6,+2.51,11.1,+1.41,6.26,56.3
18,2439,16Q3,62,65,124,64.2,123,+53.4,+76.7,85.9,454,7.3,463,7.5,+19.9,+5.61,+1.24,+26.8,29.5,-4.65,8.6,+2.55,4.85,56.4
19,2439,16Q2,61,55,73.2,53.5,69.6,+14.6,+26.6,35.8,305,5,200,3.3,+7.27,+7.2,+0.43,+14.9,18,-1.12,13.2,+0.78,2.3,17.4
20,2439,16Q1,57,58.8,61.8,48.4,55,-3.6,-6.14,22.9,182,3.2,102,1.8,-11,-0.45,+0.73,-10.7,13.6,+1.64,14.4,-0.94,1.53,10.6
21,2439,15Q4,65,40.5,77.5,40.2,58.6,+18.8,+47.2,93.7,408,6.3,254,3.9,+1.06,+1.93,+0.33,+3.32,20.2,+2.43,12.8,-0.66,2.47,19.3
22,2439,15Q3,63,72.4,74.8,30,39.8,-31.7,-44.3,62.7,228,3.6,107,1.7,-6.43,-0.02,-0.13,-6.58,21,-3.51,10.3,+1.5,3.12,30.2
23,2439,15Q2,61,100.5,101,55.9,71.5,-29,-28.9,44.9,306,5,221,3.6,-5.58,-4.62,-0.32,-10.5,23.3,-2.63,13.8,+1.46,1.62,11.7
24,2439,15Q1,55,111.5,115,96.3,100.5,-11,-9.87,16.8,186,3.4,196,3.6,+7.84,-6.3,-2.26,-0.72,25.9,+4.38,16.5,-1.04,0.16,1
25,2439,14Q4,66,141.5,151,101.5,111.5,-30,-21.2,35,345,5.2,400,6.1,+3.58,-14.9,+0.77,-10.6,21.9,+3.95,12.1,-1.07,1.2,9.9
26,2439,14Q3,64,160.5,182,139.5,141.5,-18,-11.3,26.6,174,2.7,285,4.4,-0.61,+2.16,+0.65,+2.19,19,+0.2,8.14,+0.04,2.27,27.9
27,2439,14Q2,62,167.5,194,146,159.5,-7,-4.2,28.8,231,3.7,388,6.3,-13.9,-0.1,-0.66,-14.7,19.6,+0.55,7.95,-0.13,2.24,28.1
28,2439,14Q1,56,171.5,195,144.5,166.5,-7.5,-4.31,29,210,3.8,357,6.4,+2.18,-0.93,-0.5,+0.75,27.3,-0.03,7.4,-1.87,2.37,32
29,2439,13Q4,65,81.5,178,80.2,174,+92,+112,119,250,3.8,296,4.6,+16.8,-3.94,+0.52,+13.4,26.1,-0.66,7.42,+2.31,4.24,57.1
