ID,sid,交易季度,交易日數,開盤,最高,最低,收盤,漲跌,漲跌(%),振幅(%),成交張數千張,成交張數日均,成交金額億元,成交金額日均,法人買賣超(千張)外資,法人買賣超(千張)投信,法人買賣超(千張)自營,法人買賣超(千張)合計,外資持股(%),融資(千張)增減,融資(千張)餘額,融券(千張)增減,融券(千張)餘額,券資比(%)
0,2832,21Q1,32,20.5,21.5,19.8,20.85,+0.35,+1.71,8.29,13,0.41,2.66,0.08,-0.63,0,-0.1,-0.73,2.9,+0.03,0.16,+0.01,0.01,3.7
1,2832,20Q4,63,19.6,20.6,19.55,20.5,+0.8,+4.06,5.33,7.62,0.12,1.53,0.02,+0.45,0,-0.02,+0.43,3,+0.04,0.13,0,0,0
2,2832,20Q3,66,19.75,20.2,19.45,19.7,+0.05,+0.25,3.82,8.79,0.13,1.73,0.03,-0.51,0,-0.01,-0.52,2.9,-0.01,0.09,0,0,0
3,2832,20Q2,60,18.4,20.7,18.05,19.65,+1.25,+6.79,14.4,12.6,0.21,2.48,0.04,-0.18,0,0,-0.19,3.1,-0.05,0.1,0,0,0
4,2832,20Q1,56,20.9,21,16.2,18.4,-2.5,-12,23,16.2,0.29,3.17,0.06,-1,0,0,-1,3.2,+0.02,0.15,0,0,0
5,2832,19Q4,64,20.3,21.05,20.15,20.9,+0.65,+3.21,4.44,8.21,0.13,1.69,0.03,+0.01,0,0,+0.01,3.4,+0.01,0.13,0,0,0
6,2832,19Q3,63,20.7,20.75,19.85,20.25,-0.35,-1.7,4.37,8.72,0.14,1.76,0.03,+0.26,0,0,+0.26,3.4,-0.03,0.12,0,0,0
7,2832,19Q2,61,20.15,20.7,20,20.6,+0.5,+2.49,3.48,6.89,0.11,1.4,0.02,,,,,3.3,-0.03,0.15,0,0,0
8,2832,19Q1,54,19.6,20.5,19.45,20.1,+0.55,+2.81,5.37,4.73,0.09,0.94,0.02,-0.47,0,0,-0.47,3.2,-0.15,0.18,-0.01,0,0
9,2832,18Q4,65,20.95,20.95,19.25,19.55,-1.25,-6.01,8.17,7.46,0.11,1.49,0.02,-1.66,0,-0.88,-2.54,3.3,-0.08,0.34,+0.01,0.01,2.1
