ID,sid,股利發放年度,股利所屬盈餘期間,股東會日期,除息交易日,除息參考價,填息完成日,填息花費日數,現金股利發放日,除權交易日,除權參考價,填權完成日,填權花費日數,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計
0,1303,2020,2019全年,20'06/12,20'07/07,64.8,20'12/03,105,20'08/05,,,,,2.2,0,2.2,0,0,0,2.2
1,1303,2019,2018全年,19'06/12,19'07/03,73.3,,,19'08/06,,,,,5,0,5,0,0,0,5
2,1303,2018,2017全年,18'06/19,18'07/10,82.4,,,18'08/03,,,,,5.1,0,5.1,0,0,0,5.1
3,1303,2017,2016全年,17'06/20,17'07/18,73.3,17'12/28,116,17'08/11,,,,,4.5,0,4.5,0,0,0,4.5
4,1303,2016,2015全年,16'06/23,16'07/19,61.4,16'10/20,64,16'08/17,,,,,3.3,0,3.3,0,0,0,3.3
5,1303,2015,2014全年,15'06/23,15'07/09,65.6,15'07/14,3,15'08/05,,,,,2.3,0,2.3,0,0,0,2.3
6,1303,2014,2013全年,14'06/19,14'07/09,70,14'07/11,3,,,,,,1.9,0,1.9,0,0,0,1.9
7,1303,2013,2012全年,13'06/24,13'08/07,62.1,13'09/12,26,,13'08/07,62.1,13'09/12,26,0.3,0,0.3,0.1,0,0.1,0.4
8,1303,2012,2011全年,12'06/21,12'07/11,52.5,12'07/17,5,,,,,,2.1,0,2.1,0,0,0,2.1
9,1303,2011,2010全年,11'06/21,11'07/13,73.4,11'07/14,2,,,,,,4.7,0,4.7,0,0,0,4.7
10,1303,2010,2009全年,10'06/22,10'07/13,54.1,10'07/14,2,,,,,,1.9,0,1.9,0,0,0,1.9
11,1303,2009,2008全年,09'06/11,09'07/16,40.8,09'07/21,4,,09'07/16,40.8,09'07/21,4,0.8,0,0.8,0.3,0,0.3,1.1
12,1303,2008,2007全年,08'06/13,08'07/02,55.3,10'01/06,382,,,,,,6.7,0,6.7,0,0,0,6.7
13,1303,2007,2006全年,07'06/22,07'07/11,69.6,07'07/24,10,,,,,,5,0,5,0,0,0,5
14,1303,2006,2005全年,06'06/23,06'08/01,41.75,06'09/28,43,,06'08/01,41.75,06'09/28,43,3.7,0,3.7,0,0.3,0.3,4
15,1303,2005,2004全年,05'06/03,05'07/06,39.9,06'01/04,127,,05'07/06,39.9,06'01/04,127,3.6,0,3.6,0,0.6,0.6,4.2
16,1303,2004,2003全年,04'05/21,04'06/24,42.6,04'08/26,44,,04'06/24,42.6,04'08/26,44,1.8,0,1.8,0,0.6,0.6,2.4
17,1303,2003,2002全年,03'06/06,03'06/26,37.8,03'07/02,5,,03'07/31,38.3,03'08/13,10,1.2,0,1.2,0.2,0.4,0.6,1.8
18,1303,2002,2001全年,02'05/31,02'06/20,31.3,02'06/20,1,,,,,,0.7,0,0.7,0.3,0.4,0.7,1.4
19,1303,2001,2000全年,01'05/29,,,,,,,,,,1.1,0,1.1,0.8,0.3,1.1,2.2
20,1303,2000,1999全年,00'06/09,00'06/28,,00'06/28,1,,,,,,1,0,1,0.6,0.4,1,2
21,1303,1999,1998全年,99'06/10,99'06/29,,99'06/29,1,,,,,,0.6,0,0.6,0.6,0.5,1.1,1.7
22,1303,1998,1997全年,98'05/22,,,,,,98'07/13,41.7,98'11/24,105,0,0,0,1.7,0,1.7,1.7
23,1303,1997,1996全年,97'05/20,97'06/04,75.4,97'06/04,1,,97'07/12,74.77,07'09/11,2602,1.1,0,1.1,1.1,0,1.1,2.2
24,1303,1996,1995全年,96'05/08,96'05/23,41.15,96'05/24,2,,96'07/16,49.78,96'09/11,48,1.15,0,1.15,1.15,0,1.15,2.3
25,1303,1995,1994全年,95'04/26,95'05/17,52.35,95'05/17,1,,95'07/18,45.29,96'06/13,262,1.15,0,1.15,1.15,0,1.15,2.3
26,1303,1994,1993全年,94'04/12,94'05/02,57.45,94'05/02,1,,94'08/06,59.28,94'12/30,116,1.05,0,1.05,1.05,0,1.05,2.1
27,1303,1993,1992全年,93'04/30,93'05/19,42.2,93'11/19,150,,93'08/14,36.93,93'11/11,72,1.1,0,1.1,1.1,0,1.1,2.2
28,1303,1992,1991全年,92'04/30,92'05/19,42.9,92'05/20,2,,92'11/07,35,93'02/13,70,1.1,0,1.1,1.2,0,1.2,2.3
29,1303,1991,1990全年,91'04/30,91'06/18,58.9,91'06/18,1,,91'09/24,45.98,93'12/04,627,1.1,0,1.1,1.2,0,1.2,2.3
30,1303,1990,1989全年,90'04/27,90'04/27,78.5,,,,90'07/25,51.32,,,1,0,1,1.3,0,1.3,2.3
31,1303,1989,1988全年,,,,,,,,,,,1,0,1,1.8,0,1.8,2.8
32,1303,1988,1987全年,,,,,,,,,,,1,0,1,1.7,0.1,1.8,2.8
33,1303,1987,1986全年,,,,,,,,,,,0.9,0,0.9,1.6,0.1,1.7,2.6
34,1303,1986,1985全年,,,,,,,,,,,1.2,0,1.2,1.1,0.1,1.2,2.4
35,1303,1985,1984全年,,,,,,,,,,,1.3,0,1.3,1.2,0.3,1.5,2.8
36,1303,1984,1983全年,,,,,,,,,,,1,0,1,1,0.6,1.6,2.6
