ID,sid,交易季度,交易日數,開盤,最高,最低,收盤,漲跌,漲跌(%),振幅(%),成交張數千張,成交張數日均,成交金額億元,成交金額日均,法人買賣超(千張)外資,法人買賣超(千張)投信,法人買賣超(千張)自營,法人買賣超(千張)合計,外資持股(%),融資(千張)增減,融資(千張)餘額,融券(千張)增減,融券(千張)餘額,券資比(%)
51,2388,08Q2,63,17.3,24,17.1,21.35,+4.25,+24.8,40.4,832,13.2,169,2.7,+0.07,+8.23,+0.71,+9.01,8.8,-41.1,61.8,0,1.96,3.2
52,2388,08Q1,57,18.5,20.2,15.05,17.1,-1.25,-6.81,28.1,659,11.6,117,2.1,+17.6,-0.6,0,+17,8.8,-17.2,103,-5.08,1.96,1.9
53,2388,07Q4,65,24.1,24.75,15.6,18.35,-5.15,-21.9,38.9,857,13.2,171,2.6,-2.56,+0.57,+0.04,-1.95,7.4,-29.1,122,+2.71,7.14,5.9
54,2388,07Q3,63,35.1,36.8,20.15,23.5,-11.25,-32.4,47.9,1076,17.1,335,5.3,+5.02,-1.46,-13.9,-10.3,7.6,-24.2,151,-0.06,4.43,2.9
55,2388,07Q2,62,35.4,37.45,30.1,34.75,-0.35,-1,20.9,1336,21.5,464,7.5,+24.4,-3.18,+0.37,+21.6,7.2,-11.9,175,-4.62,4.47,2.6
56,2388,07Q1,57,40.55,41.4,30,35.1,-5.45,-13.4,28.1,1972,34.6,702,12.3,-18.8,+4.05,-12.7,-27.5,5.5,+9.13,187,-30.4,9.14,4.9
57,2388,06Q4,63,25.45,40.55,22,40.55,+15.1,+59.3,72.9,1285,20.4,375,5.9,+7.56,-2.43,+25.9,+31,7,+26.5,178,+36,39.6,22.3
58,2388,06Q3,65,28.1,29.35,23.5,25.45,-2.65,-9.43,20.8,996,15.3,265,4.1,+0.94,+0.35,+0.97,+2.26,6.4,-7.12,151,-8.67,3.77,2.5
59,2388,06Q2,62,24.9,40.55,24.55,28.1,+3.55,+14.5,65.2,2982,48.1,962,15.5,-24.6,+1.91,-8.56,-31.2,6.3,+30.3,159,+6.7,12.5,7.8
60,2388,06Q1,58,20.3,26.5,17.9,24.55,+3.85,+18.6,41.5,1266,21.8,284,4.9,-24.2,+1.03,+7.54,-15.6,8.2,+11.6,128,+1.85,5.98,4.7
61,2388,05Q4,64,21.5,22.95,16.4,20.7,-0.8,-3.72,30.5,1219,19.1,235,3.7,+2.56,-1.26,-6.6,-5.3,10,-0.13,117,-2.84,4.16,3.6
