ID,sid,股利發放年度,股利所屬盈餘期間,股東會日期,除息交易日,除息參考價,填息完成日,填息花費日數,現金股利發放日,除權交易日,除權參考價,填權完成日,填權花費日數,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計
0,1316,2019,2018全年,19'06/24,19'08/01,13.55,,,19'08/30,,,,,1.14,0.75,1.89,0,0,0,1.89
1,1316,2018,2017全年,18'06/26,18'11/20,14.55,19'03/22,79,18'12/19,18'11/20,14.55,19'03/22,79,1.44,0.82,2.26,0,0,0,2.26
2,1316,2017,2016全年,17'06/20,,,,,,,,,,0,0,0,0,0,0,0
3,1316,2016,2015全年,16'06/22,,,,,,,,,,0,0,0,0,0,0,0
4,1316,2015,2014全年,15'06/23,,,,,,,,,,0,0,0,0,0,0,0
5,1316,2014,2013全年,14'06/20,,,,,,,,,,0,0,0,0,0,0,0
6,1316,2013,2012全年,13'05/07,,,,,,,,,,0,0,0,0,0,0,0
7,1316,2012,2011全年,12'04/18,,,,,,,,,,0,0,0,0,0,0,0
8,1316,2011,2010全年,11'06/10,,,,,,,,,,0,0,0,0,0,0,0
9,1316,2010,2009全年,10'06/17,,,,,,,,,,0,0,0,0,0,0,0
10,1316,2009,2008全年,09'06/16,,,,,,,,,,0,0,0,0,0,0,0
11,1316,2008,2007全年,08'06/17,,,,,,,,,,0,0,0,0,0,0,0
12,1316,2007,2006全年,07'06/23,,,,,,,,,,0,0,0,0,0,0,0
13,1316,2006,2005全年,06'06/24,,,,,,,,,,0,0,0,0,0,0,0
14,1316,2005,2004全年,05'06/18,,,,,,,,,,0,0,0,0,0,0,0
15,1316,2004,2003全年,04'06/12,,,,,,,,,,0,0,0,0,0,0,0
16,1316,2003,2002全年,,,,,,,,,,,0,0,0,0,0,0,0
17,1316,2002,2001全年,02'06/15,,,,,,,,,,0,0,0,0,0,0,0
18,1316,2001,2000全年,,,,,,,,,,,0,0,0,0,0,0,0
19,1316,2000,1999全年,,,,,,,,,,,0,0,0,0,0,0,0
20,1316,1999,1998全年,,,,,,,,,,,0,0,0,0,0,0,0
21,1316,1998,1997全年,98'05/17,,,,,,98'07/30,,00'03/04,426,0,0,0,0,1,1,1
22,1316,1997,1996全年,,,,,,,,,,,0,0,0,0,0,0,0
23,1316,1996,1995全年,,,,,,,,,,,0,0,0,0,0,0,0
24,1316,1995,1994全年,95'06/11,,,,,,95'07/22,22.6,96'09/20,339,0,0,0,0.5,1,1.5,1.5
25,1316,1994,1993全年,94'05/29,,,,,,94'07/27,41.58,,,0,0,0,1.15,0.85,2,2
26,1316,1993,1992全年,93'04/18,,,,,,93'06/14,55,,,0,0,0,3,0,3,3
27,1316,1992,1991全年,92'03/15,,,,,,92'08/18,,,,0,0,0,4,0,4,4
28,1316,1991,1990全年,91'08/15,,,,,,91'09/12,,,,0,0,0,3.27,0,3.27,3.27
29,1316,1990,1989全年,90'06/30,,,,,,90'08/01,,,,0,0,0,2.6,0,2.6,2.6
30,1316,1989,1988全年,,,,,,,,,,,0,0,0,1.33,0,1.33,1.33
