ID,sid,季度,股本(億),財報評分,季度股價(元)收盤,季度股價(元)平均,季度股價(元)漲跌,季度股價(元)漲跌(%),獲利金額(億)營業收入,獲利金額(億)營業毛利,獲利金額(億)營業利益,獲利金額(億)業外損益,獲利金額(億)稅後淨利,獲利率(%)營業毛利,獲利率(%)營業利益,獲利率(%)業外損益,獲利率(%)稅後淨利,單季ROE(%),年估ROE(%),單季ROA(%),年估ROA(%),EPS(元)稅後EPS,EPS(元)年增(元),BPS(元)
0,1342,2021Q1,-,-,56.3,57.4,-3.7,-6.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1342,2020Q4,-,-,60,60.7,+5,+9.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,1342,2020Q3,6.2,57,-,-,-,-,4.43,1.32,0.97,-0.03,0.75,29.7,21.8,-0.63,16.9,6.83,27.3,4.37,17.5,1.21,+0.14,17.07
3,1342,2020Q2,6.2,50,-,-,-,-,3.28,0.67,0.36,0.01,0.29,20.4,10.9,0.32,8.99,2.62,10.5,1.77,7.07,0.48,-0.42,18.36
4,1342,2020Q1,6.2,57,-,-,-,-,3.85,1.01,0.68,0.06,0.59,26.3,17.6,1.62,15.4,5.78,23.1,3.76,15,0.97,+0.15,17.88
5,1342,2019Q4,5.95,41,-,-,-,-,3.67,0.88,0.46,-0.06,0.32,23.9,12.5,-1.72,8.61,3.44,13.7,2.05,8.22,0.54,-2.26,15.75
6,1342,2019Q3,5.95,48,-,-,-,-,4.33,1.09,0.73,0.05,0.62,25.3,16.8,1.13,14.4,7.17,28.7,4.13,16.5,1.07,-,-
7,1342,2019Q2,5.88,48,-,-,-,-,3.4,0.94,0.61,0.04,0.52,27.8,17.9,1.19,15.4,6.4,25.6,3.6,14.4,0.9,-0.74,14.12
8,1342,2019Q1,4.23,45,-,-,-,-,3.02,0.67,0.41,0.02,0.35,22,13.6,0.66,11.4,4.4,17.6,2.49,9.97,0.82,-,-
9,1342,2018Q4,4.23,55,-,-,-,-,13.3,3.22,1.81,0.13,1.6,24.2,13.6,0.97,12,20.8,83.3,12.1,48.6,2.8,-,-
10,1342,2018Q2,4.23,55,-,-,-,-,6.78,1.59,1.07,0.07,0.93,23.5,15.8,1.07,13.8,13.3,53.2,7.24,29,1.64,-,-
