ID,sid,股利發放年度,股利所屬盈餘期間,股東會日期,除息交易日,除息參考價,填息完成日,填息花費日數,現金股利發放日,除權交易日,除權參考價,填權完成日,填權花費日數,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計
0,2477,2020,2019全年,20'06/24,20'07/14,21.8,20'08/31,35,20'08/07,,,,,1.6,0,1.6,0,0,0,1.6
1,2477,2019,2018全年,19'06/27,19'08/06,20.25,19'08/13,5,19'08/23,,,,,0.86,0,0.86,0,0,0,0.86
2,2477,2018,2017全年,18'06/20,18'08/23,19.95,18'11/16,60,18'09/12,,,,,1.3,0,1.3,0,0,0,1.3
3,2477,2017,2016全年,17'06/22,,,,,,,,,,0,0,0,0,0,0,0
4,2477,2016,2015全年,16'06/23,16'08/24,13.6,16'09/22,21,16'09/10,,,,,1.1,0,1.1,0,0,0,1.1
5,2477,2015,2014全年,15'06/24,15'08/26,9.6,15'09/01,5,15'09/15,,,,,1,0,1,0,0,0,1
6,2477,2014,2013全年,14'06/23,14'08/18,15.5,16'12/02,565,14'09/05,,,,,3,0,3,0,0,0,3
7,2477,2013,2012全年,13'06/24,13'08/28,15.2,13'08/30,3,,,,,,0.6,0,0.6,0,0,0,0.6
8,2477,2012,2011全年,12'06/19,,,,,,,,,,0,0,0,0,0,0,0
9,2477,2011,2010全年,11'06/24,11'08/04,12.95,11'09/20,33,,,,,,0.8,0,0.8,0,0,0,0.8
10,2477,2010,2009全年,10'06/25,10'08/04,14.35,10'08/13,8,,,,,,0.25,0,0.25,0,0,0,0.25
11,2477,2009,2008全年,09'06/16,09'08/04,9.74,09'08/04,1,,,,,,0.25,0,0.25,0,0,0,0.25
12,2477,2008,2007全年,08'06/30,08'08/19,12.4,09'10/06,284,,08'08/19,12.4,09'10/06,284,1.32,0,1.32,0.2,0,0.2,1.52
13,2477,2007,2006全年,07'06/29,07'08/09,34.9,07'08/09,1,,07'08/09,34.9,07'08/09,1,0.8,0,0.8,0.2,0,0.2,1
14,2477,2006,2005全年,06'06/19,06'08/09,15.75,06'08/18,8,,06'08/09,15.75,06'08/18,8,0.6,0,0.6,0.2,0,0.2,0.8
15,2477,2005,2004全年,05'06/28,05'08/11,18.9,05'08/26,12,,05'08/11,18.9,05'08/26,12,0.75,0,0.75,0.75,0,0.75,1.5
16,2477,2004,2003全年,04'06/29,04'09/02,32,07'07/11,707,,04'09/02,32,07'07/11,707,1.8,0,1.8,1.93,0.27,2.2,4
17,2477,2003,2002全年,03'06/16,03'07/21,49.9,,,,03'07/21,49.9,,,1,0,1,3,0.5,3.5,4.5
18,2477,2002,2001全年,02'06/10,02'07/22,57,,,,02'07/22,57,,,1.2,0,1.2,3,0,3,4.2
19,2477,2001,2000全年,01'04/30,01'06/19,62.5,02'01/21,147,,01'06/19,62.5,02'01/21,147,1.5,0,1.5,3.5,0,3.5,5
20,2477,2000,1999全年,00'05/15,00'06/21,127.5,,,,00'06/21,127.5,,,1.5,0,1.5,2.5,1.5,4,5.5
21,2477,1999,1998全年,99'06/25,,,,,,99'11/10,,,,0,0,0,1.5,1.5,3,3
22,2477,1998,1997全年,,,,,,,,,,,0,0,0,2,1,3,3
