ID,sid,交易季度,交易日數,開盤,最高,最低,收盤,漲跌,漲跌(%),振幅(%),成交張數千張,成交張數日均,成交金額億元,成交金額日均,法人買賣超(千張)外資,法人買賣超(千張)投信,法人買賣超(千張)自營,法人買賣超(千張)合計,外資持股(%),融資(千張)增減,融資(千張)餘額,融券(千張)增減,融券(千張)餘額,券資比(%)
0,2472,21Q1,32,64.1,85.3,62.5,82.3,+18.5,+29,35.7,234,7.3,170,5.3,,,,,,,,,,
1,2472,20Q4,63,52.4,67.6,51.4,63.8,+11.4,+21.8,30.9,169,2.7,101,1.6,-0.43,0,-0.24,-0.66,5.1,+1.49,5.53,+0.18,1.43,25.9
2,2472,20Q3,66,42.85,58.5,42.6,52.4,+9.9,+23.3,37.4,169,2.6,87.7,1.3,+2.55,0,-0.77,+1.78,5.3,+0.98,4.04,+1.2,1.25,30.9
3,2472,20Q2,60,27.4,46,27.1,42.5,+15.1,+55.1,69,114,1.9,46.3,0.77,+0.5,0,+0.02,+0.52,3.4,+1.05,3.06,+0.03,0.06,1.8
4,2472,20Q1,56,44.15,45.35,23.45,27.4,-16.55,-37.7,49.8,29.2,0.52,10.8,0.19,-1.26,+0.02,+0.27,-0.97,3.1,-2.57,2.01,-0.02,0.02,1.2
5,2472,19Q4,64,42.25,44.75,39.3,43.95,+1.95,+4.64,13,46.8,0.73,20,0.31,-0.51,-0.01,-0.28,-0.8,4.3,-0.58,4.58,-0.16,0.04,0.9
6,2472,19Q3,63,41.45,45.75,38.2,42,+1.1,+2.69,18.5,58.7,0.93,25,0.4,+0.73,+0.01,-0.27,+0.47,4.6,+0.45,5.17,+0.12,0.2,3.9
7,2472,19Q2,61,40.5,42.7,34.75,40.9,+0.45,+1.11,19.7,25.4,0.42,10.1,0.17,-0.54,-0.02,+0.11,-0.45,3.9,-0.07,4.72,+0.06,0.08,1.6
8,2472,19Q1,54,40.35,44.2,37.5,40.45,+0.45,+1.13,16.8,21.5,0.4,8.9,0.16,-0.52,0,-0.07,-0.59,4.3,+0.11,4.79,-0.07,0.01,0.3
9,2472,18Q4,65,48.5,52.6,38.2,40,-8.5,-17.5,29.7,61.1,0.94,27.5,0.42,+0.81,-0.04,-0.12,+0.65,5,-1.15,4.68,+0.02,0.08,1.8
10,2472,18Q3,64,79.7,80.9,47.35,48.5,-30,-38.2,42.7,94.7,1.5,62,0.97,+1.42,+0.03,-1.14,+0.31,4.3,-3.75,5.82,-0.34,0.06,1.1
11,2472,18Q2,60,55.9,88.7,53.6,78.5,+23,+41.4,63.2,333,5.5,240,4,-0.12,-0.21,+1.2,+0.87,3.7,+4.5,9.58,+0.35,0.4,4.2
12,2472,18Q1,58,61.6,67.9,50.1,55.5,-6,-9.76,28.9,72.5,1.3,43,0.74,-1.08,-0.79,+0.05,-1.82,2.9,+0.15,5.08,-0.15,0.05,1
13,2472,17Q4,62,42.9,67.9,42.3,61.5,+18.9,+44.4,60.1,149,2.4,82.5,1.3,-0.32,+1.02,-0.16,+0.54,3.8,-0.57,4.93,+0.11,0.2,4.1
14,2472,17Q3,66,40.3,48.7,37.2,42.6,+2.6,+6.5,28.8,89.5,1.4,38,0.58,+2.44,0,+0.32,+2.76,4,-0.22,5.5,+0.03,0.09,1.6
15,2472,17Q2,61,38.4,44.5,36.7,40,+1.5,+3.9,20.3,83.9,1.4,34.2,0.56,-1.06,+0.01,+0.04,-1.02,2,+1.16,5.73,+0.04,0.06,1.1
16,2472,17Q1,57,39,41.95,38.4,38.5,-0.5,-1.28,9.1,25.6,0.45,10.3,0.18,+0.02,0,0,+0.02,2.8,-1.36,4.56,-0.02,0.02,0.4
17,2472,16Q4,64,41.3,41.65,35.25,39,-2.1,-5.11,15.6,23.2,0.36,9.03,0.14,-0.99,0,-0.02,-1,2.9,+1.1,5.92,-0.02,0.04,0.6
18,2472,16Q3,62,38.25,42.8,37.75,41.1,+2.9,+7.59,13.2,75.2,1.2,30.5,0.49,+1.14,-0.02,+0.02,+1.14,3.6,+0.53,4.83,-0.1,0.06,1.2
19,2472,16Q2,61,36.4,38.7,33.2,38.2,+1.55,+4.23,15,48.3,0.79,17.8,0.29,-0.6,+0.02,0,-0.59,2.7,-0.14,4.29,-0.06,0.16,3.7
