sid,單季,負債總額,負債總額百分比,每股淨值(元),股東權益總額
2527,2020Q3,93.44,56.6,25.96,71.62
2527,2020Q2,97.3,56.9,26.76,73.75
2527,2020Q1,91.76,55.2,27,74.42
2527,2019Q4,95.08,52.9,30.95,84.8
2527,2019Q3,102.8,56.7,28.47,78.36
2527,2019Q2,133.9,65.9,24.94,69.17
2527,2019Q1,132.9,64.2,26.78,74.04
2527,2018Q4,135.8,66.1,25.13,69.73
2527,2018Q3,155.1,67.8,26.64,73.73
2527,2018Q2,163.3,70.1,25.03,69.58
2527,2018Q1,157.7,66.6,28.6,78.96
2527,2017Q4,139.8,64.6,27.62,76.45
2527,2017Q3,134.8,64.1,27.23,75.47
2527,2017Q2,128.1,62.8,27.44,76.04
2527,2017Q1,119.9,60.4,28.35,78.49
2527,2016Q4,114.2,60.7,26.59,73.9
2527,2016Q3,106.4,57.6,28.22,78.23
2527,2016Q2,96.26,55.8,27.39,76.1
2527,2016Q1,85.37,51.6,28.95,80.21
2527,2015Q4,87.49,52.1,29.08,80.56
2527,2015Q3,76.05,49.7,27.7,77.01
2527,2015Q2,79.92,49.7,29.19,80.93
2527,2015Q1,85.39,51.1,29.48,81.73
2527,2014Q4,77.97,50.1,27.93,77.69
2527,2014Q3,73.53,49.2,27.28,76.07
2527,2014Q2,112.6,62,24.59,69.04
2527,2014Q1,103.7,60.6,23.98,67.48
2527,2013Q4,97.84,61.1,21.94,62.17
2527,2013Q3,108,64.8,20.57,58.59
2527,2013Q2,90.59,62,19.38,55.49
2527,2013Q1,80.49,58.4,20.08,57.33
2527,2012Q4,69.6,54.3,20.8,58.49
2527,2012Q3,60.32,52.4,19.66,54.85
2527,2012Q2,48.93,47.7,19.18,53.63
2527,2012Q1,53.98,48.3,20.79,57.87
2527,2011Q4,52.91,48.4,19.84,56.34
2527,2011Q3,43.18,42.8,20.36,57.73
2527,2011Q2,42.56,41.9,20.81,58.91
2527,2011Q1,43.14,41.9,21.19,59.91
2527,2010Q4,41.72,42.7,19.67,55.94
2527,2010Q3,43.39,46.2,17.57,50.43
2527,2010Q2,30.76,38.6,16.99,48.86
2527,2010Q1,29.53,37.2,17.39,49.89
2527,2009Q4,30.59,38.1,17.29,49.63
2527,2009Q3,33.95,42.2,16.01,46.44
2527,2009Q2,36.64,46.7,14.22,41.78
2527,2009Q1,34.92,45.8,14.02,41.33
2527,2008Q4,27.69,41.6,13.1,38.91
2527,2008Q3,27.46,39.9,14.01,41.31
2527,2008Q2,30.16,39.3,16.04,46.66
2527,2008Q1,27.34,35.7,17.01,49.2
2527,2007Q4,27.7,35,17.82,51.35
2527,2007Q2,30.69,36.2,18.9,54.18
2527,2006Q4,33.37,39.2,17.93,51.66
2527,2006Q2,29.87,37.8,17.08,49.12
2527,2005Q4,34.66,47.3,13.48,38.6
2527,2005Q2,32.67,45.3,7.7,39.43
2527,2004Q4,42.83,53.2,7.31,37.65
2527,2003Q4,40.84,47.8,9.35,44.53
2527,2002Q4,42.94,46.5,10.38,49.42
2527,2001Q4,48.9,47.4,11.42,54.24
2527,2000Q4,70.52,53,13.13,62.44
2527,1999Q4,47.75,42.6,13.5,64.26
2527,1998Q4,61.26,50.8,12.47,59.34
