ID,sid,季度,股本(億),財報評分,季度股價(元)收盤,季度股價(元)平均,季度股價(元)漲跌,季度股價(元)漲跌(%),獲利金額(億)營業收入,獲利金額(億)營業毛利,獲利金額(億)營業利益,獲利金額(億)業外損益,獲利金額(億)稅後淨利,獲利率(%)營業毛利,獲利率(%)營業利益,獲利率(%)業外損益,獲利率(%)稅後淨利,單季ROE(%),年估ROE(%),單季ROA(%),年估ROA(%),EPS(元)稅後EPS,EPS(元)年增(元),BPS(元)
0,2892,2021Q1,-,-,20.85,20.8,-0.5,-2.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2892,2020Q4,-,-,21.35,20.9,+0.8,+3.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2892,2020Q3,1284,50,20.55,22,-2.1,-9.3,154,-,-,-,46.1,-,-,-,30,2.15,8.61,0.14,0.55,0.36,-0.08,16.85
3,2892,2020Q2,1246,50,22.65,21.8,+3,+15.3,144,-,-,-,58.3,-,-,-,40.4,2.73,10.9,0.18,0.72,0.45,+0.04,17.03
4,2892,2020Q1,1246,41,19.65,22.7,-4.05,-17.1,136,-,-,-,29.4,-,-,-,21.6,1.35,5.4,0.09,0.37,0.24,-0.15,17.27
5,2892,2019Q4,1246,47,23.7,22.8,+1.9,+8.7,152,-,-,-,39.9,-,-,-,26.2,1.83,7.33,0.13,0.51,0.32,+0.08,17.63
6,2892,2019Q3,1246,53,21.8,22.2,-1,-4.4,160,-,-,-,54.6,-,-,-,34.2,2.56,10.2,0.18,0.73,0.44,+0.06,17.31
7,2892,2019Q2,1234,47,22.8,21.9,+1.7,+8.1,155,-,-,-,51,-,-,-,33,2.4,9.6,0.17,0.67,0.41,+0.01,17.1
8,2892,2019Q1,1234,47,21.1,20.6,+1.1,+5.5,156,-,-,-,48.1,-,-,-,30.8,2.29,9.17,0.16,0.64,0.39,+0.02,17.36
9,2892,2018Q4,1234,41,20,20,-0.8,-3.8,137,-,-,-,29.9,-,-,-,21.9,1.46,5.85,0.1,0.41,0.24,+0.19,16.64
10,2892,2018Q3,1234,47,20.8,20.6,+0.2,+1,151,-,-,-,47.4,-,-,-,31.4,2.36,9.44,0.16,0.66,0.38,-0.04,16.49
11,2892,2018Q2,1222,53,20.6,20.6,+0.3,+1.5,164,-,-,-,50.1,-,-,-,30.6,2.51,10,0.18,0.73,0.4,-0.03,16.19
12,2892,2018Q1,1222,47,20.3,20,+0.75,+3.8,151,-,-,-,45.9,-,-,-,30.4,2.33,9.33,0.17,0.69,0.37,+0.01,16.52
13,2892,2017Q4,1222,34,19.55,19.5,0,0,133,-,-,-,6.11,-,-,-,4.53,0.31,1.25,0.02,0.09,0.05,-0.28,15.7
