ID,sid,季度,股本(億),財報評分,季度股價(元)收盤,季度股價(元)平均,季度股價(元)漲跌,季度股價(元)漲跌(%),獲利金額(億)營業收入,獲利金額(億)營業毛利,獲利金額(億)營業利益,獲利金額(億)業外損益,獲利金額(億)稅後淨利,獲利率(%)營業毛利,獲利率(%)營業利益,獲利率(%)業外損益,獲利率(%)稅後淨利,單季ROE(%),年估ROE(%),單季ROA(%),年估ROA(%),EPS(元)稅後EPS,EPS(元)年增(元),BPS(元)
0,1341,2021Q1,-,-,61,60.6,+2.5,+4.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1341,2020Q4,-,-,58.5,58.5,+0.1,+0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,1341,2020Q3,4.94,57,58.4,58.8,-4.3,-6.9,6.8,1.81,1.26,-0.02,0.99,26.6,18.6,-0.37,14.5,9.03,36.1,4.58,18.3,2,+0.1,22.96
3,1341,2020Q2,4.94,41,62.7,61.1,+5.2,+9,4.74,0.77,0.26,0.13,0.3,16.3,5.42,2.79,6.26,2.55,10.2,1.32,5.27,0.6,-0.83,21.27
4,1341,2020Q1,4.94,45,57.5,59.1,-4.2,-6.8,7.12,1.58,0.98,-0.1,0.7,22.2,13.8,-1.46,9.81,5.58,22.3,3.17,12.7,1.41,+0.55,25.9
5,1341,2019Q4,4.94,48,61.7,61.5,+2,+3.4,7.98,1.66,1.02,-0.05,0.74,20.9,12.7,-0.63,9.3,6.16,24.6,3.46,13.8,1.5,-0.02,24.77
6,1341,2019Q3,4.94,57,59.7,57.7,+1.7,+2.9,8.09,1.74,1.03,0.17,0.94,21.5,12.8,2.07,11.6,8.25,33,4.22,16.9,1.9,+1.33,24.01
7,1341,2019Q2,4.94,45,58,53.7,+5.6,+10.7,7.61,1.61,0.95,-0.04,0.71,21.2,12.5,-0.54,9.29,6.27,25.1,3.19,12.8,1.43,+0.76,22.03
8,1341,2019Q1,4.94,36,52.4,49,0,0,6.54,1.25,0.6,-0.03,0.43,19.1,9.23,-0.46,6.52,3.73,14.9,1.93,7.72,0.86,-0.17,23.54
9,1341,2018Q4,4.94,48,52.4,56.8,+23.6,+81.9,7.68,1.5,0.82,0.01,0.62,19.5,10.7,0.07,8.13,6.32,25.3,2.93,11.7,1.52,-0.18,22.62
10,1341,2018Q3,4.39,30,-,-,-,-,7.45,1.2,0.47,-0.14,0.23,16.2,6.38,-1.83,3.12,2.99,12,1.21,4.83,0.57,-0.9,19.52
11,1341,2018Q2,4.03,36,-,-,-,-,7.22,1.12,0.36,0.01,0.26,15.5,5,0.11,3.63,3.92,15.7,1.51,6.04,0.67,-,-
12,1341,2018Q1,4.03,36,-,-,-,-,6.67,1.18,0.52,0,0.39,17.7,7.86,0.01,5.84,6.67,26.7,2.55,10.2,1.03,-,-
13,1341,2017Q4,3.73,43,-,-,-,-,6.48,1.45,0.83,-0.03,0.63,22.4,12.8,-0.49,9.74,12.7,50.6,4.27,17.1,1.7,-11.26,-
14,1341,2017Q3,3.73,48,-,-,-,-,7.3,1.47,0.78,-0.05,0.55,20.1,10.6,-0.63,7.52,11.7,46.6,3.68,14.7,1.47,-,-
15,1341,2016Q4,4.56,57,-,-,-,-,29.6,7.91,5.84,-0.11,4.57,26.7,19.7,-0.36,15.5,55.7,223,31,124,12.96,-,-
16,1341,2015Q4,4.56,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
