有價證卷代號及名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
8104　錸寶,108/01/17,"5,312,511","430,366,391",80.00,83.40,79.00,81.40,X0.00,"3,287"
8104　錸寶,108/01/18,"3,941,784","316,272,776",82.00,83.20,76.50,77.10,-4.30,"2,766"
8104　錸寶,108/01/21,"1,497,997","114,359,661",77.50,77.90,75.50,75.70,-1.40,"1,146"
8104　錸寶,108/01/22,"1,805,084","140,056,206",76.10,78.50,76.00,77.30,+1.60,"1,138"
8104　錸寶,108/01/23,"1,885,694","141,652,712",76.70,76.90,74.00,75.50,-1.80,"1,368"
8104　錸寶,108/01/24,"773,591","57,791,925",74.80,75.30,74.30,74.90,-0.60,646
8104　錸寶,108/01/25,"759,306","57,248,715",75.00,76.50,74.40,75.80,+0.90,667
8104　錸寶,108/01/28,"896,654","67,897,904",76.00,76.60,74.50,75.90,+0.10,644
8104　錸寶,108/01/29,"474,275","35,622,125",75.30,75.70,74.60,74.90,-1.00,387
8104　錸寶,108/01/30,"482,279","36,186,225",75.50,75.50,74.70,74.90, 0.00,373
8104　錸寶,108/02/11,"547,827","40,916,098",75.60,75.70,73.90,73.90,-1.00,476
8104　錸寶,108/02/12,"1,497,726","105,712,820",73.30,73.30,68.00,70.00,-3.90,"1,246"
8104　錸寶,108/02/13,"709,454","49,687,546",69.90,71.80,69.00,71.70,+1.70,619
8104　錸寶,108/02/14,"444,953","31,612,463",71.00,71.50,70.70,70.80,-0.90,347
8104　錸寶,108/02/15,"475,256","33,303,972",70.70,71.10,69.10,70.00,-0.80,390
8104　錸寶,108/02/18,"330,703","23,011,456",70.20,70.20,69.30,69.50,-0.50,276
8104　錸寶,108/02/19,"2,002,601","148,584,610",69.90,76.40,69.90,76.40,+6.90,"1,454"
8104　錸寶,108/02/20,"2,419,760","183,956,732",76.70,77.30,74.20,76.90,+0.50,"1,723"
8104　錸寶,108/02/21,"1,616,204","124,649,312",76.00,79.00,75.40,78.00,+1.10,"1,307"
8104　錸寶,108/02/22,"662,092","50,964,884",77.30,77.50,76.50,76.80,-1.20,552
8104　錸寶,108/02/25,"544,959","41,619,959",77.00,77.80,75.60,76.20,-0.60,435
8104　錸寶,108/02/26,"498,264","37,549,800",76.20,76.30,74.70,74.70,-1.50,417
8104　錸寶,108/02/27,"396,623","29,268,073",74.80,75.20,73.40,73.60,-1.10,325
8104　錸寶,108/03/04,"198,635","14,645,871",73.60,74.30,73.40,73.50,-0.10,167
8104　錸寶,108/03/05,"296,639","21,568,289",73.50,73.50,72.30,72.30,-1.20,246
8104　錸寶,108/03/06,"225,062","16,417,900",72.60,73.80,72.40,72.40,+0.10,198
8104　錸寶,108/03/07,"239,866","17,264,230",72.80,72.80,71.30,71.30,-1.10,195
8104　錸寶,108/03/08,"200,375","14,235,861",70.90,71.70,70.50,71.10,-0.20,154
8104　錸寶,108/03/11,"148,868","10,584,358",71.10,72.00,70.70,71.50,+0.40,127
8104　錸寶,108/03/12,"202,480","14,642,160",71.80,73.00,71.70,72.10,+0.60,175
8104　錸寶,108/03/13,"165,441","11,822,431",72.10,72.10,71.10,71.40,-0.70,147
8104　錸寶,108/03/14,"496,586","36,611,953",71.90,74.50,71.60,73.90,+2.50,441
8104　錸寶,108/03/15,"300,710","21,920,742",73.60,73.60,72.30,72.50,-1.40,273
8104　錸寶,108/03/18,"189,291","13,620,452",72.50,72.60,71.60,71.80,-0.70,170
8104　錸寶,108/03/19,"138,269","9,957,268",72.00,72.40,71.60,71.80, 0.00,118
8104　錸寶,108/03/20,"206,287","14,801,464",72.40,72.40,71.40,71.50,-0.30,169
8104　錸寶,108/03/21,"161,684","11,559,407",71.20,71.80,71.20,71.70,+0.20,131
8104　錸寶,108/03/22,"217,640","15,497,565",72.00,72.20,71.00,71.00,-0.70,186
8104　錸寶,108/03/25,"437,082","30,205,647",70.80,70.80,68.70,68.80,-2.20,367
8104　錸寶,108/03/26,"465,481","33,058,937",69.50,72.20,69.50,71.60,+2.80,385
8104　錸寶,108/03/27,"235,289","16,628,086",71.60,71.80,70.10,70.10,-1.50,198
8104　錸寶,108/03/28,"80,034","5,591,180",70.60,70.60,69.60,69.80,-0.30,70
8104　錸寶,108/03/29,"194,509","13,713,484",71.00,71.00,70.00,70.50,+0.70,139
8104　錸寶,108/04/01,"176,307","12,450,190",70.90,71.30,69.80,69.80,-0.70,148
