有價證卷代號及名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1568　倉佑,103/05/14,"7,772,143","229,813,413",30.00,30.90,28.00,28.20,X0.00,"4,980"
1568　倉佑,103/05/15,"3,763,958","103,847,754",27.90,28.55,27.00,27.40,-0.80,"1,864"
1568　倉佑,103/05/16,"4,106,291","118,171,522",27.45,29.50,27.45,29.10,+1.70,"2,012"
1568　倉佑,103/05/19,"2,526,998","74,967,287",29.20,30.20,28.90,29.80,+0.70,"1,287"
1568　倉佑,103/05/20,"1,360,582","39,737,731",29.50,29.85,28.75,29.00,-0.80,750
1568　倉佑,103/05/21,"1,516,600","42,891,400",29.00,29.00,27.80,28.00,-1.00,822
1568　倉佑,103/05/22,"1,701,300","48,814,939",28.20,29.50,28.05,28.50,+0.50,808
1568　倉佑,103/05/23,"1,271,202","35,870,226",28.80,28.80,27.85,28.25,-0.25,622
1568　倉佑,103/05/26,"2,028,827","58,715,365",28.20,29.50,28.20,28.90,+0.65,962
1568　倉佑,103/05/27,"4,635,847","139,940,116",28.90,30.90,28.35,30.90,+2.00,"1,672"
1568　倉佑,103/05/28,"6,417,570","204,592,609",31.70,32.80,31.00,31.75,+0.85,"3,039"
1568　倉佑,103/05/29,"2,596,432","81,070,978",31.30,31.75,30.75,31.40,-0.35,"1,294"
1568　倉佑,103/05/30,"1,822,660","57,070,693",31.45,31.90,30.85,30.90,-0.50,967
1568　倉佑,103/06/03,"1,330,114","41,329,426",31.10,31.50,30.65,30.70,-0.20,760
1568　倉佑,103/06/04,"1,751,030","52,718,146",30.70,30.95,29.60,29.70,-1.00,"1,026"
1568　倉佑,103/06/05,"1,557,000","45,658,150",29.50,29.80,29.10,29.15,-0.55,789
1568　倉佑,103/06/06,"1,236,500","36,734,850",29.20,30.35,29.20,29.65,+0.50,696
1568　倉佑,103/06/09,"885,607","25,927,754",30.00,30.00,29.05,29.25,-0.40,473
1568　倉佑,103/06/10,"1,274,200","36,835,450",29.00,29.25,28.70,28.70,-0.55,625
1568　倉佑,103/06/11,"716,050","20,615,595",28.80,29.20,28.50,28.60,-0.10,411
1568　倉佑,103/06/12,"1,013,123","29,634,209",28.75,29.70,28.75,29.20,+0.60,554
1568　倉佑,103/06/13,"699,171","20,213,349",29.20,29.20,28.75,28.80,-0.40,352
1568　倉佑,103/06/16,"591,000","16,958,850",28.60,29.20,28.50,28.60,-0.20,320
1568　倉佑,103/06/17,"634,600","18,188,270",28.60,29.00,28.45,28.60, 0.00,307
1568　倉佑,103/06/18,"642,844","18,272,764",28.60,28.90,28.15,28.20,-0.40,375
1568　倉佑,103/06/19,"637,100","18,066,185",28.80,28.80,28.10,28.20, 0.00,293
1568　倉佑,103/06/20,"421,764","11,961,543",28.55,28.55,28.15,28.35,+0.15,246
1568　倉佑,103/06/23,"887,617","24,703,428",28.50,28.50,27.50,27.55,-0.80,471
1568　倉佑,103/06/24,"684,130","18,802,390",27.60,28.00,27.20,28.00,+0.45,379
1568　倉佑,103/06/25,"509,001","14,091,827",28.00,28.05,27.40,27.55,-0.45,282
1568　倉佑,103/06/26,"642,451","17,763,328",27.90,27.90,27.50,27.60,+0.05,293
1568　倉佑,103/06/27,"691,409","19,187,338",27.60,28.05,27.50,27.70,+0.10,309
1568　倉佑,103/06/30,"558,856","15,438,189",27.80,28.00,27.45,27.45,-0.25,323
1568　倉佑,103/07/01,"569,200","15,649,920",27.60,27.80,27.45,27.50,+0.05,289
1568　倉佑,103/07/02,"626,202","17,310,615",27.75,27.95,27.45,27.50, 0.00,344
1568　倉佑,103/07/03,"307,150","8,496,369",27.55,27.80,27.55,27.70,+0.20,147
1568　倉佑,103/07/04,"433,001","11,916,828",27.75,27.80,27.40,27.40,-0.30,195
1568　倉佑,103/07/07,"543,040","15,043,054",27.40,27.90,27.40,27.70,+0.30,275
1568　倉佑,103/07/08,"463,200","12,845,659",27.70,27.85,27.60,27.80,+0.10,263
1568　倉佑,103/07/09,"3,405,831","98,517,509",27.65,29.20,27.60,29.20,X0.00,"1,406"
1568　倉佑,103/07/10,"1,904,210","54,509,688",29.10,29.10,28.30,28.60,-0.60,907
1568　倉佑,103/07/11,"1,143,026","31,903,218",28.50,28.50,27.30,27.50,-1.10,581
1568　倉佑,103/07/14,"607,200","16,898,220",27.55,28.25,27.30,28.25,+0.75,331
1568　倉佑,103/07/15,"399,000","11,151,700",28.30,28.30,27.75,27.75,-0.50,207
1568　倉佑,103/07/16,"312,000","8,625,350",27.50,28.00,27.50,27.80,+0.05,180
1568　倉佑,103/07/17,"232,000","6,414,750",27.80,27.90,27.55,27.65,-0.15,124
1568　倉佑,103/07/18,"243,000","6,708,450",27.50,27.80,27.50,27.70,+0.05,135
1568　倉佑,103/07/21,"250,011","6,894,052",27.75,27.80,27.50,27.50,-0.20,135
1568　倉佑,103/07/22,"317,000","8,792,250",27.75,27.95,27.55,27.70,+0.20,165
1568　倉佑,103/07/24,"353,394","9,759,724",27.70,27.80,27.55,27.55,-0.15,146
1568　倉佑,103/07/25,"258,843","7,152,912",27.55,27.80,27.50,27.60,+0.05,140
1568　倉佑,103/07/28,"227,428","6,261,962",27.60,27.80,27.30,27.60, 0.00,130
1568　倉佑,103/07/29,"389,101","10,693,090",27.60,27.80,27.30,27.30,-0.30,222
1568　倉佑,103/07/30,"660,480","17,823,258",27.35,27.55,26.55,26.85,-0.45,332
1568　倉佑,103/07/31,"525,127","13,911,689",26.80,26.80,26.25,26.50,-0.35,281
1568　倉佑,103/08/01,"287,000","7,520,300",26.15,26.50,26.00,26.15,-0.35,151
1568　倉佑,103/08/04,"240,011","6,229,338",26.15,26.20,25.85,26.00,-0.15,150
1568　倉佑,103/08/05,"264,200","6,878,600",26.00,26.20,25.95,26.15,+0.15,121
1568　倉佑,103/08/06,"827,232","20,607,580",26.10,26.10,24.35,25.10,-1.05,338
1568　倉佑,103/08/07,"298,400","7,432,458",25.10,25.25,24.50,24.60,-0.50,160
1568　倉佑,103/08/08,"490,600","11,704,268",24.60,24.60,23.65,23.80,-0.80,261
1568　倉佑,103/08/11,"293,132","7,282,239",24.00,25.40,24.00,25.00,+1.20,201
1568　倉佑,103/08/12,"191,020","4,776,154",25.00,25.15,24.60,25.15,+0.15,125
1568　倉佑,103/08/13,"685,100","16,567,325",24.80,24.80,24.00,24.05,-1.10,360
1568　倉佑,103/08/14,"325,000","7,915,500",24.05,24.80,24.05,24.15,+0.10,161
1568　倉佑,103/08/15,"342,011","8,077,210",24.15,24.30,23.00,23.50,-0.65,156
1568　倉佑,103/08/18,"415,013","9,474,146",23.30,23.30,22.55,22.55,-0.95,186
1568　倉佑,103/08/19,"283,068","6,504,900",22.80,23.25,22.80,23.00,+0.45,133
1568　倉佑,103/08/20,"117,105","2,716,546",23.10,23.45,23.00,23.10,+0.10,77
1568　倉佑,103/08/21,"328,140","7,517,504",23.35,23.35,22.40,23.15,+0.05,125
1568　倉佑,103/08/22,"170,250","3,932,825",22.50,23.30,22.50,23.30,+0.15,115
1568　倉佑,103/08/25,"178,790","4,191,744",23.30,23.60,23.25,23.60,+0.30,92
1568　倉佑,103/08/26,"92,500","2,182,224",23.60,23.80,23.45,23.65,+0.05,59
1568　倉佑,103/08/27,"215,500","5,142,275",23.65,24.25,23.65,24.15,+0.50,113
1568　倉佑,103/08/28,"172,000","4,135,250",24.25,24.25,23.90,24.15, 0.00,86
1568　倉佑,103/08/29,"216,000","5,305,150",24.15,25.10,23.90,24.90,+0.75,151
1568　倉佑,103/09/01,"183,101","4,576,244",24.80,25.20,24.80,24.80,-0.10,135
