有價證卷代號及名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6152　百一, 99/01/04,"1,287,301","50,876,007",40.00,40.30,39.00,39.35,-0.65,620
6152　百一, 99/01/05,"2,222,629","86,005,280",39.40,39.60,38.35,38.35,-1.00,855
6152　百一, 99/01/06,"1,494,696","58,040,018",38.35,39.30,38.35,38.50,+0.15,532
6152　百一, 99/01/07,"1,358,552","51,649,770",38.60,38.95,37.10,37.20,-1.30,628
6152　百一, 99/01/08,"804,462","29,850,094",37.00,37.50,36.75,37.25,+0.05,378
6152　百一, 99/01/11,"943,680","35,127,722",37.05,37.60,37.00,37.40,+0.15,396
6152　百一, 99/01/12,"798,762","30,000,221",37.35,37.85,37.25,37.70,+0.30,398
6152　百一, 99/01/13,"1,317,186","50,061,244",37.05,38.30,37.00,38.10,+0.40,639
6152　百一, 99/01/14,"1,024,743","39,017,434",38.60,38.60,37.90,38.00,-0.10,462
6152　百一, 99/01/15,"990,091","37,895,691",38.30,38.60,38.00,38.00, 0.00,517
6152　百一, 99/01/18,"866,058","32,851,673",38.00,38.25,37.65,37.95,-0.05,362
6152　百一, 99/01/19,"546,404","20,681,348",38.10,38.25,37.65,37.70,-0.25,273
6152　百一, 99/01/20,"638,888","23,943,383",37.80,38.00,37.25,37.80,+0.10,291
6152　百一, 99/01/21,"803,772","29,893,088",37.30,37.70,36.80,37.00,-0.80,360
6152　百一, 99/01/22,"729,397","26,352,057",36.00,36.50,36.00,36.10,-0.90,327
6152　百一, 99/01/25,"419,119","15,184,784",35.85,36.70,35.60,36.00,-0.10,240
6152　百一, 99/01/26,"1,263,412","43,718,179",36.80,36.80,33.60,33.70,-2.30,493
6152　百一, 99/01/27,"753,742","25,305,037",33.10,34.45,33.10,33.70, 0.00,369
6152　百一, 99/01/28,"374,798","12,801,978",34.60,34.60,33.75,34.20,+0.50,191
6152　百一, 99/01/29,"478,752","16,060,865",34.00,34.00,33.00,33.60,-0.60,190
6152　百一, 99/02/01,"650,987","21,317,984",33.50,33.50,32.00,32.00,-1.60,316
6152　百一, 99/02/02,"813,407","26,294,224",33.10,33.10,31.20,31.70,-0.30,379
6152　百一, 99/02/03,"319,385","10,248,020",32.00,32.50,31.70,32.00,+0.30,209
6152　百一, 99/02/04,"328,358","10,642,684",32.20,32.80,32.15,32.35,+0.35,164
6152　百一, 99/02/05,"847,049","26,136,185",31.50,31.60,30.15,30.30,-2.05,309
6152　百一, 99/02/06,"502,073","15,025,562",30.30,30.50,29.05,29.90,-0.40,214
6152　百一, 99/02/08,"324,583","9,853,537",29.90,30.95,29.90,30.30,+0.40,128
6152　百一, 99/02/09,"598,906","18,318,558",30.10,31.30,30.10,31.05,+0.75,237
6152　百一, 99/02/10,"495,495","15,546,540",31.15,31.80,31.10,31.60,+0.55,229
6152　百一, 99/02/22,"358,847","11,629,594",32.80,32.80,32.00,32.30,+0.70,182
6152　百一, 99/02/23,"1,636,500","55,401,097",33.00,34.35,33.00,33.80,+1.50,769
6152　百一, 99/02/24,"816,793","27,406,487",33.30,34.00,33.20,33.35,-0.45,303
6152　百一, 99/02/25,"709,345","23,905,707",33.85,34.10,33.30,33.50,+0.15,314
6152　百一, 99/02/26,"527,967","17,522,005",33.85,33.85,32.90,33.00,-0.50,164
6152　百一, 99/03/01,"437,243","14,501,319",33.00,33.90,32.80,33.00, 0.00,215
6152　百一, 99/03/02,"187,614","6,226,612",33.50,33.50,33.05,33.10,+0.10,107
6152　百一, 99/03/03,"248,164","8,282,972",33.20,33.50,33.10,33.30,+0.20,126
6152　百一, 99/03/04,"285,569","9,450,962",33.30,33.40,32.90,33.00,-0.30,124
6152　百一, 99/03/05,"291,272","9,692,506",33.50,33.50,33.10,33.30,+0.30,112
6152　百一, 99/03/08,"473,235","15,760,220",33.30,33.40,33.15,33.30, 0.00,196
6152　百一, 99/03/09,"344,802","11,533,167",33.30,33.80,33.25,33.70,+0.40,164
6152　百一, 99/03/10,"703,948","23,929,239",33.80,34.15,33.70,34.00,+0.30,283
6152　百一, 99/03/11,"1,302,758","44,611,297",34.10,34.80,33.80,34.30,+0.30,432
6152　百一, 99/03/12,"302,096","10,330,453",34.70,34.70,34.00,34.10,-0.20,137
6152　百一, 99/03/15,"662,559","22,242,263",34.20,34.30,33.20,33.50,-0.60,179
6152　百一, 99/03/16,"237,798","7,984,590",33.50,33.80,33.50,33.75,+0.25,77
6152　百一, 99/03/17,"457,753","15,637,476",34.00,34.50,33.95,34.40,+0.65,223
6152　百一, 99/03/18,"650,384","22,480,318",34.70,34.80,34.40,34.50,+0.10,269
6152　百一, 99/03/19,"343,054","11,865,509",34.80,35.00,34.35,34.75,+0.25,186
6152　百一, 99/03/22,"301,611","10,353,881",34.00,34.65,34.00,34.30,-0.45,143
6152　百一, 99/03/23,"436,051","15,000,395",34.40,34.80,34.05,34.50,+0.20,214
6152　百一, 99/03/24,"385,587","13,310,458",34.60,34.90,34.30,34.45,-0.05,220
6152　百一, 99/03/25,"3,050,805","110,482,051",35.30,36.85,34.65,36.85,+2.40,"1,323"
6152　百一, 99/03/26,"4,311,617","162,772,313",37.05,38.60,37.05,37.20,+0.35,"1,954"
6152　百一, 99/03/29,"1,335,233","49,177,329",37.70,37.70,36.30,36.50,-0.70,660
6152　百一, 99/03/30,"731,344","26,474,992",36.50,36.80,35.70,35.80,-0.70,406
6152　百一, 99/03/31,"351,030","12,636,511",35.80,36.45,35.60,35.60,-0.20,239
6152　百一, 99/04/01,"409,343","14,664,886",36.00,36.30,35.50,35.70,+0.10,238
6152　百一, 99/04/02,"596,023","21,137,007",35.50,35.90,35.30,35.40,-0.30,303
6152　百一, 99/04/06,"381,354","13,587,193",35.45,35.95,35.40,35.40, 0.00,206
6152　百一, 99/04/07,"322,659","11,427,774",35.40,35.85,35.30,35.45,+0.05,192
6152　百一, 99/04/08,"585,794","20,620,428",35.45,35.75,34.80,35.00,-0.45,301
6152　百一, 99/04/09,"931,050","32,382,126",35.00,35.10,34.60,34.65,-0.35,341
6152　百一, 99/04/12,"594,513","20,550,094",35.05,35.10,34.05,34.50,-0.15,261
6152　百一, 99/04/13,"438,456","15,197,830",34.50,34.90,34.30,34.50, 0.00,236
6152　百一, 99/04/14,"423,028","14,655,122",35.10,35.10,34.50,34.90,+0.40,183
6152　百一, 99/04/15,"507,885","17,749,142",34.90,35.20,34.75,34.90, 0.00,249
6152　百一, 99/04/16,"461,781","15,998,708",34.90,34.90,34.50,34.75,-0.15,211
6152　百一, 99/04/19,"629,049","21,382,216",34.50,34.60,33.60,33.80,-0.95,293
6152　百一, 99/04/20,"253,620","8,542,508",33.80,34.00,33.50,33.65,-0.15,178
6152　百一, 99/04/21,"474,166","16,111,890",33.75,34.15,33.75,33.90,+0.25,211
