有價證卷代號及名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2408　南亞科, 99/01/04,"29,620,853","946,071,127",32.50,32.70,31.05,31.70,-1.00,"7,618"
2408　南亞科, 99/01/05,"44,158,727","1,450,863,898",31.90,33.90,31.45,32.65,+0.95,"9,960"
2408　南亞科, 99/01/06,"31,016,888","1,042,469,633",32.90,34.00,32.90,33.65,+1.00,"7,410"
2408　南亞科, 99/01/07,"28,764,274","958,499,204",33.65,34.30,32.75,32.80,-0.85,"7,464"
2408　南亞科, 99/01/08,"27,844,132","883,081,749",32.55,32.70,31.20,32.00,-0.80,"7,287"
2408　南亞科, 99/01/11,"16,958,660","541,815,219",31.50,32.30,31.50,31.75,-0.25,"4,118"
2408　南亞科, 99/01/12,"38,598,146","1,258,891,583",31.60,33.90,31.05,33.00,+1.25,"7,963"
2408　南亞科, 99/01/13,"25,729,491","838,880,912",32.10,33.45,32.00,32.00,-1.00,"5,644"
2408　南亞科, 99/01/14,"17,287,721","553,235,071",32.00,32.60,31.45,31.90,-0.10,"4,503"
2408　南亞科, 99/01/15,"28,296,240","941,254,030",32.50,34.10,32.30,33.90,+2.00,"7,604"
2408　南亞科, 99/01/18,"23,327,904","784,558,136",33.20,34.20,33.10,34.00,+0.10,"5,530"
2408　南亞科, 99/01/19,"28,775,372","929,999,218",33.50,33.80,31.65,31.95,-2.05,"7,788"
2408　南亞科, 99/01/20,"14,854,399","472,451,297",31.95,32.50,31.20,31.95, 0.00,"4,187"
2408　南亞科, 99/01/21,"33,708,692","1,012,707,274",30.80,31.30,29.75,29.75,-2.20,"9,443"
2408　南亞科, 99/01/22,"18,882,974","545,713,861",28.15,29.50,28.15,28.90,-0.85,"5,502"
2408　南亞科, 99/01/25,"13,567,775","384,616,466",28.10,28.80,28.00,28.30,-0.60,"3,714"
2408　南亞科, 99/01/26,"20,633,445","583,662,433",28.90,29.20,27.50,27.60,-0.70,"5,049"
2408　南亞科, 99/01/27,"23,717,358","637,292,485",27.60,28.15,25.70,26.00,-1.60,"5,402"
2408　南亞科, 99/01/28,"18,027,380","476,236,062",26.30,27.15,25.70,27.05,+1.05,"4,560"
2408　南亞科, 99/01/29,"10,935,746","286,926,092",26.50,26.70,25.90,26.25,-0.80,"2,978"
2408　南亞科, 99/02/01,"9,956,773","266,027,586",26.75,27.10,26.45,26.60,+0.35,"2,780"
2408　南亞科, 99/02/02,"11,114,100","296,687,778",27.20,27.40,26.05,26.05,-0.55,"2,556"
2408　南亞科, 99/02/03,"8,239,003","218,092,388",26.50,26.90,26.00,26.50,+0.45,"2,131"
2408　南亞科, 99/02/04,"5,908,817","158,332,262",26.70,27.15,26.45,26.80,+0.30,"1,875"
2408　南亞科, 99/02/05,"13,368,810","335,869,825",25.30,25.90,24.95,24.95,-1.85,"2,866"
2408　南亞科, 99/02/06,"26,149,714","616,828,686",24.95,24.95,23.25,23.40,-1.55,"4,620"
2408　南亞科, 99/02/08,"11,601,519","269,086,914",23.90,23.90,22.90,22.95,-0.45,"3,184"
2408　南亞科, 99/02/09,"15,853,957","372,886,695",22.90,24.05,22.90,23.75,+0.80,"4,075"
2408　南亞科, 99/02/10,"19,929,519","494,164,832",24.20,25.40,24.05,25.40,+1.65,"4,606"
2408　南亞科, 99/02/22,"15,321,696","396,328,916",26.15,26.20,25.50,25.80,+0.40,"3,074"
2408　南亞科, 99/02/23,"10,044,787","255,688,766",25.50,26.00,24.95,25.35,-0.45,"2,462"
2408　南亞科, 99/02/24,"9,196,447","236,551,244",25.25,26.00,25.10,25.45,+0.10,"2,728"
2408　南亞科, 99/02/25,"17,255,295","423,951,630",25.55,25.60,23.90,23.90,-1.55,"4,713"
2408　南亞科, 99/02/26,"8,497,208","203,248,831",24.00,24.30,23.60,23.80,-0.10,"2,124"
2408　南亞科, 99/03/01,"11,806,476","296,580,918",24.60,25.45,24.30,25.45,+1.65,"2,650"
2408　南亞科, 99/03/02,"18,594,117","490,618,663",26.80,26.80,26.00,26.30,+0.85,"4,496"
2408　南亞科, 99/03/03,"13,839,686","358,681,028",26.30,26.50,25.55,25.90,-0.40,"3,496"
2408　南亞科, 99/03/04,"8,724,939","225,148,824",26.50,26.50,25.30,25.45,-0.45,"2,715"
2408　南亞科, 99/03/05,"7,341,745","190,101,300",25.70,26.10,25.70,25.90,+0.45,"1,900"
2408　南亞科, 99/03/08,"24,035,503","654,699,079",25.90,27.70,25.90,27.70,+1.80,"5,855"
2408　南亞科, 99/03/09,"19,219,309","535,130,346",27.85,28.15,27.40,27.90,+0.20,"4,789"
2408　南亞科, 99/03/10,"12,324,171","344,871,338",28.30,28.30,27.55,28.10,+0.20,"3,021"
2408　南亞科, 99/03/11,"23,747,851","694,222,423",28.45,30.00,28.45,29.25,+1.15,"5,925"
2408　南亞科, 99/03/12,"7,934,887","229,490,945",29.35,29.35,28.65,28.90,-0.35,"2,372"
2408　南亞科, 99/03/15,"7,202,277","207,939,818",29.50,29.50,28.55,28.60,-0.30,"2,117"
2408　南亞科, 99/03/16,"15,173,431","447,836,110",28.95,30.20,28.70,30.00,+1.40,"4,264"
2408　南亞科, 99/03/17,"22,199,726","675,407,534",30.80,31.00,30.05,30.50,+0.50,"5,896"
2408　南亞科, 99/03/18,"32,230,145","1,026,234,605",30.75,32.60,30.50,32.10,+1.60,"8,769"
2408　南亞科, 99/03/19,"13,741,659","436,712,182",31.80,32.05,31.55,31.60,-0.50,"4,386"
2408　南亞科, 99/03/22,"20,969,619","651,351,062",31.40,31.90,30.70,30.95,-0.65,"4,519"
2408　南亞科, 99/03/23,"12,720,974","404,745,587",31.50,32.50,31.20,31.30,+0.35,"3,708"
2408　南亞科, 99/03/24,"26,970,802","831,929,017",31.80,32.20,29.80,30.05,-1.25,"6,787"
2408　南亞科, 99/03/25,"12,625,079","385,354,498",30.60,30.95,30.05,30.90,+0.85,"3,657"
2408　南亞科, 99/03/26,"11,995,618","368,222,153",31.00,31.20,30.20,30.65,-0.25,"3,922"
2408　南亞科, 99/03/29,"15,163,724","472,447,983",31.00,31.80,30.65,30.65, 0.00,"3,863"
2408　南亞科, 99/03/30,"11,317,883","352,108,557",31.50,31.50,30.70,30.80,+0.15,"3,300"
2408　南亞科, 99/03/31,"9,058,421","276,523,249",30.70,30.85,30.20,30.30,-0.50,"2,924"
2408　南亞科, 99/04/01,"11,081,710","342,142,706",30.50,31.20,30.50,30.80,+0.50,"3,546"
2408　南亞科, 99/04/02,"8,242,400","254,499,498",30.90,31.35,30.55,30.85,+0.05,"2,048"
2408　南亞科, 99/04/06,"19,490,568","609,055,834",31.00,31.70,30.85,31.60,+0.75,"4,462"
2408　南亞科, 99/04/07,"14,277,349","443,948,169",31.75,31.80,30.90,30.95,-0.65,"3,808"
2408　南亞科, 99/04/08,"10,849,710","332,899,715",30.90,31.30,30.30,30.55,-0.40,"3,053"
2408　南亞科, 99/04/09,"9,591,859","287,813,823",30.50,30.60,29.80,29.80,-0.75,"3,414"
2408　南亞科, 99/04/12,"10,502,350","321,369,810",30.20,30.95,30.10,30.75,+0.95,"2,856"
2408　南亞科, 99/04/13,"9,536,980","288,133,745",30.80,30.90,29.75,29.85,-0.90,"2,788"
2408　南亞科, 99/04/14,"21,095,676","610,414,638",29.30,29.50,28.70,28.85,-1.00,"5,617"
2408　南亞科, 99/04/15,"7,470,361","218,342,272",29.45,29.45,29.00,29.25,+0.40,"2,343"
2408　南亞科, 99/04/16,"10,801,158","313,975,837",29.30,29.50,28.65,28.80,-0.45,"2,809"
2408　南亞科, 99/04/19,"18,584,206","509,712,428",28.00,28.50,26.80,26.80,-2.00,"5,807"
2408　南亞科, 99/04/20,"9,993,997","270,672,169",27.00,27.30,26.95,27.00,+0.20,"3,014"
2408　南亞科, 99/04/21,"9,692,040","272,488,757",27.25,28.60,27.25,28.60,+1.60,"3,199"
2408　南亞科, 99/04/22,"14,110,213","410,249,710",28.50,29.80,28.30,29.60,+1.00,"4,086"
2408　南亞科, 99/04/23,"10,687,057","315,318,331",29.75,29.80,29.15,29.50,-0.10,"2,658"
2408　南亞科, 99/04/26,"10,445,474","308,038,996",29.75,30.00,29.20,29.25,-0.25,"2,742"
2408　南亞科, 99/04/27,"5,274,074","151,239,154",29.35,29.35,28.30,28.50,-0.75,"1,761"
2408　南亞科, 99/04/28,"8,177,784","230,085,165",27.50,28.85,27.30,28.50, 0.00,"2,294"
2408　南亞科, 99/04/29,"4,600,966","129,765,197",28.70,28.75,28.00,28.00,-0.50,"1,685"
2408　南亞科, 99/04/30,"6,334,689","177,419,778",28.20,28.55,27.55,27.65,-0.35,"1,904"
2408　南亞科, 99/05/03,"6,456,182","175,885,196",27.50,27.60,27.00,27.10,-0.55,"1,796"
2408　南亞科, 99/05/04,"5,921,463","162,625,583",27.20,27.75,27.20,27.35,+0.25,"2,183"
2408　南亞科, 99/05/05,"7,577,595","202,041,712",26.60,26.90,26.50,26.60,-0.75,"2,718"
2408　南亞科, 99/05/06,"9,736,367","251,023,276",26.60,26.85,24.80,25.50,-1.10,"2,977"
2408　南亞科, 99/05/07,"11,420,396","281,345,330",24.00,25.30,24.00,25.30,-0.20,"3,012"
2408　南亞科, 99/05/10,"6,712,724","177,233,140",25.50,27.05,25.50,27.05,+1.75,"2,387"
2408　南亞科, 99/05/11,"11,687,901","321,235,133",27.50,28.10,27.05,27.15,+0.10,"3,520"
2408　南亞科, 99/05/12,"6,700,551","181,071,973",27.50,27.50,26.60,26.65,-0.50,"2,032"
2408　南亞科, 99/05/13,"6,986,358","189,980,044",27.25,27.50,26.95,27.15,+0.50,"1,933"
2408　南亞科, 99/05/14,"3,218,269","87,525,665",27.00,27.40,26.95,27.20,+0.05,"1,051"
2408　南亞科, 99/05/17,"7,062,466","187,035,932",26.90,27.00,26.00,26.25,-0.95,"1,832"
2408　南亞科, 99/05/18,"14,701,973","372,601,326",26.25,26.25,24.85,25.15,-1.10,"4,078"
2408　南亞科, 99/05/19,"24,230,326","577,556,006",23.80,24.45,23.40,24.35,-0.80,"5,561"
2408　南亞科, 99/05/20,"10,966,364","269,376,505",24.45,25.00,24.30,24.35, 0.00,"3,061"
2408　南亞科, 99/05/21,"6,930,645","163,810,114",23.30,24.20,23.20,23.80,-0.55,"2,381"
2408　南亞科, 99/05/24,"6,692,968","163,066,683",24.45,24.60,24.00,24.40,+0.60,"1,774"
2408　南亞科, 99/05/25,"6,917,307","164,917,436",24.20,24.40,23.25,24.00,-0.40,"2,114"
2408　南亞科, 99/05/26,"11,560,566","288,530,176",24.30,25.65,24.00,25.65,+1.65,"3,091"
2408　南亞科, 99/05/27,"9,209,812","235,195,696",25.60,26.00,24.95,26.00,+0.35,"2,932"
2408　南亞科, 99/05/28,"8,281,367","215,577,443",26.45,26.45,25.55,25.90,-0.10,"2,679"
2408　南亞科, 99/05/31,"6,064,374","158,544,356",25.90,26.40,25.65,26.40,+0.50,"1,538"
2408　南亞科, 99/06/01,"4,752,484","122,929,031",26.00,26.25,25.60,25.60,-0.80,"1,298"
2408　南亞科, 99/06/02,"6,001,527","152,602,008",25.20,25.85,24.90,25.15,-0.45,"1,474"
2408　南亞科, 99/06/03,"5,086,445","131,607,362",26.00,26.20,25.65,25.70,+0.55,"1,785"
2408　南亞科, 99/06/04,"5,021,038","131,002,554",26.20,26.25,25.75,26.15,+0.45,"1,408"
2408　南亞科, 99/06/07,"3,832,496","96,340,135",25.20,25.35,24.85,25.35,-0.80,"1,276"
2408　南亞科, 99/06/08,"2,413,953","60,840,375",25.20,25.45,25.05,25.05,-0.30,774
2408　南亞科, 99/06/09,"4,672,989","115,218,265",25.00,25.30,24.15,24.40,-0.65,"1,715"
2408　南亞科, 99/06/10,"4,395,698","108,726,710",24.80,25.00,24.40,25.00,+0.60,"1,123"
2408　南亞科, 99/06/11,"4,256,663","107,516,475",25.70,25.75,24.95,25.00, 0.00,"1,403"
2408　南亞科, 99/06/14,"3,186,752","80,326,745",25.25,25.35,25.00,25.00, 0.00,"1,157"
2408　南亞科, 99/06/15,"5,689,748","144,435,087",25.30,25.50,25.20,25.40,+0.40,"1,697"
2408　南亞科, 99/06/17,"21,537,045","572,279,001",25.80,27.10,25.70,26.80,+1.40,"5,167"
2408　南亞科, 99/06/18,"9,062,713","241,811,798",26.65,26.85,26.45,26.70,-0.10,"2,063"
2408　南亞科, 99/06/21,"9,165,699","247,310,162",27.00,27.20,26.75,27.00,+0.30,"2,341"
2408　南亞科, 99/06/22,"4,470,530","119,787,577",27.00,27.00,26.60,26.75,-0.25,"1,389"
2408　南亞科, 99/06/23,"10,846,949","292,984,332",27.00,27.30,26.75,26.90,+0.15,"2,707"
2408　南亞科, 99/06/24,"9,643,543","260,004,676",27.00,27.15,26.80,26.90, 0.00,"1,404"
