有價證卷代號及名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6177　達麗,102/08/01,"1,560,835","59,061,144",38.00,38.25,37.20,37.50,X0.00,796
6177　達麗,102/08/02,"1,009,558","37,985,187",38.50,38.50,36.80,36.90,-0.60,588
6177　達麗,102/08/05,"673,002","24,502,273",37.10,37.10,35.80,36.60,-0.30,341
6177　達麗,102/08/06,"384,175","13,906,915",36.60,36.60,36.00,36.25,-0.35,233
6177　達麗,102/08/07,"352,730","12,644,680",36.00,36.25,35.55,35.80,-0.45,194
6177　達麗,102/08/08,"220,402","7,942,501",35.70,36.45,35.70,35.90,+0.10,146
6177　達麗,102/08/09,"155,624","5,587,150",35.90,36.30,35.75,35.80,-0.10,101
6177　達麗,102/08/12,"408,339","14,481,585",35.80,36.30,35.05,35.10,-0.70,194
6177　達麗,102/08/13,"269,152","9,400,500",35.50,35.50,34.65,34.90,-0.20,155
6177　達麗,102/08/14,"189,149","6,549,205",35.00,35.00,34.50,34.50,-0.40,113
6177　達麗,102/08/15,"238,000","8,098,450",34.00,34.50,33.80,33.90,-0.60,151
6177　達麗,102/08/16,"576,258","19,364,296",33.60,34.10,33.35,33.35,-0.55,243
6177　達麗,102/08/19,"253,577","8,474,448",33.00,33.75,33.00,33.75,+0.40,154
6177　達麗,102/08/20,"318,100","10,565,000",33.75,33.85,32.70,32.70,-1.05,189
6177　達麗,102/08/22,"179,000","5,811,100",32.10,33.05,32.05,33.05,+0.35,115
6177　達麗,102/08/23,"243,424","8,087,201",33.05,33.55,33.05,33.55,+0.50,186
6177　達麗,102/08/26,"270,340","8,937,165",33.45,33.50,32.75,32.85,-0.70,195
6177　達麗,102/08/27,"208,231","6,771,771",32.85,32.95,32.25,32.60,-0.25,126
6177　達麗,102/08/28,"149,339","4,829,981",32.05,32.50,32.05,32.45,-0.15,101
6177　達麗,102/08/29,"161,076","5,257,333",32.50,32.85,32.45,32.80,+0.35,94
6177　達麗,102/08/30,"115,169","3,780,506",32.80,33.00,32.65,33.00,+0.20,79
6177　達麗,102/09/02,"164,667","5,412,153",33.00,33.15,32.70,32.80,-0.20,82
6177　達麗,102/09/03,"162,887","5,370,571",32.60,33.20,32.60,32.95,+0.15,94
6177　達麗,102/09/04,"127,473","4,199,656",32.95,33.10,32.80,32.80,-0.15,86
6177　達麗,102/09/05,"508,077","16,591,014",33.00,33.10,32.45,32.45,-0.35,199
6177　達麗,102/09/06,"148,524","4,831,527",32.60,32.70,32.45,32.45, 0.00,89
6177　達麗,102/09/09,"181,890","5,852,594",32.45,32.45,32.00,32.25,-0.20,102
6177　達麗,102/09/10,"362,741","11,611,254",32.35,32.35,31.80,31.80,-0.45,135
6177　達麗,102/09/11,"200,785","6,368,747",32.00,32.00,31.60,31.60,-0.20,122
6177　達麗,102/09/12,"112,439","3,552,027",31.60,31.80,31.45,31.60, 0.00,83
6177　達麗,102/09/13,"96,134","3,047,522",31.80,31.90,31.55,31.90,+0.30,58
6177　達麗,102/09/14,"202,229","6,479,483",31.95,32.40,31.80,32.10,+0.20,102
6177　達麗,102/09/16,"179,685","5,766,646",32.35,32.35,31.90,31.90,-0.20,95
6177　達麗,102/09/17,"98,656","3,184,619",31.95,32.45,31.95,32.20,+0.30,84
6177　達麗,102/09/18,"56,197","1,802,393",32.20,32.20,32.00,32.10,-0.10,32
6177　達麗,102/09/23,"162,136","5,328,605",32.20,33.10,32.20,33.00,+0.90,129
6177　達麗,102/09/24,"86,908","2,855,188",33.00,33.05,32.70,32.70,-0.30,61
6177　達麗,102/09/25,"59,936","1,960,530",33.10,33.10,32.55,32.55,-0.15,52
6177　達麗,102/09/26,"89,350","2,880,520",32.30,32.50,32.10,32.25,-0.30,78
6177　達麗,102/09/27,"462,122","14,462,732",32.55,32.55,30.50,31.00,-1.25,280
6177　達麗,102/09/30,"172,751","5,377,729",31.00,31.50,30.85,31.40,+0.40,70
6177　達麗,102/10/01,"134,147","4,190,672",31.20,31.40,31.20,31.25,-0.15,77
6177　達麗,102/10/02,"197,869","6,139,604",31.25,31.25,30.90,30.90,-0.35,89
6177　達麗,102/10/03,"143,322","4,459,277",30.90,31.30,30.90,31.20,+0.30,86
6177　達麗,102/10/04,"96,476","2,998,856",31.10,31.30,30.95,31.00,-0.20,47
6177　達麗,102/10/07,"149,869","4,678,471",31.50,31.50,31.05,31.20,+0.20,73
6177　達麗,102/10/08,"130,477","4,071,404",31.00,31.45,31.00,31.30,+0.10,58
6177　達麗,102/10/09,"137,999","4,358,917",31.40,31.80,31.40,31.65,+0.35,87
6177　達麗,102/10/11,"107,653","3,390,918",31.80,31.80,31.40,31.50,-0.15,72
6177　達麗,102/10/14,"177,844","5,542,281",31.20,31.50,31.00,31.25,-0.25,94
6177　達麗,102/10/15,"183,801","5,875,401",31.40,32.60,31.40,31.70,+0.45,115
6177　達麗,102/10/16,"200,567","6,407,199",31.60,32.25,31.60,32.00,+0.30,110
6177　達麗,102/10/17,"321,769","10,357,733",32.15,32.30,32.05,32.30,+0.30,132
6177　達麗,102/10/18,"253,667","8,251,420",32.30,33.15,32.10,32.95,+0.65,147
6177　達麗,102/10/21,"1,312,088","46,063,238",35.25,35.25,34.45,35.25,+2.30,598
6177　達麗,102/10/22,"1,257,045","44,676,322",35.90,35.95,35.00,35.25, 0.00,538
6177　達麗,102/10/23,"309,123","10,737,564",35.00,35.35,34.55,34.55,-0.70,184
6177　達麗,102/10/24,"210,820","7,196,380",34.55,34.85,33.80,34.15,-0.40,143
6177　達麗,102/10/25,"295,259","9,899,069",34.05,34.05,33.25,33.30,-0.85,160
6177　達麗,102/10/28,"167,846","5,596,174",33.30,33.65,33.10,33.60,+0.30,86
6177　達麗,102/10/29,"300,205","10,169,575",33.70,34.05,33.50,34.00,+0.40,123
6177　達麗,102/10/30,"177,828","6,009,493",34.10,34.10,33.65,33.65,-0.35,90
6177　達麗,102/10/31,"108,667","3,656,160",33.70,33.85,33.55,33.85,+0.20,68
6177　達麗,102/11/01,"137,104","4,600,950",33.95,33.95,33.30,33.30,-0.55,71
6177　達麗,102/11/04,"131,150","4,341,778",33.20,33.50,33.00,33.20,-0.10,66
6177　達麗,102/11/05,"171,750","5,633,046",33.25,33.25,32.65,32.65,-0.55,106
6177　達麗,102/11/06,"93,200","3,023,598",32.70,32.70,32.30,32.45,-0.20,55
6177　達麗,102/11/07,"65,603","2,138,397",32.50,32.85,32.45,32.55,+0.10,46
6177　達麗,102/11/08,"69,666","2,269,311",32.75,32.80,32.45,32.65,+0.10,39
6177　達麗,102/11/11,"69,283","2,259,897",32.80,32.85,32.45,32.45,-0.20,47
6177　達麗,102/11/12,"71,101","2,300,432",32.80,32.80,32.10,32.15,-0.30,52
6177　達麗,102/11/13,"73,070","2,360,090",32.15,32.45,32.15,32.40,+0.25,48
6177　達麗,102/11/14,"293,573","9,764,027",32.60,33.80,32.40,33.40,+1.00,198
6177　達麗,102/11/15,"184,413","6,130,479",33.80,33.80,33.00,33.20,-0.20,95
6177　達麗,102/11/18,"611,574","20,940,113",34.00,34.90,33.80,33.80,+0.60,306
6177　達麗,102/11/19,"158,625","5,395,662",33.80,34.20,33.80,33.90,+0.10,75
6177　達麗,102/11/20,"381,952","13,116,062",34.10,34.70,34.00,34.20,+0.30,152
6177　達麗,102/11/21,"175,992","5,946,282",34.20,34.20,33.50,33.50,-0.70,109
6177　達麗,102/11/22,"122,049","4,122,294",34.00,34.00,33.55,33.70,+0.20,65
6177　達麗,102/11/25,"234,615","7,928,197",33.95,34.15,33.60,34.00,+0.30,87
6177　達麗,102/11/26,"156,509","5,329,779",34.00,34.20,33.95,34.10,+0.10,87
6177　達麗,102/11/27,"119,339","4,064,857",34.00,34.15,33.95,34.00,-0.10,64
6177　達麗,102/11/28,"176,997","6,017,997",34.10,34.10,33.70,33.90,-0.10,98
6177　達麗,102/11/29,"388,084","13,234,256",34.00,34.20,33.90,34.20,+0.30,130
6177　達麗,102/12/02,"2,762,265","99,694,384",34.90,36.55,34.60,36.25,+2.05,"1,068"
6177　達麗,102/12/03,"716,457","25,523,773",35.90,35.90,35.40,35.65,-0.60,398
6177　達麗,102/12/04,"1,707,213","63,016,631",35.50,37.80,35.50,37.20,+1.55,839
6177　達麗,102/12/05,"1,636,163","61,664,172",37.60,38.30,36.50,37.85,+0.65,735
6177　達麗,102/12/06,"648,923","24,382,331",37.30,37.95,37.30,37.40,-0.45,354
6177　達麗,102/12/09,"417,983","15,647,671",37.80,37.90,37.00,37.05,-0.35,227
6177　達麗,102/12/10,"316,999","11,790,763",37.30,37.65,37.00,37.15,+0.10,168
6177　達麗,102/12/11,"526,592","19,351,202",36.80,37.35,36.00,36.30,-0.85,297
6177　達麗,102/12/12,"382,514","13,771,526",36.40,36.75,35.70,36.05,-0.25,230
6177　達麗,102/12/13,"168,963","6,147,799",36.10,36.80,36.00,36.60,+0.55,97
6177　達麗,102/12/16,"281,536","10,335,511",36.70,37.00,36.50,36.70,+0.10,159
6177　達麗,102/12/17,"805,809","30,293,007",38.00,38.20,37.15,37.30,+0.60,363
6177　達麗,102/12/18,"286,769","10,670,169",37.30,37.60,36.95,37.00,-0.30,151
6177　達麗,102/12/19,"153,336","5,665,947",37.10,37.40,36.70,36.80,-0.20,102
6177　達麗,102/12/20,"126,113","4,660,143",37.15,37.30,36.70,36.75,-0.05,87
6177　達麗,102/12/23,"366,213","13,336,670",36.75,36.80,36.25,36.30,-0.45,149
6177　達麗,102/12/24,"349,341","12,575,272",36.30,36.30,35.75,35.75,-0.55,169
6177　達麗,102/12/25,"192,457","6,876,488",35.75,36.05,35.45,35.90,+0.15,123
6177　達麗,102/12/26,"225,469","8,024,677",36.15,36.15,35.40,35.55,-0.35,112
6177　達麗,102/12/27,"268,793","9,497,705",35.55,35.60,35.15,35.15,-0.40,147
6177　達麗,102/12/30,"372,684","13,394,885",35.15,36.45,35.15,36.00,+0.85,176
6177　達麗,102/12/31,"224,461","8,029,285",36.20,36.20,35.50,35.60,-0.40,97
6177　達麗,103/01/02,"147,300","5,257,127",36.00,36.00,35.50,35.75,+0.15,71
6177　達麗,103/01/03,"211,827","7,495,374",35.50,35.60,35.15,35.30,-0.45,108
6177　達麗,103/01/06,"1,613,537","53,341,187",35.25,35.25,32.85,33.00,-2.30,561
6177　達麗,103/01/07,"334,660","11,076,144",32.85,33.25,32.85,33.00, 0.00,178
6177　達麗,103/01/08,"121,699","4,059,498",33.45,33.50,33.10,33.30,+0.30,87
6177　達麗,103/01/09,"170,757","5,654,313",33.40,33.40,33.00,33.05,-0.25,80
6177　達麗,103/01/10,"212,208","7,028,893",32.80,33.35,32.70,33.10,+0.05,104
6177　達麗,103/01/13,"191,116","6,337,378",33.15,33.35,33.10,33.10, 0.00,86
6177　達麗,103/01/14,"76,497","2,539,851",33.10,33.40,33.10,33.20,+0.10,42
6177　達麗,103/01/15,"106,886","3,542,848",33.20,33.25,33.00,33.10,-0.10,63
6177　達麗,103/01/16,"256,091","8,676,601",33.30,34.65,33.10,33.80,+0.70,143
6177　達麗,103/01/17,"120,142","4,032,990",33.80,34.00,33.40,33.50,-0.30,64
6177　達麗,103/01/20,"105,120","3,542,957",33.80,33.85,33.50,33.80,+0.30,69
6177　達麗,103/01/21,"132,795","4,487,181",34.00,34.00,33.60,33.70,-0.10,71
6177　達麗,103/01/22,"140,622","4,738,104",34.00,34.00,33.55,33.70, 0.00,63
6177　達麗,103/01/23,"832,683","29,063,831",34.50,35.50,33.95,34.90,+1.20,459
6177　達麗,103/01/24,"443,793","15,755,541",35.10,35.90,35.10,35.35,+0.45,246
6177　達麗,103/01/27,"386,404","13,379,096",35.20,35.20,34.00,34.40,-0.95,183
6177　達麗,103/02/05,"213,084","7,251,398",33.50,34.35,33.50,34.35,-0.05,103
6177　達麗,103/02/06,"286,880","10,066,284",34.50,35.50,34.50,35.00,+0.65,167
6177　達麗,103/02/07,"274,683","9,601,932",35.10,35.30,34.65,34.80,-0.20,148
6177　達麗,103/02/10,"1,995,976","73,702,994",34.80,37.20,34.80,37.20,+2.40,645
6177　達麗,103/02/11,"1,958,507","72,968,778",37.60,37.90,36.50,37.35,+0.15,938
