有價證卷代號及名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3703　欣陸,108/01/25,"1,351,200","19,487,238",14.40,14.50,14.35,14.45, 0.00,777
3703　欣陸,108/01/28,"1,581,493","22,923,448",14.50,14.55,14.40,14.50,+0.05,736
3703　欣陸,108/01/29,"1,390,592","20,248,361",14.50,14.65,14.40,14.65,+0.15,686
3703　欣陸,108/01/30,"2,350,909","34,016,634",14.65,14.65,14.35,14.50,-0.15,445
3703　欣陸,108/02/11,"728,553","10,587,568",14.55,14.60,14.45,14.55,+0.05,317
3703　欣陸,108/02/12,"1,726,500","25,130,169",14.55,14.65,14.40,14.60,+0.05,689
3703　欣陸,108/02/13,"1,346,149","19,689,580",14.60,14.75,14.50,14.70,+0.10,521
3703　欣陸,108/02/14,"476,320","6,972,685",14.75,14.75,14.60,14.70, 0.00,214
3703　欣陸,108/02/15,"816,450","11,928,319",14.65,14.70,14.55,14.65,-0.05,176
3703　欣陸,108/02/18,"613,189","8,914,180",14.50,14.60,14.50,14.50,-0.15,228
3703　欣陸,108/02/19,"499,542","7,246,684",14.60,14.65,14.45,14.55,+0.05,169
3703　欣陸,108/02/20,"948,951","13,854,386",14.60,14.65,14.55,14.60,+0.05,389
3703　欣陸,108/02/21,"713,722","10,421,989",14.65,14.65,14.55,14.60, 0.00,416
3703　欣陸,108/02/22,"1,078,500","15,714,199",14.65,14.65,14.45,14.60, 0.00,464
3703　欣陸,108/02/25,"748,621","10,913,484",14.65,14.65,14.50,14.60, 0.00,420
3703　欣陸,108/02/26,"2,454,422","36,476,934",14.65,15.10,14.55,15.00,+0.40,822
3703　欣陸,108/02/27,"1,104,422","16,520,082",15.05,15.05,14.85,15.00, 0.00,383
3703　欣陸,108/03/04,"828,075","12,489,628",15.00,15.20,14.95,15.15,+0.15,321
3703　欣陸,108/03/05,"582,499","8,830,604",15.15,15.20,15.05,15.20,+0.05,204
3703　欣陸,108/03/06,"723,600","10,985,769",15.20,15.25,15.10,15.25,+0.05,182
3703　欣陸,108/03/07,"1,040,183","15,859,778",15.25,15.30,15.20,15.30,+0.05,271
3703　欣陸,108/03/08,"1,095,808","16,807,396",15.25,15.45,15.25,15.40,+0.10,299
3703　欣陸,108/03/11,"549,500","8,413,474",15.30,15.40,15.25,15.30,-0.10,179
3703　欣陸,108/03/12,"614,658","9,387,350",15.35,15.35,15.25,15.25,-0.05,151
3703　欣陸,108/03/13,"900,384","13,714,286",15.30,15.30,15.15,15.25, 0.00,220
3703　欣陸,108/03/14,"828,094","12,660,025",15.40,15.45,15.20,15.25, 0.00,235
3703　欣陸,108/03/15,"667,167","10,153,935",15.30,15.30,15.15,15.25, 0.00,158
3703　欣陸,108/03/18,"622,408","9,571,509",15.35,15.45,15.30,15.40,+0.15,204
3703　欣陸,108/03/19,"1,724,476","26,892,896",15.45,15.70,15.40,15.55,+0.15,434
3703　欣陸,108/03/20,"666,831","10,411,719",15.65,15.70,15.55,15.60,+0.05,284
3703　欣陸,108/03/21,"546,000","8,522,850",15.65,15.70,15.55,15.60, 0.00,176
3703　欣陸,108/03/22,"5,604,637","83,771,284",15.25,15.25,14.75,15.10,-0.50,"1,702"
3703　欣陸,108/03/25,"2,522,403","38,316,052",14.95,15.35,14.95,15.20,+0.10,"1,022"
3703　欣陸,108/03/26,"3,254,361","50,353,095",15.25,15.70,15.20,15.55,+0.35,"1,011"
3703　欣陸,108/03/27,"2,107,570","33,172,903",15.60,15.90,15.60,15.85,+0.30,853
3703　欣陸,108/03/28,"1,253,031","19,733,235",15.80,15.90,15.55,15.80,-0.05,331
3703　欣陸,108/03/29,"1,377,393","21,704,885",15.80,15.90,15.65,15.80, 0.00,304
3703　欣陸,108/04/01,"806,585","12,776,181",15.75,15.90,15.75,15.75,-0.05,230
3703　欣陸,108/04/02,"556,337","8,801,755",15.75,15.90,15.75,15.80,+0.05,165
3703　欣陸,108/04/03,"2,104,522","33,575,745",15.75,16.10,15.75,15.95,+0.15,503
3703　欣陸,108/04/08,"2,250,083","36,455,398",16.00,16.35,16.00,16.35,+0.40,604
3703　欣陸,108/04/09,"658,509","10,705,140",16.35,16.35,16.20,16.25,-0.10,211
3703　欣陸,108/04/10,"1,156,988","18,554,508",16.25,16.25,15.90,16.00,-0.25,401
3703　欣陸,108/04/11,"1,512,444","23,741,402",15.90,15.95,15.55,15.60,-0.40,500
3703　欣陸,108/04/12,"946,500","14,701,499",15.65,15.70,15.45,15.50,-0.10,260
3703　欣陸,108/04/15,"856,750","13,286,673",15.55,15.60,15.45,15.55,+0.05,245
3703　欣陸,108/04/16,"751,751","11,595,123",15.55,15.55,15.40,15.40,-0.15,246
3703　欣陸,108/04/17,"597,900","9,215,560",15.40,15.50,15.35,15.40, 0.00,279
3703　欣陸,108/04/18,"1,218,395","18,553,442",15.40,15.40,15.10,15.10,-0.30,401
3703　欣陸,108/04/19,"820,236","12,387,561",15.15,15.20,15.05,15.15,+0.05,188
3703　欣陸,108/04/22,"454,845","6,909,296",15.20,15.25,15.10,15.15, 0.00,117
3703　欣陸,108/04/23,"441,408","6,693,778",15.15,15.25,15.10,15.20,+0.05,160
3703　欣陸,108/04/24,"456,002","6,943,027",15.25,15.30,15.20,15.25,+0.05,184
3703　欣陸,108/04/25,"471,874","7,216,277",15.20,15.35,15.20,15.30,+0.05,294
3703　欣陸,108/04/26,"570,380","8,718,143",15.35,15.35,15.20,15.25,-0.05,174
3703　欣陸,108/04/29,"838,450","12,740,738",15.30,15.30,15.10,15.20,-0.05,214
3703　欣陸,108/04/30,"438,666","6,723,470",15.20,15.40,15.20,15.40,+0.20,124
3703　欣陸,108/05/02,"352,714","5,406,823",15.40,15.40,15.25,15.35,-0.05,144
3703　欣陸,108/05/03,"157,718","2,418,435",15.30,15.35,15.25,15.35, 0.00,82
3703　欣陸,108/05/06,"523,192","7,985,175",15.30,15.35,15.20,15.25,-0.10,152
3703　欣陸,108/05/07,"523,420","7,967,282",15.30,15.30,15.15,15.25, 0.00,177
3703　欣陸,108/05/08,"340,470","5,161,944",15.15,15.20,15.10,15.20,-0.05,115
3703　欣陸,108/05/09,"772,850","11,718,184",15.15,15.25,15.10,15.15,-0.05,160
3703　欣陸,108/05/10,"997,517","15,047,178",15.15,15.25,14.90,15.10,-0.05,289
3703　欣陸,108/05/13,"4,987,790","78,774,508",15.50,15.95,15.50,15.70,+0.60,"1,387"
3703　欣陸,108/05/14,"1,920,873","30,278,253",15.60,15.90,15.55,15.80,+0.10,543
3703　欣陸,108/05/15,"3,095,200","49,642,238",16.00,16.10,16.00,16.00,+0.20,902
3703　欣陸,108/05/16,"1,526,500","24,309,921",16.00,16.05,15.80,15.85,-0.15,428
3703　欣陸,108/05/17,"13,549,304","221,317,557",15.95,16.55,15.95,16.55,+0.70,"2,463"
3703　欣陸,108/05/20,"6,428,220","105,404,798",16.55,16.55,16.15,16.15,-0.40,"1,785"
3703　欣陸,108/05/21,"1,648,350","26,756,597",16.10,16.35,16.10,16.20,+0.05,598
3703　欣陸,108/05/22,"1,637,202","26,724,819",16.25,16.40,16.25,16.30,+0.10,574
3703　欣陸,108/05/23,"1,309,200","21,205,738",16.30,16.30,16.10,16.20,-0.10,540
3703　欣陸,108/05/24,"13,078,552","219,786,468",16.20,17.00,16.20,17.00,+0.80,"3,049"
3703　欣陸,108/05/27,"16,865,015","292,540,952",17.20,18.00,16.95,17.85,+0.85,"5,279"
3703　欣陸,108/05/28,"7,682,005","133,776,530",17.70,17.70,17.20,17.40,-0.45,"2,633"
3703　欣陸,108/05/29,"5,189,510","88,774,514",17.30,17.50,16.85,16.95,-0.45,"1,758"
3703　欣陸,108/05/30,"2,494,627","42,391,038",17.00,17.15,16.85,17.10,+0.15,961
3703　欣陸,108/05/31,"2,455,153","41,891,491",17.05,17.25,16.90,17.00,-0.10,964
3703　欣陸,108/06/03,"1,613,105","27,406,353",16.85,17.25,16.80,17.25,+0.25,691
3703　欣陸,108/06/04,"2,130,967","36,804,229",17.35,17.50,17.10,17.25, 0.00,904
3703　欣陸,108/06/05,"1,443,450","24,737,050",17.30,17.30,17.05,17.05,-0.20,502
3703　欣陸,108/06/06,"1,498,297","25,442,715",17.10,17.10,16.90,16.95,-0.10,410
3703　欣陸,108/06/10,"1,245,565","21,155,247",16.95,17.10,16.90,17.00,+0.05,360
3703　欣陸,108/06/11,"3,148,099","54,186,632",17.15,17.40,17.05,17.10,+0.10,712
3703　欣陸,108/06/12,"3,049,418","51,753,378",17.10,17.10,16.90,16.95,-0.15,460
3703　欣陸,108/06/13,"2,283,799","38,603,750",16.95,17.10,16.80,16.95, 0.00,681
3703　欣陸,108/06/14,"621,267","10,511,024",17.00,17.05,16.85,16.95, 0.00,269
3703　欣陸,108/06/17,"1,279,850","21,552,285",16.85,16.90,16.80,16.80,-0.15,574
3703　欣陸,108/06/18,"1,172,647","19,710,468",16.85,16.90,16.70,16.85,+0.05,400
3703　欣陸,108/06/19,"1,431,294","24,257,929",16.90,17.05,16.85,17.00,+0.15,809
3703　欣陸,108/06/20,"964,857","16,449,174",17.00,17.15,16.95,17.00, 0.00,350
3703　欣陸,108/06/21,"1,524,434","25,908,861",17.05,17.10,16.85,16.90,-0.10,388
3703　欣陸,108/06/24,"949,499","16,138,283",16.85,17.10,16.85,17.05,+0.15,343
3703　欣陸,108/06/25,"1,463,977","25,085,902",17.05,17.25,17.05,17.25,+0.20,414
3703　欣陸,108/06/26,"692,523","11,911,416",17.25,17.30,17.10,17.10,-0.15,302
3703　欣陸,108/06/27,"2,071,746","35,475,854",17.10,17.25,17.05,17.15,+0.05,373
3703　欣陸,108/06/28,"2,463,880","42,381,742",17.15,17.30,17.15,17.15, 0.00,443
3703　欣陸,108/07/01,"1,785,339","30,574,043",17.20,17.25,17.00,17.10,-0.05,420
3703　欣陸,108/07/02,"1,258,050","21,337,300",17.10,17.10,16.90,16.95,-0.15,367
3703　欣陸,108/07/03,"671,940","11,423,229",16.95,17.10,16.90,17.00,+0.05,320
3703　欣陸,108/07/04,"597,642","10,203,314",17.00,17.15,17.00,17.05,+0.05,182
3703　欣陸,108/07/05,"1,796,176","30,940,774",17.10,17.35,17.10,17.25,+0.20,549
3703　欣陸,108/07/08,"1,185,750","20,396,025",17.25,17.30,17.10,17.15,-0.10,381
3703　欣陸,108/07/09,"2,524,441","43,920,249",17.15,17.50,17.15,17.40,+0.25,733
3703　欣陸,108/07/10,"2,248,300","39,408,532",17.50,17.65,17.45,17.50,+0.10,683
3703　欣陸,108/07/11,"1,538,688","26,845,602",17.55,17.60,17.35,17.40,-0.10,513
3703　欣陸,108/07/12,"711,570","12,415,267",17.50,17.50,17.40,17.45,+0.05,293
3703　欣陸,108/07/15,"1,572,408","27,553,618",17.45,17.60,17.45,17.50,+0.05,418
3703　欣陸,108/07/16,"1,771,369","31,065,587",17.60,17.65,17.45,17.45,-0.05,418
3703　欣陸,108/07/17,"2,336,073","41,019,776",17.45,17.65,17.40,17.55,+0.10,685
3703　欣陸,108/07/18,"1,815,785","31,869,923",17.55,17.70,17.40,17.65,+0.10,563
3703　欣陸,108/07/19,"1,527,564","26,969,475",17.65,17.70,17.60,17.65, 0.00,573
3703　欣陸,108/07/22,"1,339,800","23,632,029",17.65,17.75,17.55,17.60,-0.05,376
3703　欣陸,108/07/23,"1,165,737","20,488,447",17.65,17.70,17.50,17.50,-0.10,422
3703　欣陸,108/07/24,"1,043,344","18,247,914",17.50,17.55,17.40,17.40,-0.10,506
3703　欣陸,108/07/25,"1,288,250","22,598,135",17.50,17.60,17.45,17.55,+0.15,347
3703　欣陸,108/07/26,"1,455,383","25,541,602",17.55,17.65,17.50,17.60,+0.05,454
3703　欣陸,108/07/29,"2,659,111","47,160,560",17.60,17.80,17.60,17.80,+0.20,829
3703　欣陸,108/07/30,"8,115,977","144,541,146",17.85,18.10,17.45,17.50,-0.30,"2,101"
3703　欣陸,108/07/31,"5,669,680","98,308,374",17.55,17.60,17.20,17.40,-0.10,"1,850"
