有價證卷代號及名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2114　鑫永銓, 99/12/29,"466,702","16,545,741",35.50,35.90,35.00,35.45,X0.00,169
2114　鑫永銓, 99/12/30,"227,099","7,808,402",35.45,35.45,34.00,34.20,-1.25,116
2114　鑫永銓, 99/12/31,"197,467","6,615,749",34.30,34.30,33.10,33.30,-0.90,114
2114　鑫永銓,100/01/03,"152,841","5,155,123",34.10,34.10,33.45,33.50,+0.20,60
2114　鑫永銓,100/01/04,"107,029","3,617,371",33.60,34.00,33.60,33.90,+0.40,51
2114　鑫永銓,100/01/05,"62,077","2,084,926",33.90,33.90,33.35,33.50,-0.40,40
2114　鑫永銓,100/01/06,"114,905","3,799,226",33.00,33.50,33.00,33.50, 0.00,60
2114　鑫永銓,100/01/07,"87,659","2,888,383",33.30,33.30,32.85,33.00,-0.50,40
2114　鑫永銓,100/01/10,"62,545","2,075,125",33.00,33.50,33.00,33.20,+0.20,35
2114　鑫永銓,100/01/11,"104,133","3,443,239",33.00,33.30,32.90,33.30,+0.10,42
2114　鑫永銓,100/01/12,"65,658","2,169,651",33.45,33.45,32.90,32.90,-0.40,39
2114　鑫永銓,100/01/13,"118,481","3,889,276",32.90,33.00,32.70,32.90, 0.00,47
2114　鑫永銓,100/01/14,"31,000","1,019,050",32.70,33.00,32.70,32.80,-0.10,24
2114　鑫永銓,100/01/17,"76,300","2,492,729",32.60,32.90,32.55,32.55,-0.25,30
2114　鑫永銓,100/01/18,"83,000","2,694,750",32.50,32.65,32.40,32.45,-0.10,26
2114　鑫永銓,100/01/19,"57,300","1,850,370",32.10,32.50,32.10,32.40,-0.05,34
2114　鑫永銓,100/01/20,"36,380","1,191,062",32.60,33.00,32.45,32.45,+0.05,26
2114　鑫永銓,100/01/21,"64,228","2,091,732",32.90,32.90,32.50,32.60,+0.15,23
2114　鑫永銓,100/01/24,"132,000","4,283,150",32.50,32.75,32.35,32.70,+0.10,32
2114　鑫永銓,100/01/25,"26,200","858,749",32.90,32.95,32.60,32.60,-0.10,20
2114　鑫永銓,100/01/26,"66,093","2,124,663",32.50,32.50,32.00,32.10,-0.50,44
2114　鑫永銓,100/01/27,"28,661","923,252",32.00,32.30,32.00,32.10, 0.00,17
2114　鑫永銓,100/01/28,"106,238","3,419,689",32.20,32.60,32.05,32.60,+0.50,31
