sid,季度,股票報酬率,負債/淨值比,淨值報酬率,季成交量(百萬股),t+1季周轉率,t+1季底個股市值,季底收盤價,淨值股價比,益本比,每股淨值(元),稅後EPS,稅後淨利,t+1季新淨值股價比,t+1季新益本比,成長指標0.02,成長指標0.04,成長指標0.06,成長指標0.08,成長指標0.1,成長指標0.15,成長指標0.2,成長指標0.3
2101,2021Q1,0.9070321811680571,--,-,33500.0,-,-,38.05,0.3432325886990802,-,--,-,-,-,-,-,-,-,-,-,-,-,-
2101,2020Q4,0.9870588235294119,--,-,77600.0,-,-,41.95,0.30917759237187126,-,--,-,-,0.3408672798948752,-,-,-,-,-,-,-,-,-
2101,2020Q3,0.9661781285231116,1.9293893129770991,2.16,192000.0,23.02158273381295,35445.00000000001,42.5,0.2912941176470588,0.006588235294117647,13.06,0.28,2.25,0.29511323003575685,0.0066746126340882,3.083001364293559,3.0078789279227682,2.934586974182197,2.8630809003296904,2.793317190442806,2.6262546829248072,2.4691838374757253,2.1826625505014174
2101,2020Q2,1.128498727735369,1.8664745437079733,5.65,186000.0,22.302158273381295,36987.9,44.35,0.3010146561443066,0.016234498308906425,12.97,0.72,5.74,0.3141176470588235,0.016941176470588234,6.492222540077859,6.338188497728572,6.187809056874535,6.040997508682522,5.897669201567347,5.554050081736578,5.230451430243012,4.638717640667382
2101,2020Q1,0.8291925465838509,1.897523656130461,4.18,18500.0,19.412381951731376,27827.6,292,0.339440203562341,0.01643835616438356,12.38,4.8,4.58,0.3007891770011274,0.014307004470938897,-0.2348694372959113,-0.2298485523987417,-0.2249350006882177,-0.22012648766582127,-0.21542076788332,-0.20409188346524643,-0.19335878014766347,-0.17355623706829884
2101,2019Q4,1.0254957507082152,1.5807656395891692,1.14,269000.0,32.25419664268585,40282.200000000004,48.3,0.2807453416149069,0.0031055900621118015,13.35,0.15,1.22,0.34503816793893133,0.0038167938931297713,2.086315691782967,2.033978114850393,1.9829534849324828,1.9332088652758685,1.8847121453827052,1.7687263960161326,1.659878444370598,1.4618659177402886
2101,2019Q3,1.298719772403983,1.5788982259570494,3.85,123000.0,14.74820143884892,37655.100000000006,45.15,0.2965669988925803,0.0115171650055371,13.34,0.52,4.16,0.27722567287784683,0.010766045548654245,4.73351976694502,4.619836986403967,4.508884473238535,4.400596655865173,4.294909537503082,4.04166359002979,3.8033500897597814,3.3680504278293797
2101,2019Q2,1.1330128205128205,1.2454044117647058,3.53,92700.0,11.115107913669064,29315.100000000002,35.15,0.3678520625889047,0.01337126600284495,13.56,0.47,3.81,0.28637873754152826,0.010409745293466223,4.440293380655988,4.352363202273153,4.266174286371784,4.181692151104065,4.098882997458826,3.898963605631015,3.708795105266458,3.3558316110452995
2101,2019Q1,1.2069632495164409,1.2188081936685289,2.05,110000.0,13.189448441247002,26020.8,31.2,0.41282051282051285,0.008653846153846154,13.39,0.27,2.16,0.3664295874822191,0.007681365576102419,2.996505400358393,2.9439490538941024,2.892314504384807,2.8415855842373716,2.791746409425522,2.670939369978047,2.555360004767311,2.3389892190487624
2101,2018Q4,1.001937984496124,1.257473481195757,-0.03,53500.0,6.414868105515588,21558.9,25.85,0.5087040618955513,0.0,12.93,0,-0.03,0.421474358974359,0.0,0.9569759826617333,0.9441268364859693,0.9314502135087361,0.9189437972917569,0.9066053024991586,0.8764790000009747,0.8473537881645267,0.7919746777759883
2101,2018Q3,0.9608938547486033,1.2623426911907067,0.24,46500.0,5.575539568345324,21517.200000000004,25.8,0.5333333333333333,0.0011627906976744186,12.88,0.03,0.25,0.532301740812379,0.0011605415860735009,1.224508092769789,1.20920973327315,1.1941025034265886,1.179184015356873,1.1644519110236016,1.128421869233436,1.0935066557149333,1.0268838023905495
2101,2018Q2,1.06,1.2274881516587677,1.21,39300.0,4.712230215827338,22392.900000000005,26.85,0.5057728119180633,0.0059590316573556795,13.15,0.16,1.31,0.5263565891472868,0.006201550387596899,2.1800747420409956,2.1505546972330825,2.121434378649531,2.092708373661211,2.064371342930541,1.9951961388176325,1.9283389328112421,1.8012704218790905
2101,2018Q1,0.9737827715355806,1.1467391304347825,0.28,47700.0,5.719424460431655,21684.0,26,0.5176923076923077,0.0015384615384615385,13.76,0.04,0.31,0.5013035381750466,0.0014897579143389199,1.2632560995738278,1.2467312289925634,1.2304225230890862,1.2143271541760212,1.1984423315554584,1.1596334291934203,1.1220812672375653,1.0505856953928838
2101,2017Q4,0.994413407821229,1.1788990825688073,1.02,28200.0,3.3812949640287764,22267.800000000003,26.7,0.4940074906367041,0.0052434456928838954,13.58,0.14,1.1,0.5073076923076922,0.005384615384615385,1.991709707626196,1.9638156234913007,1.9363121986611955,1.9091939619151121,1.882455518657251,1.8172362838648382,1.7542766236253167,1.6348255997004388
2101,2017Q3,0.93717277486911,1.149074074074074,1.06,26600.0,3.1894484412470026,22392.900000000005,26.85,0.5180633147113594,0.00521415270018622,13.46,0.14,1.13,0.5209737827715356,0.0052434456928838954,2.033081914991233,2.0065155694487475,1.9802963671818368,1.9544197720583647,1.9288813072199755,1.866485611535575,1.8061082996808937,1.6911497757618104
2101,2017Q2,1.0047217537942665,1.1935788479697829,1.87,34600.0,4.148681055155875,23894.1,28.65,0.4956369982547993,0.008726003490401396,13.19,0.25,2.04,0.5288640595903166,0.009310986964618248,2.8299917605952296,2.7905412421731315,2.7516406700178186,2.7132823777941337,2.6754588060368056,2.583190616611682,2.4941044678745254,2.3250431225611985
2101,2017Q1,1.0085034013605443,1.088709677419355,1.82,80200.0,9.616306954436451,24728.1,29.65,0.4792580101180439,0.008768971332209106,13.91,0.26,2.07,0.4959860383944154,0.009075043630017453,2.778820511639901,2.738242353159802,2.6982567435466547,2.6588550300135205,2.620028686127126,2.525425232476736,2.434237700754976,2.2616214910745303
