sid,單季,負債總額,負債總額百分比,每股淨值(元),股東權益總額
2465,2020Q3,10.92,79.6,5.24,2.81
2465,2020Q2,10.28,78.3,5.82,2.85
2465,2020Q1,10.66,79.6,5.58,2.73
2465,2019Q4,10.77,79,5.83,2.86
2465,2019Q3,11.29,80.1,5.77,2.81
2465,2019Q2,10.56,79.9,5.72,2.65
2465,2019Q1,9.8,76.2,6.37,3.06
2465,2018Q4,9.58,76.1,6.26,3.01
2465,2018Q3,9.84,74.9,6.48,3.29
2465,2018Q2,10.56,74.7,6.98,3.58
2465,2018Q1,8.35,68.6,7.38,3.82
2465,2017Q4,9.61,71,7.46,3.92
2465,2017Q3,8.64,61,10,5.53
2465,2017Q2,8.43,60.3,5.02,5.56
2465,2017Q1,7.72,57.6,5.12,5.68
2465,2016Q4,10.4,68.2,4.31,4.85
2465,2016Q3,11.11,66.2,5.05,5.66
2465,2016Q2,10.44,63.7,5.31,5.95
2465,2016Q1,8.83,58.2,5.76,6.35
2465,2015Q4,8.88,56.7,6.14,6.78
2465,2015Q3,9.1,55.9,6.48,7.17
2465,2015Q2,8.3,53.3,6.7,7.27
2465,2015Q1,8.43,52.3,7.09,7.7
2465,2014Q4,9.73,61.6,5.58,6.06
2465,2014Q3,9.22,58.8,5.92,6.44
2465,2014Q2,8.17,55.2,6.09,6.64
2465,2014Q1,7.77,52.6,6.51,7
2465,2013Q4,6.96,48.6,6.8,7.34
2465,2013Q3,7.81,50.9,6.97,7.53
2465,2013Q2,6.26,45.5,7,7.5
2465,2013Q1,5.89,42.7,7.38,7.92
2465,2012Q4,4.93,37.4,7.8,8.26
2465,2012Q3,5.36,38.1,8.15,8.7
2465,2012Q2,5.84,39.3,8.44,9.02
2465,2012Q1,5.05,35.1,8.73,9.34
2465,2011Q4,4.64,32.6,8.96,9.62
2465,2011Q3,5.29,35.3,9.02,9.67
2465,2011Q2,4.82,33.5,6.23,9.54
2465,2011Q1,5.37,35.4,6.4,9.8
2465,2010Q4,4.56,31.3,6.53,10
2465,2010Q3,7.06,40.6,6.75,10.33
2465,2010Q2,6.79,40.4,6.55,10.03
2465,2010Q1,5.15,36.8,5.77,8.83
2465,2009Q4,6.48,41.3,6.02,9.21
2465,2009Q3,5.82,36.3,6.67,10.2
2465,2009Q2,5.01,31.2,7.22,11.04
2465,2009Q1,5.46,31.5,7.78,11.9
2465,2008Q4,5.39,29.7,8.34,12.76
2465,2008Q3,7.41,36,8.62,13.18
2465,2008Q2,7.27,34.2,9.45,14.02
2465,2008Q1,9.59,38.2,10.44,15.49
2465,2007Q4,7.51,31.8,10.86,16.12
2465,2007Q2,11.7,40.7,8.13,17.02
2465,2006Q4,16.09,52.5,7.33,14.54
2465,2006Q2,17.31,48.3,9.36,18.55
2465,2005Q4,23.14,53,10.34,20.49
2465,2005Q2,20.18,47.6,12.96,22.26
2465,2004Q4,33.02,59.1,14.09,22.86
2465,2003Q4,18.9,53.3,12.52,16.59
2465,2002Q4,14.67,42.5,16.6,19.85
2465,2001Q4,12.99,41.7,19.97,18.18
2465,2000Q4,6.72,33.2,19.32,13.51
2465,1999Q4,8.42,50.6,16.56,8.21
