sid,單季,負債總額,負債總額百分比,每股淨值(元),股東權益總額
2379,2020Q2,565,69.2,49.23,251.5
2379,2020Q1,471.2,62,56.85,289
2379,2019Q4,462,62.9,53.57,272.3
2379,2019Q3,478.9,64.3,52.41,266.4
2379,2019Q2,457.9,64.9,48.73,247.7
2379,2019Q1,364.5,58.2,51.47,261.6
2379,2018Q4,336.1,57.7,48.49,246.5
2379,2018Q3,380.1,61.8,46.26,235.1
2379,2018Q2,354.6,61.6,43.55,221.4
2379,2018Q1,286.4,56.1,44.15,224.4
2379,2017Q4,304.5,58.2,43.14,218.6
2379,2017Q3,310.3,59.1,42.47,215.2
2379,2017Q2,329.2,61.9,40.18,203
2379,2017Q1,265.6,55,42.98,217.1
2379,2016Q4,327,58.9,45.18,228.2
2379,2016Q3,308.4,58.9,42.6,215.2
2379,2016Q2,298.7,58.3,42.3,213.7
2379,2016Q1,243.3,52,44.43,224.4
2379,2015Q4,246.6,52.5,44.12,222.9
2379,2015Q3,244.5,53.1,42.73,215.9
2379,2015Q2,264.4,57.3,39.03,197.2
2379,2015Q1,228.5,50.3,44.75,226
2379,2014Q4,189.7,46.2,43.76,221.1
2379,2014Q3,216.1,51.1,40.97,207
2379,2014Q2,190.7,50.2,37.46,189.2
2379,2014Q1,157,43.2,40.9,206.6
2379,2013Q4,146.1,42.8,38.65,195.2
2379,2013Q3,151,44.7,36.93,186.6
2379,2013Q2,151.4,45.6,36.2,180.7
2379,2013Q1,95.04,33.7,37.5,187.1
2379,2012Q4,86.64,32.9,36.33,177
2379,2012Q3,118.5,40.7,35.51,172.8
2379,2012Q2,127.2,43.1,35.02,168
2379,2012Q1,97.64,36.2,35.9,172.4
2379,2011Q4,82.73,32.4,35.1,172.7
2379,2011Q3,95.97,36.1,34.52,169.9
2379,2011Q2,76.56,31.8,33.83,164.2
2379,2011Q1,48.27,22.1,35.06,170.2
2379,2010Q4,42.7,20.2,34.7,168.4
2379,2010Q3,75.94,30.8,35.17,170.7
2379,2010Q2,81.86,32.9,35.05,167.2
2379,2010Q1,58.73,24.9,37.22,177.5
2379,2009Q4,58.99,25.6,35.85,171
2379,2009Q3,66.67,28.6,34.85,166.5
2379,2009Q2,52.45,25,33.43,157
2379,2009Q1,26.15,14.2,33.75,158.5
2379,2008Q4,30.1,16.5,32.5,152.6
2379,2008Q3,58.81,27.6,32.87,154.5
2379,2008Q2,78.57,34.3,33.12,150.4
2379,2008Q1,48.25,22.3,37.02,168
2379,2007Q4,46.47,21.9,36.5,165.7
2379,2007Q2,44.8,21.4,39.34,165
2379,2006Q4,22.43,9.8,24.62,206.4
2379,2006Q2,34.8,15.7,24.08,186.9
2379,2005Q4,22.41,10.9,23.77,183.3
2379,2005Q2,28.56,14.8,23.42,164.7
