sid,單季,負債總額,負債總額百分比,每股淨值(元),股東權益總額
1475,2020Q3,0.51,13.2,6.01,3.37
1475,2020Q2,0.39,22.2,3.79,1.36
1475,2020Q1,0.4,69.1,1.11,0.18
1475,2019Q4,0.42,67.1,1.27,0.21
1475,2019Q3,0.4,64.3,1.36,0.22
1475,2019Q2,0.65,90.2,1.4,0.07
1475,2019Q1,0.66,76.6,2.21,0.2
1475,2018Q4,0.58,63.2,3.04,0.34
1475,2018Q3,0.76,74.3,3.45,0.26
1475,2018Q2,0.79,61.3,4.95,0.5
1475,2018Q1,0.83,57.1,5.72,0.62
1475,2017Q4,0.89,53.9,6.54,0.76
1475,2017Q3,0.96,51.6,16.4,0.9
1475,2017Q2,1.05,50.2,5.24,1.04
1475,2017Q1,1.25,50.9,5.54,1.2
1475,2016Q4,1.34,50.1,5.76,1.33
1475,2016Q3,1.36,47.5,6.83,1.51
1475,2016Q2,1.64,49.1,7.17,1.7
1475,2016Q1,1.72,48.2,7.42,1.85
1475,2015Q4,1.96,51.3,7.58,1.86
1475,2015Q3,4.07,71.7,5.04,1.6
1475,2015Q2,3.86,68.9,5.23,1.75
1475,2015Q1,3.68,64.8,5.5,2
1475,2014Q4,3.87,63.7,5.77,2.2
1475,2014Q3,3.84,62.2,5.83,2.34
1475,2014Q2,3.39,57.1,6.05,2.55
1475,2014Q1,3.32,54.4,6.37,2.78
1475,2013Q4,3.49,54,6.57,2.97
1475,2013Q3,3.71,50.6,7.08,3.63
1475,2013Q2,6.96,63.2,7.44,4.06
1475,2013Q1,6.61,81.6,4.69,1.49
1475,2012Q4,6.27,77.6,5.01,1.81
1475,2012Q3,6.91,76.4,5.43,2.14
1475,2012Q2,6.55,73.2,5.83,2.4
1475,2012Q1,6.32,70.7,6.06,2.62
1475,2011Q4,6.96,70.9,6.53,2.86
1475,2011Q3,7.92,65.3,8.65,4.2
1475,2011Q2,9.13,78.6,5.02,2.48
1475,2011Q1,12.08,81.8,5.4,2.7
1475,2010Q4,12.21,82.6,5.02,2.57
1475,2010Q3,14.96,83.4,5.69,2.98
1475,2010Q2,14.45,86.6,5.01,2.24
1475,2010Q1,13.37,84.5,5.38,2.45
1475,2009Q4,13.39,83,5.9,2.75
1475,2009Q3,13.35,81.2,6.45,3.09
1475,2009Q2,12.09,77.8,7.12,3.45
1475,2009Q1,11.55,74,5.05,4.06
1475,2008Q4,14.59,76.7,5.4,4.42
1475,2008Q3,15.84,76.1,6.06,4.99
1475,2008Q2,15.47,73.9,6.59,5.47
1475,2008Q1,14.19,68.5,7.59,6.53
1475,2007Q4,14.57,67.6,8.11,6.98
1475,2007Q2,13.65,69.9,5.14,5.88
1475,2006Q4,11.31,66,5.1,5.82
1475,2006Q2,9.03,57.2,5.75,6.75
1475,2005Q4,8.24,50.8,6.7,7.98
1475,2005Q2,6.81,48.4,7.34,7.26
