ID,sid,交易季度,交易日數,開盤,最高,最低,收盤,漲跌,漲跌(%),振幅(%),成交張數千張,成交張數日均,成交金額億元,成交金額日均,法人買賣超(千張)外資,法人買賣超(千張)投信,法人買賣超(千張)自營,法人買賣超(千張)合計,外資持股(%),融資(千張)增減,融資(千張)餘額,融券(千張)增減,融券(千張)餘額,券資比(%)
0,1708,21Q1,24,24.1,24.2,21.5,21.65,-2.5,-10.4,11.2,12.6,0.52,2.85,0.12,-1.61,0,-0.04,-1.65,7.2,+1.16,5.15,0,0,0.02
1,1708,20Q4,63,23.15,25.1,22,24.15,+1.25,+5.46,13.5,45.3,0.72,10.7,0.17,+0.21,-0.02,-0.06,+0.13,7.8,-0.41,3.99,0,0,0
2,1708,20Q3,66,27,27.3,21.65,22.9,-3.95,-14.7,21,48.3,0.73,11.5,0.17,-1.21,+0.02,-0.46,-1.65,7.6,+1.96,4.4,0,0,0
3,1708,20Q2,60,21.55,26.95,21.05,26.85,+5.4,+25.2,27.5,47.5,0.79,11.6,0.19,+0.33,0,-1.11,-0.77,8.4,-0.52,2.44,0,0,0
4,1708,20Q1,56,25.5,25.75,18.5,21.45,-3.95,-15.6,28.5,18.9,0.34,4.34,0.08,-0.22,0,-0.04,-0.26,8.2,+2.39,2.96,0,0,0
5,1708,19Q4,64,25.8,26,24.05,25.4,-0.4,-1.55,7.56,9.48,0.15,2.36,0.04,+0.52,0,0,+0.52,8.3,+0.09,0.57,0,0,0
6,1708,19Q3,63,26.8,28.05,24.75,25.8,-0.9,-3.37,12.4,15.3,0.24,4.06,0.06,-0.16,0,-0.33,-0.48,7.9,-2,0.48,-0.01,0,0
7,1708,19Q2,61,25.8,26.8,25.2,26.7,+0.95,+3.69,6.21,12.3,0.2,3.2,0.05,-0.22,0,-0.02,-0.23,8.2,+1.61,2.48,+0.01,0.01,0.4
8,1708,19Q1,54,25.25,27,25.2,25.75,+0.4,+1.58,7.1,10.1,0.19,2.63,0.05,+0.05,0,-0.1,-0.05,8.2,-0.29,0.86,-0.14,0,0
9,1708,18Q4,65,27.2,27.8,21.8,25.35,-1.8,-6.63,22.1,27.3,0.42,6.62,0.1,-0.07,0,-0.02,-0.08,8.1,-0.94,1.16,+0.14,0.14,12
10,1708,18Q3,64,28.4,28.4,26.65,27.15,-1.2,-4.23,6.17,10.4,0.16,2.85,0.04,+0.06,0,0,+0.06,8.2,-0.7,2.1,0,0,0.1
11,1708,18Q2,60,30.1,30.75,28.2,28.35,-1.7,-5.66,8.49,15.5,0.26,4.56,0.08,+0.11,0,-0.05,+0.06,8.1,-0.38,2.8,0,0,0
12,1708,18Q1,58,29.7,32.4,28.6,30.05,+0.4,+1.35,12.8,48.8,0.84,15,0.26,+1.47,0,+1.45,+2.92,7.7,-2.38,3.19,-0.01,0,0
13,1708,17Q4,62,29.05,30,28.5,29.65,+0.6,+2.07,5.16,31.1,0.5,9.08,0.15,-0.08,0,+0.12,+0.04,7.2,-0.51,5.57,-0.04,0.01,0.1
14,1708,17Q3,66,28.75,32.9,26.4,29.05,+0.4,+1.4,22.7,116,1.8,35.2,0.53,,,,,7,+1.84,6.08,+0.04,0.04,0.7
15,1708,17Q2,61,29.55,31.4,27.55,28.65,-0.7,-2.39,13.1,44.5,0.73,13.1,0.21,-0.14,-0.25,+0.02,-0.37,7.3,-0.03,4.24,-0.03,0,0.02
16,1708,17Q1,57,26.85,31.2,26.85,29.35,+2.7,+10.1,16.3,73.3,1.3,21.5,0.38,-0.1,+1.95,+1.56,+3.41,7.4,+1,4.27,+0.03,0.03,0.7
17,1708,16Q4,64,25.75,28.5,24,26.65,+0.8,+3.09,17.4,32,0.5,8.5,0.13,-0.82,+0.1,+0.07,-0.65,7.4,-0.21,3.26,0,0,0.09
18,1708,16Q3,62,27.4,28.6,25.25,25.85,-1.45,-5.31,12.3,18.5,0.3,4.9,0.08,-0.22,-0.01,-0.01,-0.24,7.6,-0.65,3.48,-0.02,0,0.03
19,1708,16Q2,61,29.7,30,25.2,27.3,-2.35,-7.93,16.2,21.6,0.35,5.97,0.1,+0.54,-0.08,0,+0.46,7.6,-1.15,4.12,-0.01,0.02,0.5
20,1708,16Q1,57,32.1,32.8,28.65,29.65,-2.45,-7.63,12.9,46.4,0.81,14.3,0.25,-2.85,-0.01,-0.01,-2.86,9.3,+0.13,5.27,-0.12,0.03,0.6
21,1708,15Q4,65,31.9,35.25,30.6,32.1,+0.4,+1.26,14.7,57.2,0.88,19,0.29,-1.19,-2.27,-0.16,-3.62,10.9,+0.06,5.14,0,0.15,2.9
