ID,sid,股利發放年度,股利所屬盈餘期間,股東會日期,除息交易日,除息參考價,填息完成日,填息花費日數,現金股利發放日,除權交易日,除權參考價,填權完成日,填權花費日數,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計
0,2321,2020,2019全年,20'06/18,,,,,,,,,,0,0,0,0,0,0,0
1,2321,2019,2018全年,19'06/12,,,,,,,,,,0,0,0,0,0,0,0
2,2321,2018,2017全年,18'06/12,,,,,,,,,,0,0,0,0,0,0,0
3,2321,2017,2016全年,17'06/19,,,,,,,,,,0,0,0,0,0,0,0
4,2321,2016,2015全年,16'06/22,,,,,,,,,,0,0,0,0,0,0,0
5,2321,2015,2014全年,15'06/08,,,,,,,,,,0,0,0,0,0,0,0
6,2321,2014,2013全年,14'06/26,,,,,,,,,,0,0,0,0,0,0,0
7,2321,2013,2012全年,13'06/18,,,,,,,,,,0,0,0,0,0,0,0
8,2321,2012,2011全年,12'06/22,,,,,,,,,,0,0,0,0,0,0,0
9,2321,2011,2010全年,11'06/28,,,,,,,,,,0,0,0,0,0,0,0
10,2321,2010,2009全年,10'06/17,,,,,,,,,,0,0,0,0,0,0,0
11,2321,2009,2008全年,09'06/16,,,,,,,,,,0,0,0,0,0,0,0
12,2321,2008,2007全年,08'06/13,,,,,,,,,,0,0,0,0,0,0,0
13,2321,2007,2006全年,07'06/15,07'07/17,18.85,07'07/17,1,,,,,,0.8,0,0.8,0,0,0,0.8
14,2321,2006,2005全年,06'06/09,06'07/13,12.3,06'08/09,20,,,,,,0.8,0,0.8,0,0,0,0.8
15,2321,2005,2004全年,05'06/14,05'07/21,14.8,06'04/18,183,,,,,,0.8,0,0.8,0,0,0,0.8
16,2321,2004,2003全年,04'06/08,04'08/04,13.1,04'08/05,2,,,,,,0.4,0,0.4,0,0,0,0.4
17,2321,2003,2002全年,03'06/09,03'08/06,12.15,03'08/13,6,,03'08/06,12.15,03'08/13,6,0.3,0,0.3,0.3,0,0.3,0.61
18,2321,2002,2001全年,02'06/11,,,,,,,,,,0,0,0,0,0.5,0.5,0.5
19,2321,2001,2000全年,,,,,,,,,,,0,0,0,0.65,0.55,1.2,1.2
20,2321,2000,1999全年,00'05/11,,,,,,,,,,0,0,0,1.4,0.6,2,2
21,2321,1999,1998全年,99'05/20,,,,,,99'06/21,44.7,99'06/30,8,0,0,0,1.11,0.19,1.3,1.3
22,2321,1998,1997全年,98'05/26,98'07/13,52,98'07/16,4,,98'07/13,52,98'07/16,4,0.4,0,0.4,0.8,0.2,1,1.4
23,2321,1997,1996全年,97'05/29,97'06/28,40.9,97'06/28,1,,97'09/19,42.8,98'01/12,87,0.7,0,0.7,0.5,0,0.5,1.2
24,2321,1996,1995全年,96'06/14,,,,,,96'07/23,25.1,96'08/02,8,0,0,0,0.7,0.7,1.4,1.4
25,2321,1995,1994全年,95'06/06,,,,,,95'07/21,26.9,95'07/24,3,0,0,0,0.6,0.6,1.2,1.2
26,2321,1994,1993全年,94'06/03,94'06/24,52.5,94'06/24,1,,94'08/11,59.5,94'09/03,21,0.5,0,0.5,0,0.5,0.5,1
27,2321,1993,1992全年,93'06/08,,,,,,93'09/01,40.3,93'09/01,1,0,0,0,0.5,0.5,1,1
28,2321,1992,1991全年,92'04/28,92'05/18,84.5,92'05/18,1,,92'07/13,77,92'07/13,1,0.5,0,0.5,2,1,3,3.5
29,2321,1991,1990全年,91'03/22,91'08/14,,,,,91'08/14,,,,0.6,0,0.6,3,3,6,6.6
30,2321,1990,1989全年,,,,,,,,,,,0.5,0,0.5,2,3,5,5.5
31,2321,1989,1988全年,,,,,,,,,,,1,0,1,0,0,0,1
32,2321,1988,1987全年,,,,,,,,,,,0,0,0,10,0,10,10
33,2321,1987,1986全年,,,,,,,,,,,0,0,0,8,0,8,8
